"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","52","12480",".467","15.0",NA,".617",".247",".161",".113",".096",".383",NA,".524",".665",".426",".439",".428",".376",NA,".527",".748",NA,".057","238",NA,".240","599",NA,".221",".384",NA,"11","1"
"3","2","Boston Celtics","54","13160",".450","15.4",NA,".585",".201",".204",".091",".089",".415",NA,".527",".721",".443",".394",".417",".341",NA,".484",".822",NA,".051","215",NA,".271","720",NA,".230",".386",NA,"9","0"
"4","3","Brooklyn Nets","52","12530",".471","13.7",NA,".643",".257",".164",".128",".094",".357",NA,".537",".645",".421",".503",".488",".353",NA,".558",".747",NA,".048","193",NA,".265","647",NA,".237",".358",NA,"2","0"
"5","4","Chicago Bulls","52","12505",".478","14.1",NA,".654",".254",".149",".128",".123",".346",NA,".533",".675",".427",".460",".445",".374",NA,".491",".855",NA,".050","202",NA,".249","643",NA,".277",".431",NA,"10","1"
"6","5","Charlotte Hornets","53","12820",".460","14.1",NA,".585",".273",".183",".076",".053",".415",NA,".528",".681",".380",".397",".438",".365",NA,".532",".854",NA,".071","307",NA,".282","718",NA,".273",".368",NA,"12","0"
"7","6","Cleveland Cavaliers","53","12720",".465","14.0",NA,".604",".273",".179",".096",".056",".396",NA,".540",".700",".400",".423",".409",".351",NA,".567",".823",NA,".079","319",NA,".237","590",NA,".232",".345",NA,"7","1"
"8","7","Dallas Mavericks","53","12795",".453","15.3",NA,".574",".203",".169",".119",".083",".426",NA,".543",".715",".463",".462",".397",".333",NA,".519",".815",NA,".064","253",NA,".197","524",NA,".243",".381",NA,"10","0"
"9","8","Denver Nuggets","52","12530",".471","14.7",NA,".579",".228",".195",".081",".075",".421",NA,".556",".740",".454",".419",".412",".354",NA,".575",".851",NA,".053","210",NA,".264","705",NA,".248",".385",NA,"14","0"
"10","9","Detroit Pistons","52","12530",".420","14.2",NA,".602",".243",".206",".080",".073",".398",NA,".487",".636",".416",".329",".366",".320",NA,".484",".875",NA,".035","144",NA,".308","746",NA,".251",".359",NA,"15","0"
