"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Golden State Warriors","28.1","39","13","39","13","8.19","-0.13","8.06","111.7","103.5","+8.2","98.6",".236",".463",".579",NA,".549","14.0","23.5",".180",NA,".496","13.6","79.1",".192",NA,"Chase Center","505,792","18,064"
"3","2","Phoenix Suns","27.7","41","9","37","13","7.94","-0.11","7.83","113.6","105.6","+8.0","99.3",".226",".355",".576",NA,".543","12.0","22.9",".180",NA,".504","13.2","76.9",".176",NA,"Phoenix Suns Arena","424,177","15,710"
"4","3","Utah Jazz","29.7","31","21","35","17","5.69","-0.22","5.47","115.8","110.0","+5.8","97.9",".268",".467",".591",NA,".556","12.9","24.0",".208",NA,".519","10.9","78.1",".154",NA,"Vivint Smart Home Arena","475,956","18,306"
"5","4","Cleveland Cavaliers","24.8","31","21","33","19","4.31","-0.04","4.27","110.7","106.2","+4.5","96.4",".244",".396",".567",NA,".536","13.7","24.0",".183",NA,".507","12.5","76.3",".158",NA,"Quicken Loans Arena","449,430","17,977"
"6","5","Miami Heat","28.1","32","20","32","20","3.71","-0.40","3.32","112.7","108.8","+3.9","95.5",".237",".423",".575",NA,".539","13.6","25.3",".192",NA,".527","14.1","78.1",".203",NA,"FTX Arena","470,904","19,621"
"7","6","Memphis Grizzlies","23.9","36","18","33","21","3.80","0.29","4.08","112.3","108.5","+3.8","99.4",".236",".350",".546",NA,".515","11.6","29.0",".174",NA,".524","13.7","77.8",".186",NA,"FedEx Forum","424,377","15,156"
"8","7","Boston Celtics","26.1","28","25","32","21","3.47","-0.06","3.41","110.3","106.8","+3.5","96.4",".237",".416",".559",NA,".521","12.8","23.7",".194",NA,".505","12.6","77.8",".181",NA,"TD Garden","517,212","18,472"
"9","8","Milwaukee Bucks","28.4","32","21","32","21","3.13","-0.76","2.37","112.3","109.2","+3.1","99.1",".242",".441",".568",NA,".534","12.3","23.0",".189",NA,".521","12.1","77.8",".164",NA,"Fiserv Forum","486,727","17,383"
"10","9","Dallas Mavericks","26.7","29","23","30","22","2.50","-0.15","2.35","110.1","107.5","+2.6","95.9",".235",".426",".557",NA,".524","11.6","21.1",".181",NA,".519","12.7","78.9",".179",NA,"American Airlines Center","508,536","19,559"
"11","10","Philadelphia 76ers","26.5","31","20","29","22","2.25","-0.67","1.59","111.5","109.1","+2.4","95.9",".254",".364",".568",NA,".528","11.6","19.8",".206",NA,".515","12.3","76.0",".182",NA,"Wells Fargo Center","507,904","20,316"
"12","11","Chicago Bulls","26.2","32","18","28","22","2.00","-0.79","1.21","113.1","111.0","+2.1","98.4",".241",".348",".579",NA,".542","12.0","20.6",".195",NA,".532","12.5","78.4",".192",NA,"United Center","520,287","20,811"
"13","12","Denver Nuggets","27.6","28","23","28","23","1.69","0.13","1.81","112.0","110.3","+1.7","96.9",".216",".419",".576",NA,".545","12.9","21.0",".170",NA,".534","12.3","78.3",".178",NA,"Ball Arena","356,707","16,214"
"14","13","Brooklyn Nets","29.4","29","22","28","23","1.33","-0.40","0.93","112.3","110.9","+1.4","99.0",".239",".357",".573",NA,".535","12.7","23.2",".195",NA,".508","11.4","75.7",".194",NA,"Barclays Center","427,424","17,097"
"15","14","Minnesota Timberwolves","24.0","26","25","28","23","1.25","0.49","1.75","111.4","110.1","+1.3","99.9",".235",".454",".555",NA,".523","12.8","25.8",".179",NA,".529","14.7","74.9",".227",NA,"Target Center","388,083","15,523"
"16","15","Toronto Raptors","24.6","26","23","26","23","1.00","0.44","1.44","111.3","110.3","+1.0","95.7",".228",".386",".538",NA,".506","11.3","28.0",".172",NA,".533","14.8","75.0",".203",NA,"Scotiabank Arena","311,611","11,985"
"17","16","Atlanta Hawks","26.1","24","26","25","25","0.28","0.06","0.34","114.3","114.1","+0.2","97.5",".251",".383",".575",NA,".538","11.3","22.4",".201",NA,".538","11.1","77.9",".172",NA,"State Farm Arena","416,707","16,027"
"18","17","San Antonio Spurs","24.9","19","33","26","26","-0.17","0.23","0.06","111.0","111.2","-0.2","99.8",".195",".337",".550",NA,".525","11.1","23.9",".144",NA,".527","12.1","75.1",".163",NA,"AT&T Center","393,124","14,560"
"19","18","Charlotte Hornets","25.7","28","24","26","26","-0.25","-0.10","-0.35","112.6","112.9","-0.3","100.7",".230",".414",".564",NA,".537","11.4","22.4",".170",NA,".543","13.4","75.7",".190",NA,"Spectrum Center","369,500","16,795"
"20","19","Los Angeles Clippers","27.5","26","27","25","28","-0.68","0.12","-0.56","107.4","108.0","-0.6","98.5",".223",".396",".554",NA,".520","13.0","20.1",".176",NA,".505","12.4","74.3",".163",NA,"Crypto.com Arena","440,293","16,307"
"21","20","New York Knicks","26.4","24","28","25","27","-0.77","-0.22","-0.99","108.8","109.6","-0.8","95.3",".256",".428",".548",NA,".513","12.5","24.5",".191",NA,".517","11.9","78.3",".186",NA,"Madison Square Garden (IV)","509,802","18,207"
"22","21","Los Angeles Lakers","30.8","25","27","24","28","-1.48","-0.56","-2.04","108.6","110.1","-1.5","100.3",".247",".389",".561",NA,".531","13.0","20.8",".181",NA,".524","12.9","75.9",".192",NA,"Crypto.com Arena","522,250","18,652"
"23","22","Indiana Pacers","26.9","19","34","23","30","-1.85","0.38","-1.47","110.7","112.6","-1.9","97.4",".238",".399",".556",NA,".523","12.7","24.6",".182",NA,".532","11.9","77.4",".205",NA,"Gainbridge Fieldhouse","375,562","13,910"
"24","23","Washington Wizards","26.1","24","27","21","30","-2.59","0.25","-2.34","109.7","112.4","-2.7","97.1",".258",".360",".560",NA,".523","12.2","21.2",".201",NA,".517","10.6","77.0",".198",NA,"Capital One Arena","381,609","15,264"
"25","24","Portland Trail Blazers","27.0","21","31","20","32","-4.00","0.73","-3.27","110.2","114.3","-4.1","97.9",".251",".439",".562",NA,".528","12.6","22.4",".192",NA,".552","12.4","78.6",".195",NA,"Moda Center","455,315","16,864"
"26","25","New Orleans Pelicans","25.7","19","32","19","32","-4.10","0.48","-3.62","108.3","112.5","-4.2","96.9",".255",".375",".539",NA,".499","12.8","26.0",".201",NA,".543","12.4","78.9",".192",NA,"Smoothie King Center","369,183","15,383"
"27","26","Sacramento Kings","25.5","19","34","18","35","-5.15","0.19","-4.97","109.3","114.4","-5.1","99.4",".248",".382",".551",NA,".517","12.3","23.0",".187",NA,".539","11.6","75.1",".178",NA,"Golden 1 Center","394,945","13,619"
"28","27","Oklahoma City Thunder","22.8","16","34","15","35","-6.50","0.24","-6.26","102.9","109.6","-6.7","97.8",".216",".423",".518",NA,".484","12.1","21.7",".166",NA,".520","12.0","76.2",".159",NA,"Paycom Center","347,864","13,915"
"29","28","Orlando Magic","23.5","12","41","14","39","-7.74","0.05","-7.69","104.2","112.0","-7.8","98.7",".226",".410",".536",NA,".500","13.2","20.2",".177",NA,".532","12.1","76.9",".197",NA,"Amway Center","343,688","14,943"
