"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","77","18505",".470","14.9",NA,".613",".246",".163",".110",".094",".387",NA,".531",".668",".439",".452",".421",".374",NA,".533",".731",NA,".060","378",NA,".234","868",NA,".218",".417",NA,"14","1"
"3","2","Boston Celtics","77","18705",".461","15.2",NA,".579",".215",".203",".083",".077",".421",NA,".542",".734",".446",".405",".404",".351",NA,".507",".813",NA,".057","343",NA,".276","1064",NA,".231",".384",NA,"10","0"
"4","3","Brooklyn Nets","77","18555",".474","13.9",NA,".642",".247",".167",".134",".094",".358",NA,".538",".656",".447",".480",".476",".359",NA,".541",".770",NA,".051","307",NA,".254","935",NA,".231",".396",NA,"7","0"
"5","4","Chicago Bulls","77","18530",".481","13.9",NA,".667",".257",".152",".129",".129",".333",NA,".536",".678",".451",".453",".436",".370",NA,".479",".851",NA,".051","304",NA,".246","955",NA,".273",".422",NA,"18","1"
"6","5","Charlotte Hornets","77","18680",".464","14.0",NA,".581",".286",".177",".070",".048",".419",NA,".537",".684",".382",".401",".428",".362",NA,".553",".859",NA,".077","485",NA,".284","1060",NA,".287",".367",NA,"18","0"
"7","6","Cleveland Cavaliers","77","18530",".467","13.7",NA,".614",".287",".180",".091",".055",".386",NA,".541",".696",".395",".427",".393",".349",NA,".559",".820",NA,".079","468",NA,".243","888",NA,".234",".338",NA,"9","1"
"8","7","Dallas Mavericks","77","18555",".458","15.3",NA,".564",".206",".176",".110",".072",".436",NA,".546",".734",".444",".449",".402",".345",NA,".499",".785",NA,".059","335",NA,".207","816",NA,".261",".385",NA,"14","0"
"9","8","Denver Nuggets","77","18580",".481","14.5",NA,".583",".235",".202",".073",".072",".417",NA,".571",".741",".476",".434",".425",".354",NA,".583",".857",NA,".059","344",NA,".267","1054",NA,".265",".383",NA,"23","0"
"10","9","Detroit Pistons","77","18580",".431","14.0",NA,".613",".248",".210",".081",".074",".387",NA,".498",".644",".421",".360",".375",".325",NA,".489",".895",NA,".040","244",NA,".306","1118",NA,".267",".365",NA,"19","0"
"11","10","Golden State Warriors","77","18530",".466","15.6",NA,".542",".205",".200",".069",".069",".458",NA,".557",".711",".513",".403",".378",".359",NA,".593",".799",NA,".058","351",NA,".281","1120",NA,".217",".340",NA,"24","1"
"12","11","Houston Rockets","77","18555",".455","14.2",NA,".553",".299",".183",".037",".034",".447",NA,".541",".686",".385",".316",".344",".349",NA,".502",".790",NA,".087","502",NA,".301","1079",NA,".174",".353",NA,"16","0"
"13","12","Indiana Pacers","77","18680",".462","14.1",NA,".606",".265",".177",".095",".069",".394",NA,".540",".675",".454",".419",".405",".341",NA,".504",".862",NA,".043","265",NA,".305","1231",NA,".249",".376",NA,"24","0"
"14","13","Los Angeles Clippers","77","18580",".454","14.8",NA,".613",".208",".184",".120",".101",".387",NA,".510",".689",".446",".434",".348",".366",NA,".499",".809",NA,".051","299",NA,".212","783",NA,".216",".402",NA,"17","0"
"15","14","Los Angeles Lakers","76","18515",".468","14.0",NA,".609",".281",".157",".086",".086",".391",NA,".545",".706",".414",".408",".396",".349",NA,".475",".826",NA,".061","367",NA,".310","1227",NA,".229",".375",NA,"5","0"
"16","15","Memphis Grizzlies","77","18555",".462","12.9",NA,".653",".269",".231",".109",".044",".347",NA,".521",".672",".420",".418",".382",".350",NA,".497",".849",NA,".056","365",NA,".276","1105",NA,".234",".364",NA,"13","0"
"17","16","Miami Heat","77","18655",".464","14.8",NA,".580",".227",".182",".106",".064",".420",NA,".529",".693",".430",".430",".391",".374",NA,".542",".854",NA,".051","292",NA,".239","894",NA,".299",".412",NA,"21","0"
"18","17","Milwaukee Bucks","76","18315",".466","15.2",NA,".565",".229",".163",".104",".069",".435",NA,".542",".714",".423",".449",".393",".367",NA,".452",".790",NA,".048","288",NA,".247","973",NA,".242",".393",NA,"9","0"
"19","18","Minnesota Timberwolves","77","18580",".455","14.5",NA,".546",".265",".174",".060",".047",".454",NA,".538",".674",".412",".430",".375",".355",NA,".518",".796",NA,".065","399",NA,".278","1057",NA,".223",".389",NA,"17","0"
"20","19","New Orleans Pelicans","76","18315",".456","13.7",NA,".633",".268",".185",".099",".081",".367",NA,".528",".667",".423",".463",".389",".332",NA,".532",".874",NA,".055","329",NA,".292","1044",NA,".242",".369",NA,"17","2"
"21","20","New York Knicks","77","18580",".437","14.6",NA,".573",".254",".158",".086",".075",".427",NA,".496",".654",".371",".380",".357",".356",NA,".455",".796",NA,".069","400",NA,".239","817",NA,".212",".381",NA,"6","0"
"22","21","Oklahoma City Thunder","76","18365",".429","14.4",NA,".578",".205",".256",".075",".042",".422",NA,".507",".640",".444",".430",".371",".323",NA,".465",".826",NA,".051","296",NA,".319","1106",NA,".202",".349",NA,"9","0"
"23","22","Orlando Magic","77","18580",".433","14.3",NA,".588",".225",".228",".070",".065",".412",NA,".506",".664",".432",".416",".320",".329",NA,".499",".872",NA,".062","366",NA,".270","967",NA,".208",".380",NA,"13","0"
"24","23","Philadelphia 76ers","76","18365",".461","14.0",NA,".627",".236",".195",".121",".074",".373",NA,".523",".693",".416",".415",".438",".358",NA,".497",".834",NA,".048","277",NA,".248","891",NA,".235",".378",NA,"11","0"
"25","24","Phoenix Suns","76","18290",".487","14.2",NA,".648",".187",".222",".151",".088",".352",NA,".552",".707",".508",".495",".431",".368",NA,".550",".834",NA,".052","334",NA,".220","876",NA,".260",".393",NA,"12","0"
"26","25","Portland Trail Blazers","76","18290",".444","14.5",NA,".578",".262",".172",".073",".071",".422",NA,".515",".631",".425",".422",".403",".347",NA,".494",".779",NA,".046","267",NA,".278","979",NA,".209",".368",NA,"11","0"
"27","26","Sacramento Kings","77","18605",".459","13.9",NA,".622",".232",".220",".100",".070",".378",NA,".529",".694",".435",".422",".428",".344",NA,".493",".802",NA,".059","346",NA,".263","1007",NA,".220",".392",NA,"13","1"
"28","27","San Antonio Spurs","76","18365",".466","13.3",NA,".657",".239",".226",".122",".070",".343",NA,".526",".665",".455",".446",".414",".350",NA,".550",".912",NA,".036","231",NA,".296","1177",NA,".228",".370",NA,"13","1"
"29","28","Toronto Raptors","76","18415",".446","14.2",NA,".627",".227",".207",".099",".094",".373",NA,".501",".650",".434",".424",".370",".352",NA,".435",".804",NA,".056","330",NA,".248","908",NA,".236",".404",NA,"16","2"
"30","29","Utah Jazz","77","18505",".472","15.1",NA,".530",".202",".234",".066",".028",".470",NA,".569",".726",".482",".466",".404",".363",NA,".450",".728",NA,".069","410",NA,".246","921",NA,".238",".387",NA,"13","1"
"31","30","Washington Wizards","76","18390",".469","13.8",NA,".642",".225",".230",".106",".080",".358",NA,".542",".725",".456",".425",".425",".339",NA,".533",".853",NA,".065","378",NA,".282","1054",NA,".247",".397",NA,"9","0"
"32","","League Average","77","18505",".460","14.3",NA,".601",".241",".194",".094",".071",".399",NA,".531",".684",".438",".432",".400",".352",NA,".510",".820",NA,".057","343",NA,".266","999",NA,".236",".381",NA,"14.0","0.4"
