"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Minnesota Timberwolves",79,241.3,41.6,90.9,0.457,14.8,41.3,0.358,26.8,49.6,0.54,17.9,23,0.779,11.3,33.1,44.4,25.6,8.9,5.6,14.4,21.7,115.8
"2",2,"Memphis Grizzlies",78,241,43.6,94.3,0.462,11.4,32.5,0.35,32.2,61.8,0.521,16.9,23.1,0.734,14.2,35.2,49.4,25.7,9.8,6.5,13.2,19.6,115.4
"3",3,"Milwaukee Bucks",78,241,41.6,89.2,0.466,14.2,38.6,0.367,27.4,50.6,0.542,17.6,22.8,0.773,10.3,36.4,46.7,23.7,7.5,4,13.5,18.2,115
"4",4,"Phoenix Suns",78,240.6,43.6,89.5,0.487,11.5,31.6,0.365,32.1,58,0.553,16.2,20.3,0.798,9.5,35.5,45,27.2,8.5,4.4,12.9,19.7,114.9
"5",5,"Charlotte Hornets",78,242.6,42.5,91.6,0.464,13.9,38.3,0.362,28.6,53.3,0.537,16,21.6,0.739,10.9,33.7,44.6,27.8,8.7,4.8,13.2,19.9,114.8
"6",6,"Atlanta Hawks",78,240.3,41.4,88.2,0.469,12.8,34.3,0.373,28.6,53.9,0.53,18.3,22.5,0.812,10,34,44,24.5,7.2,4.3,11.9,18.7,113.8
"7",7,"Utah Jazz",78,240.3,40.6,86.1,0.471,14.7,40.5,0.362,25.9,45.6,0.568,17.5,22.7,0.771,10.6,35.3,45.9,22.3,7.1,4.8,14,19,113.4
"8",8,"San Antonio Spurs",78,241.6,43.4,93,0.467,11.3,32.2,0.351,32.1,60.8,0.527,15.1,20.1,0.753,11.2,34.2,45.5,28,7.6,5,12.8,18,113.2
"9",9,"Brooklyn Nets",78,241,41.9,88.4,0.474,11.4,31.7,0.361,30.5,56.8,0.536,17.3,21.7,0.801,10.2,33.9,44.2,25.1,7.2,5.4,14,20.3,112.5
"10",10,"Denver Nuggets",79,241.3,41.5,86.1,0.483,12.7,35.9,0.355,28.8,50.2,0.574,16.6,20.9,0.795,9.2,34.9,44,27.8,7.2,3.7,14.5,19.8,112.4
"11",11,"Chicago Bulls",78,240.6,41.8,87,0.48,10.7,29,0.368,31.1,58,0.536,17.5,21.5,0.813,8.6,33.9,42.4,24,7.1,4.2,12.6,18.8,111.7
"12",12,"Los Angeles Lakers",78,243.5,41.7,88.9,0.469,12,34.5,0.349,29.7,54.4,0.546,16.1,22.2,0.727,9.6,34.3,43.9,24.1,7.7,5.2,14.5,20.3,111.6
"13",13,"Boston Celtics",79,242.8,40.5,87.3,0.464,13,36.8,0.354,27.5,50.4,0.545,17.2,21,0.817,10.5,35.5,46,24.6,7.2,5.9,13.6,18.6,111.2
"14",14,"Indiana Pacers",79,242.5,41.3,89.4,0.462,12.1,35.3,0.343,29.2,54.1,0.541,16.3,21.2,0.766,11.3,32.9,44.1,25.2,7,5.6,14.5,20.4,111
"15",15,"Golden State Warriors",79,240.6,40.4,86.4,0.467,14.3,39.7,0.362,26,46.8,0.557,15.6,20.4,0.766,9.8,35.7,45.5,26.9,8.8,4.6,14.9,21,110.7
"16",16,"Sacramento Kings",79,241.6,40.6,88.4,0.459,11.5,33.4,0.343,29.1,55,0.529,17.8,23.2,0.769,9.8,33.3,43.1,23.6,7.1,4.5,14.1,19,110.4
"17",17,"Houston Rockets",79,240.9,39.3,86.3,0.456,13.5,38.6,0.35,25.8,47.6,0.542,17.5,24.6,0.714,9.6,32.5,42.1,23.6,7.4,4.7,16.6,20.7,109.7
"18",18,"Miami Heat",79,242.2,39.5,84.9,0.465,13.4,35.7,0.377,26,49.2,0.529,17.2,21.3,0.808,9.9,33.9,43.8,25.6,7.4,3.3,14.6,20.6,109.5
"19",19,"Toronto Raptors",78,242.2,40.6,91.1,0.445,12,34.2,0.351,28.6,56.9,0.502,16.2,21.4,0.756,13.3,31.9,45.3,22.1,9,4.6,12.5,19.8,109.3
"20",20,"Philadelphia 76ers",78,241.6,39.1,84.5,0.463,11.4,31.7,0.36,27.7,52.8,0.524,19.6,23.9,0.821,8.5,33.9,42.5,23.4,7.6,5.4,12.4,19.4,109.2
"21",21,"New Orleans Pelicans",78,241,40,87.7,0.456,10.6,32,0.332,29.4,55.7,0.528,18.2,23.1,0.789,11.8,33.7,45.4,24.9,8.1,4.1,14.1,19.7,108.9
"22",22,"Washington Wizards",78,241.9,40.4,86,0.47,10.5,30.7,0.342,29.9,55.3,0.541,17.3,21.9,0.788,9,34.1,43.1,24.9,6.4,5,13.1,18.8,108.6
