"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","60","14400",".468","14.8",NA,".620",".249",".164",".113",".093",".380",NA,".525",".670",".426",".442",".411",".377",NA,".528",".736",NA,".061","299",NA,".239","686",NA,".218",".400",NA,"13","1"
"3","2","Boston Celtics","63","15320",".455","15.3",NA,".582",".213",".197",".088",".084",".418",NA,".534",".721",".446",".400",".410",".344",NA,".498",".816",NA,".053","262",NA,".273","859",NA,".229",".377",NA,"9","0"
"4","3","Brooklyn Nets","61","14690",".466","13.9",NA,".641",".252",".166",".128",".095",".359",NA,".532",".641",".433",".489",".472",".349",NA,".543",".753",NA,".048","226",NA,".261","750",NA,".230",".362",NA,"6","0"
"5","4","Chicago Bulls","61","14665",".482","14.0",NA,".660",".260",".144",".130",".126",".340",NA,".537",".672",".443",".465",".439",".376",NA,".479",".847",NA,".050","241",NA,".249","757",NA,".276",".440",NA,"11","1"
"6","5","Charlotte Hornets","62","15080",".459","14.0",NA,".585",".282",".180",".074",".049",".415",NA,".531",".681",".381",".387",".432",".357",NA,".540",".860",NA,".075","382",NA,".287","864",NA,".278",".364",NA,"14","0"
"7","6","Cleveland Cavaliers","60","14400",".465","13.9",NA,".609",".278",".178",".097",".055",".391",NA,".537",".690",".404",".424",".391",".352",NA,".558",".827",NA,".078","354",NA,".240","676",NA,".232",".344",NA,"8","1"
"8","7","Dallas Mavericks","61","14715",".456","15.3",NA,".569",".200",".173",".119",".077",".431",NA,".540",".722",".451",".452",".400",".345",NA,".507",".798",NA,".060","271",NA,".199","610",NA,".250",".398",NA,"11","0"
"9","8","Denver Nuggets","61","14690",".475","14.6",NA,".577",".230",".196",".078",".074",".423",NA,".562",".742",".456",".431",".419",".356",NA,".575",".851",NA,".054","251",NA,".266","835",NA,".258",".384",NA,"19","0"
"10","9","Detroit Pistons","61","14715",".422","14.0",NA,".611",".247",".206",".083",".075",".389",NA,".487",".630",".411",".342",".382",".320",NA,".489",".886",NA,".037","176",NA,".309","881",NA,".253",".346",NA,"16","0"
"11","10","Golden State Warriors","61","14690",".466","15.6",NA,".536",".209",".197",".067",".063",".464",NA,".558",".703",".516",".396",".383",".360",NA,".607",".804",NA,".062","298",NA,".281","874",NA,".221",".349",NA,"18","1"
"12","11","Houston Rockets","60","14425",".450","14.2",NA,".549",".306",".179",".033",".031",".451",NA,".537",".683",".378",".285",".289",".344",NA,".492",".793",NA,".085","383",NA,".305","850",NA,".179",".341",NA,"15","0"
"13","12","Indiana Pacers","62","15055",".459","14.0",NA,".606",".264",".178",".095",".068",".394",NA,".538",".684",".437",".417",".404",".338",NA,".498",".856",NA,".041","205",NA,".302","987",NA,".255",".373",NA,"18","0"
"14","13","Los Angeles Clippers","63","15170",".455","14.9",NA,".609",".208",".181",".118",".103",".391",NA,".515",".686",".459",".440",".352",".362",NA,".492",".819",NA,".052","247",NA,".212","634",NA,".214",".402",NA,"14","0"
"15","14","Los Angeles Lakers","60","14625",".464","14.0",NA,".614",".285",".152",".084",".092",".386",NA,".540",".695",".410",".388",".412",".345",NA,".477",".838",NA,".064","299",NA,".308","944",NA,".217",".380",NA,"5","0"
"16","15","Memphis Grizzlies","62","14955",".458","12.8",NA,".654",".274",".231",".106",".044",".346",NA,".520",".662",".414",".441",".379",".340",NA,".500",".852",NA,".054","279",NA,".280","894",NA,".236",".364",NA,"8","0"
"17","16","Miami Heat","61","14815",".462","14.7",NA,".583",".227",".184",".108",".064",".417",NA,".525",".691",".422",".427",".396",".373",NA,".545",".858",NA,".049","226",NA,".244","733",NA,".305",".413",NA,"17","0"
"18","17","Milwaukee Bucks","61","14690",".461","15.3",NA,".559",".227",".161",".105",".066",".441",NA,".540",".709",".421",".444",".399",".362",NA,".449",".799",NA,".046","216",NA,".245","778",NA,".240",".386",NA,"7","0"
"19","18","Minnesota Timberwolves","61","14740",".447","14.5",NA,".547",".264",".175",".060",".048",".453",NA,".530",".667",".409",".404",".376",".346",NA,".514",".797",NA,".064","307",NA,".276","833",NA,".218",".367",NA,"14","0"
"20","19","New Orleans Pelicans","61","14690",".448","13.8",NA,".626",".267",".183",".092",".085",".374",NA,".519",".666",".420",".430",".368",".329",NA,".538",".879",NA,".055","266",NA,".295","835",NA,".240",".379",NA,"13","1"
"21","20","New York Knicks","61","14740",".434","14.8",NA,".571",".253",".153",".085",".081",".429",NA,".495",".643",".377",".390",".368",".352",NA,".456",".794",NA,".066","302",NA,".236","637",NA,".208",".377",NA,"6","0"
"22","21","Oklahoma City Thunder","60","14500",".420","14.3",NA,".584",".217",".246",".076",".046",".416",NA,".497",".623",".434",".415",".371",".312",NA,".456",".824",NA,".051","228",NA,".317","858",NA,".204",".357",NA,"5","0"
"23","22","Orlando Magic","61","14665",".434","14.4",NA,".587",".229",".223",".069",".066",".413",NA,".507",".657",".432",".436",".315",".330",NA,".494",".861",NA,".061","291",NA,".267","743",NA,".204",".377",NA,"9","0"
"24","23","Philadelphia 76ers","60","14500",".463","14.0",NA,".636",".235",".195",".127",".079",".364",NA,".525",".696",".418",".424",".442",".357",NA,".494",".835",NA,".047","218",NA,".248","714",NA,".235",".384",NA,"8","0"
"25","24","Phoenix Suns","61","14665",".482","14.2",NA,".648",".182",".229",".145",".092",".352",NA,".548",".697",".517",".481",".436",".361",NA,".549",".840",NA,".053","269",NA,".219","695",NA,".262",".396",NA,"9","0"
"26","25","Portland Trail Blazers","61","14665",".447","14.9",NA,".564",".255",".163",".071",".076",".436",NA,".520",".624",".439",".443",".418",".351",NA,".487",".777",NA,".043","199",NA,".267","764",NA,".208",".378",NA,"5","0"
"27","26","Sacramento Kings","62","14955",".457","13.9",NA,".622",".228",".220",".107",".067",".378",NA,".525",".700",".422",".422",".431",".344",NA,".491",".791",NA,".062","286",NA,".256","774",NA,".218",".385",NA,"12","1"
