"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","66","15865",".469","14.7",NA,".599",".253",".159",".101",".086",".401",NA,".540",".697",".419",".458",".400",".363",NA,".513",".849",NA,".059","306",NA,".251","847",NA,".236",".385"
"3","2","Boston Celtics","68","16520",".431","15.2",NA,".607",".194",".214",".103",".096",".393",NA,".493",".701",".392",".407",".387",".336",NA,".464",".796",NA,".047","263",NA,".259","790",NA,".213",".355"
"4","3","Brooklyn Nets","67","16130",".453","14.2",NA,".600",".262",".168",".093",".077",".400",NA,".528",".679",".393",".441",".409",".340",NA,".501",".787",NA,".056","298",NA,".270","895",NA,".243",".357"
"5","4","Chicago Bulls","67","16105",".467","13.3",NA,".637",".299",".171",".091",".077",".363",NA,".527",".667",".411",".402",".391",".362",NA,".518",".829",NA,".057","305",NA,".290","953",NA,".229",".414"
"6","5","Charlotte Hornets","68","16520",".464","14.5",NA,".570",".262",".172",".077",".059",".430",NA,".545",".682",".435",".405",".439",".357",NA,".526",".829",NA,".067","353",NA,".266","905",NA,".270",".373"
"7","6","Cleveland Cavaliers","67","16080",".446","13.7",NA,".619",".296",".160",".091",".072",".381",NA,".507",".609",".413",".414",".412",".348",NA,".509",".820",NA,".059","297",NA,".273","835",NA,".258",".362"
"8","7","Dallas Mavericks","67","16155",".457","13.9",NA,".627",".238",".206",".109",".073",".373",NA,".528",".692",".457",".421",".352",".337",NA,".516",".824",NA,".057","280",NA,".257","851",NA,".252",".374"
"9","8","Denver Nuggets","68","16395",".465","14.3",NA,".605",".221",".218",".096",".070",".395",NA,".547",".728",".467",".447",".362",".340",NA,".522",".821",NA,".058","310",NA,".263","917",NA,".235",".367"
"10","9","Detroit Pistons","67","16180",".474","13.8",NA,".621",".258",".211",".081",".070",".379",NA,".539",".670",".473",".415",".398",".368",NA,".538",".817",NA,".062","321",NA,".284","923",NA,".250",".421"
"11","10","Golden State Warriors","68","16370",".437","14.8",NA,".581",".180",".254",".087",".061",".419",NA,".509",".693",".446",".425",".344",".338",NA,".487",".841",NA,".046","246",NA,".273","873",NA,".245",".397"
"12","11","Houston Rockets","67","16155",".482","14.2",NA,".588",".273",".170",".083",".063",".412",NA,".571",".711",".455",".466",".418",".356",NA,".497",".801",NA,".073","390",NA,".265","931",NA,".244",".383"
"13","12","Indiana Pacers","68","16520",".472","13.6",NA,".639",".257",".205",".104",".074",".361",NA,".535",".678",".447",".429",".429",".360",NA,".490",".797",NA,".064","333",NA,".281","940",NA,".223",".382"
"14","13","Los Angeles Clippers","69","16610",".447","13.7",NA,".623",".256",".205",".104",".059",".377",NA,".512",".652",".421",".424",".377",".340",NA,".508",".801",NA,".058","319",NA,".275","906",NA,".216",".344"
"15","14","Los Angeles Lakers","66","16090",".462","14.0",NA,".603",".263",".192",".086",".062",".397",NA,".536",".708",".414",".389",".389",".351",NA,".521",".837",NA,".062","327",NA,".275","933",NA,".198",".370"
"16","15","Memphis Grizzlies","68","16395",".453","14.0",NA,".605",".276",".167",".097",".066",".395",NA,".517",".649",".394",".431",".406",".354",NA,".541",".825",NA,".063","327",NA,".269","866",NA,".173",".397"
