"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Cleveland Cavaliers",57,240,38.6,87.6,0.44,11.3,33.5,0.338,27.2,54.1,0.503,13.7,18.1,0.755,10.9,32.5,43.5,23.1,8.7,4.5,13.9,19.3,102.1
"2",2,"Dallas Mavericks",57,241.3,38.7,85.1,0.454,10.6,31.8,0.335,28,53.3,0.526,15.1,20.1,0.755,9.2,34.9,44.1,23.4,6.9,3.9,13.6,20,103.1
"3",3,"Golden State Warriors",57,240.9,37.2,86.6,0.43,12,36.2,0.332,25.2,50.4,0.501,16.7,22.3,0.75,9.9,32.9,42.8,22.4,8.1,4.2,15.1,17.8,103.2
"4",4,"Boston Celtics",58,243.4,38,88.3,0.43,11.9,35.2,0.337,26.1,53.1,0.492,15.7,20.2,0.777,10.4,34.4,44.8,21.6,7.6,4.7,14.1,19.3,103.6
"5",5,"Miami Heat",57,242.2,37.1,83.7,0.443,13.3,38.6,0.343,23.8,45.1,0.528,17,21.9,0.774,9.5,31.9,41.4,23.1,7.5,4.3,15.4,20.1,104.4
"6",6,"Philadelphia 76ers",56,241.8,39.1,86.9,0.45,11,32.9,0.335,28.1,54.1,0.519,16,20.6,0.777,10.5,34.5,45,23.1,6.5,4.6,13.4,18.8,105.2
"7",7,"Phoenix Suns",56,240.4,39,88.6,0.441,11.4,34.2,0.335,27.6,54.4,0.507,15.9,21.2,0.751,10.4,34,44.4,22.2,7.4,3.9,14.7,19.2,105.4
"8",8,"New York Knicks",57,241.3,38.4,86.5,0.444,13.1,37.9,0.346,25.3,48.6,0.52,16.3,21.2,0.768,9.7,34.5,44.2,24.5,7.2,4.6,12.9,19.8,106.1
"9",9,"Toronto Raptors",55,242.3,38.8,84.4,0.459,12.4,34.9,0.355,26.4,49.5,0.533,17.1,21.3,0.799,10.7,33.6,44.3,24.8,7,5,16.2,18.9,106.9
"10",10,"Utah Jazz",56,240,40.6,90.2,0.45,11.8,34.3,0.343,28.8,55.9,0.516,14,18.6,0.75,10.1,32.1,42.2,23.1,7.6,4.2,12.2,20.1,107
"11",11,"Oklahoma City Thunder",56,240.9,40.1,89.6,0.447,13,38,0.342,27.1,51.6,0.524,14.3,19.1,0.751,11.1,37.7,48.8,25,8.1,6.1,13.4,17.6,107.5
"12",12,"Denver Nuggets",56,240.9,40.2,86.5,0.465,11.7,34.4,0.34,28.5,52.1,0.548,15.4,20.5,0.753,9.6,33.2,42.9,24.5,7.7,4.9,13.1,19.3,107.6
"13",13,"Los Angeles Clippers",58,240.9,40.5,90.8,0.446,11.5,34.3,0.337,29,56.6,0.513,15.2,19.3,0.788,12.1,35.7,47.9,23.8,7.9,4.2,13.9,18.7,107.8
"14",14,"Memphis Grizzlies",58,241.3,39.8,88.2,0.451,12.5,35.4,0.354,27.2,52.8,0.516,16.7,21.3,0.781,10,33,43,25.3,7.2,6.4,15.3,19.3,108.7
"15",15,"Milwaukee Bucks",57,240.9,40.2,90,0.446,14,41.1,0.341,26.2,49,0.534,14.9,20,0.745,10.4,34.4,44.8,25.1,7.4,4.5,13.5,19.2,109.2
"16",16,"New Orleans Pelicans",56,240.9,40,85.6,0.467,12.9,35.3,0.365,27.1,50.3,0.539,16.5,21,0.789,9.1,33.2,42.3,24.2,7.6,5,13.6,20.3,109.4
"17",17,"Washington Wizards",55,241.8,40.7,88.9,0.458,11,31.1,0.354,29.7,57.8,0.514,17.7,22.1,0.802,10.5,34.4,44.9,23.2,7.4,4.2,11.8,20.3,110.2
"18",18,"Chicago Bulls",57,240.4,40.9,87.9,0.466,11.8,32.4,0.363,29.2,55.5,0.525,16.6,20.8,0.796,9.5,34,43.5,25,7.3,5.1,13.4,17.7,110.3
"19",19,"Brooklyn Nets",56,240.9,40.8,90.8,0.45,12,36.3,0.332,28.8,54.5,0.528,17.5,21.9,0.802,11.2,33.7,44.9,23.8,7.7,5.1,13,19.3,111.2
