"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","50","12000",".464","14.9",NA,".590",".258",".155",".093",".083",".410",NA,".539",".681",".421",".465",".403",".357",NA,".514",".839",NA,".061","236",NA,".252","633",NA,".233",".362"
"3","2","Boston Celtics","52","12680",".436","15.5",NA,".599",".186",".213",".102",".098",".401",NA,".499",".718",".401",".401",".398",".343",NA,".467",".791",NA,".046","199",NA,".252","604",NA,".208",".362"
"4","3","Brooklyn Nets","49","11810",".440","14.1",NA,".600",".274",".156",".094",".077",".400",NA,".515",".663",".377",".411",".396",".328",NA,".487",".784",NA,".052","202",NA,".277","680",NA,".236",".341"
"5","4","Chicago Bulls","49","11760",".464","13.5",NA,".631",".287",".174",".092",".078",".369",NA,".523",".664",".412",".392",".405",".363",NA,".514",".828",NA,".055","211",NA,".289","675",NA,".219",".426"
"6","5","Charlotte Hornets","51","12340",".464","14.7",NA,".561",".252",".173",".080",".056",".439",NA,".547",".687",".438",".417",".444",".357",NA,".516",".819",NA,".068","272",NA,".256","648",NA,".257",".371"
"7","6","Cleveland Cavaliers","51","12240",".441","13.8",NA,".619",".291",".160",".092",".075",".381",NA,".505",".599",".427",".424",".409",".337",NA,".506",".812",NA,".057","220",NA,".273","631",NA,".244",".356"
"8","7","Dallas Mavericks","51","12290",".454","14.0",NA,".621",".237",".201",".109",".074",".379",NA,".526",".688",".438",".432",".380",".336",NA,".515",".836",NA,".057","210",NA,".253","630",NA,".257",".380"
"9","8","Denver Nuggets","49","11810",".465","14.3",NA,".604",".222",".213",".098",".070",".396",NA,".547",".735",".457",".449",".364",".340",NA,".524",".813",NA,".057","215",NA,".260","654",NA,".243",".366"
"10","9","Detroit Pistons","49","11810",".473","13.9",NA,".615",".249",".214",".085",".066",".385",NA,".539",".670",".470",".412",".432",".368",NA,".537",".822",NA,".061","230",NA,".282","669",NA,".252",".414"
"11","10","Golden State Warriors","51","12290",".425","14.9",NA,".581",".180",".251",".085",".065",".419",NA,".496",".680",".426",".406",".372",".327",NA,".485",".826",NA,".045","182",NA,".271","629",NA,".238",".380"
"12","11","Houston Rockets","50","12025",".475","14.4",NA,".576",".270",".163",".081",".063",".424",NA,".566",".698",".451",".468",".423",".350",NA,".494",".792",NA,".069","273",NA,".260","676",NA,".239",".383"
"13","12","Indiana Pacers","52","12630",".469","13.7",NA,".640",".244",".209",".110",".078",".360",NA,".531",".674",".450",".443",".428",".357",NA,".482",".777",NA,".059","235",NA,".276","689",NA,".210",".388"
"14","13","Los Angeles Clippers","53","12770",".442","13.7",NA,".623",".255",".206",".101",".062",".377",NA,".509",".650",".418",".424",".378",".331",NA,".511",".809",NA,".051","223",NA,".284","725",NA,".225",".335"
"15","14","Los Angeles Lakers","51","12440",".456","14.1",NA,".593",".264",".183",".087",".059",".407",NA,".533",".709",".395",".397",".373",".344",NA,".534",".839",NA,".063","259",NA,".270","706",NA,".201",".366"
"16","15","Memphis Grizzlies","53","12795",".453","14.2",NA,".601",".265",".170",".103",".063",".399",NA,".516",".654",".390",".437",".403",".358",NA,".547",".820",NA,".061","248",NA,".264","652",NA,".173",".396"
"17","16","Miami Heat","51","12365",".445","15.6",NA,".532",".209",".171",".094",".059",".468",NA,".528",".695",".440",".410",".380",".349",NA,".505",".839",NA,".045","165",NA,".233","573",NA,".270",".374"
