"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","63","15120",".468","14.9",NA,".618",".248",".163",".113",".095",".382",NA,".525",".672",".421",".445",".415",".375",NA,".525",".728",NA,".060","308",NA,".237","716",NA,".216",".411",NA,"14","1"
"3","2","Boston Celtics","65","15800",".456","15.3",NA,".582",".213",".197",".088",".083",".418",NA,".536",".722",".444",".408",".412",".345",NA,".501",".821",NA,".053","272",NA,".273","888",NA,".227",".378",NA,"9","0"
"4","3","Brooklyn Nets","64","15410",".465","13.9",NA,".641",".249",".166",".130",".096",".359",NA,".530",".643",".431",".481",".473",".351",NA,".540",".759",NA,".048","238",NA,".259","780",NA,".230",".369",NA,"6","0"
"5","4","Chicago Bulls","64","15385",".484","14.0",NA,".662",".259",".144",".131",".128",".338",NA,".539",".677",".447",".458",".448",".376",NA,".477",".851",NA,".051","254",NA,".246","793",NA,".274",".444",NA,"11","1"
"6","5","Charlotte Hornets","64","15560",".458","14.0",NA,".584",".283",".178",".074",".049",".416",NA,".529",".678",".380",".390",".426",".359",NA,".541",".860",NA,".075","391",NA,".285","887",NA,".278",".369",NA,"14","0"
"7","6","Cleveland Cavaliers","63","15120",".467","13.9",NA,".608",".279",".178",".096",".056",".392",NA,".540",".692",".410",".420",".399",".353",NA,".562",".823",NA,".078","369",NA,".240","712",NA,".234",".342",NA,"8","1"
"8","7","Dallas Mavericks","63","15195",".458","15.3",NA,".569",".202",".174",".118",".075",".431",NA,".542",".728",".449",".452",".398",".346",NA,".506",".802",NA,".059","278",NA,".201","642",NA,".252",".398",NA,"11","0"
"9","8","Denver Nuggets","63","15170",".474","14.6",NA,".576",".231",".195",".077",".074",".424",NA,".562",".742",".454",".428",".420",".354",NA,".575",".851",NA,".055","266",NA,".267","860",NA,".256",".382",NA,"19","0"
"10","9","Detroit Pistons","64","15435",".424","14.0",NA,".613",".249",".205",".083",".076",".387",NA,".488",".631",".410",".346",".383",".322",NA,".488",".891",NA,".037","185",NA,".309","927",NA,".260",".354",NA,"17","0"
"11","10","Golden State Warriors","63","15170",".467","15.6",NA,".537",".210",".195",".068",".064",".463",NA,".559",".706",".516",".402",".377",".361",NA,".606",".800",NA,".061","302",NA,".282","911",NA,".220",".345",NA,"18","1"
"12","11","Houston Rockets","63","15170",".450","14.2",NA,".548",".303",".179",".035",".031",".452",NA,".537",".682",".380",".293",".304",".344",NA,".494",".790",NA,".085","400",NA,".302","884",NA,".180",".345",NA,"15","0"
"13","12","Indiana Pacers","65","15800",".458","14.1",NA,".605",".263",".178",".094",".069",".395",NA,".536",".680",".441",".414",".403",".338",NA,".498",".854",NA,".041","215",NA,".303","1031",NA,".252",".372",NA,"19","0"
