"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","82","19705",".471","14.5",NA,".604",".258",".162",".102",".082",".396",NA,".541",".692",".428",".452",".400",".364",NA,".508",".831",NA,".060","384",NA,".255","1075",NA,".232",".382"
"3","2","Boston Celtics*","82","19905",".434","15.2",NA,".604",".188",".223",".099",".095",".396",NA,".497",".705",".409",".412",".384",".339",NA,".465",".789",NA,".048","317",NA,".254","942",NA,".214",".357"
"4","3","Brooklyn Nets*","82","19755",".452","14.2",NA,".598",".256",".175",".092",".075",".402",NA,".523",".680",".401",".421",".399",".345",NA,".499",".779",NA,".058","385",NA,".267","1064",NA,".244",".370"
"5","4","Chicago Bulls*","82","19730",".474","13.4",NA,".635",".297",".169",".091",".078",".365",NA,".536",".675",".420",".413",".398",".366",NA,".514",".829",NA,".057","373",NA,".287","1166",NA,".236",".427"
"6","5","Charlotte Hornets","82","19880",".466","14.4",NA,".571",".266",".170",".076",".059",".429",NA,".544",".685",".427",".408",".423",".362",NA,".528",".833",NA,".069","437",NA,".266","1084",NA,".278",".376"
"7","6","Cleveland Cavaliers","82","19730",".452","13.7",NA,".620",".294",".162",".093",".071",".380",NA,".514",".626",".415",".414",".402",".353",NA,".521",".826",NA,".061","382",NA,".267","1025",NA,".271",".379"
"8","7","Dallas Mavericks*","82","19755",".457","13.9",NA,".624",".238",".206",".107",".073",".376",NA,".527",".701",".442",".425",".354",".340",NA,".515",".827",NA,".057","348",NA,".255","1033",NA,".250",".377"
"9","8","Denver Nuggets*","82","19805",".470","14.2",NA,".609",".222",".219",".099",".069",".391",NA,".549",".730",".470",".444",".372",".346",NA,".533",".830",NA,".059","383",NA,".262","1109",NA,".235",".370"
"10","9","Detroit Pistons","82","19780",".473","13.7",NA,".622",".259",".216",".077",".070",".378",NA,".540",".674",".469",".439",".377",".362",NA,".534",".824",NA,".066","406",NA,".284","1126",NA,".253",".421"
"11","10","Golden State Warriors*","82","19730",".438","14.8",NA,".585",".176",".257",".089",".063",".415",NA,".509",".688",".457",".428",".335",".339",NA,".487",".846",NA,".046","296",NA,".268","1037",NA,".243",".397"
"12","11","Houston Rockets","82","19755",".483","14.0",NA,".598",".275",".177",".083",".062",".402",NA,".570",".713",".457",".457",".414",".353",NA,".503",".800",NA,".075","495",NA,".267","1157",NA,".241",".377"
"13","12","Indiana Pacers","82","19880",".483","13.6",NA,".633",".262",".203",".100",".069",".367",NA,".547",".692",".455",".441",".423",".372",NA,".506",".804",NA,".066","413",NA,".281","1165",NA,".229",".400"
"14","13","Los Angeles Clippers","82","19780",".450","13.7",NA,".626",".250",".215",".101",".060",".374",NA,".513",".660",".422",".417",".383",".345",NA,".505",".805",NA,".056","365",NA,".274","1087",NA,".217",".355"
"15","14","Los Angeles Lakers","82","19980",".470","14.0",NA,".605",".259",".194",".087",".065",".395",NA,".548",".714",".435",".420",".397",".352",NA,".523",".840",NA,".063","416",NA,".272","1165",NA,".207",".381"
"16","15","Memphis Grizzlies*","82","19780",".455","13.9",NA,".611",".272",".177",".097",".066",".389",NA,".522",".653",".413",".432",".407",".349",NA,".536",".815",NA,".064","404",NA,".272","1070",NA,".177",".391"
"17","16","Miami Heat*","82","19855",".447","15.4",NA,".544",".218",".172",".094",".061",".456",NA,".537",".702",".444",".416",".400",".339",NA,".507",".833",NA,".046","284",NA,".236","941",NA,".269",".372"
"18","17","Milwaukee Bucks*","82","19755",".456","15.6",NA,".552",".215",".163",".103",".072",".448",NA,".537",".697",".438",".444",".417",".356",NA,".517",".829",NA,".048","316",NA,".234","984",NA,".210",".359"
"19","18","Minnesota Timberwolves*","82","19780",".460","14.3",NA,".573",".260",".166",".086",".060",".427",NA,".543",".707",".407",".395",".422",".350",NA,".558",".846",NA,".068","438",NA,".269","1070",NA,".287",".377"
"20","19","New Orleans Pelicans","82","19755",".471","14.8",NA,".584",".233",".172",".101",".078",".416",NA,".546",".706",".456",".447",".395",".365",NA,".521",".821",NA,".048","305",NA,".250","1032",NA,".227",".403"
"21","20","New York Knicks","82","19780",".447","14.8",NA,".570",".259",".149",".088",".074",".430",NA,".527",".664",".422",".447",".353",".342",NA,".526",".838",NA,".054","347",NA,".259","1006",NA,".234",".346"
"22","21","Oklahoma City Thunder","82","19805",".458","14.8",NA,".573",".195",".231",".079",".068",".427",NA,".536",".682",".483",".470",".375",".353",NA,".522",".852",NA,".058","359",NA,".271","1108",NA,".264",".399"
"23","22","Orlando Magic","82","19780",".458","14.8",NA,".592",".211",".201",".100",".081",".408",NA,".524",".663",".457",".444",".425",".363",NA,".507",".819",NA,".055","369",NA,".253","990",NA,".222",".392"
"24","23","Philadelphia 76ers*","82","19805",".458","14.0",NA,".621",".252",".187",".109",".073",".379",NA,".527",".695",".405",".410",".434",".346",NA,".514",".794",NA,".062","395",NA,".258","1020",NA,".217",".369"
"25","24","Phoenix Suns*","82","19730",".444","14.6",NA,".613",".196",".232",".099",".086",".387",NA,".510",".677",".454",".435",".365",".340",NA,".496",".789",NA,".044","284",NA,".263","1054",NA,".196",".355"
"26","25","Portland Trail Blazers","82","19730",".479","14.4",NA,".568",".271",".164",".076",".056",".432",NA,".561",".694",".455",".414",".428",".371",NA,".550",".841",NA,".063","400",NA,".259","1075",NA,".284",".398"
"27","26","Sacramento Kings","82","19805",".479","13.9",NA,".614",".251",".203",".089",".071",".386",NA,".547",".712",".435",".424",".438",".372",NA,".489",".805",NA,".061","404",NA,".281","1190",NA,".226",".396"
"28","27","San Antonio Spurs","82","19805",".466","13.6",NA,".631",".264",".207",".092",".068",".369",NA,".528",".649",".435",".442",".452",".360",NA,".468",".811",NA,".057","359",NA,".304","1200",NA,".198",".410"
"29","28","Toronto Raptors*","82","19855",".462","14.4",NA,".587",".241",".196",".088",".061",".413",NA,".538",".702",".416",".439",".422",".354",NA,".546",".873",NA,".062","376",NA,".264","1015",NA,".310",".385"
"30","29","Utah Jazz*","82","19730",".453","14.6",NA,".612",".194",".219",".119",".081",".388",NA,".518",".705",".433",".438",".416",".350",NA,".494",".777",NA,".049","313",NA,".243","997",NA,".211",".370"
"31","30","Washington Wizards","82","19830",".464","14.2",NA,".642",".202",".242",".112",".086",".358",NA,".522",".700",".455",".436",".404",".361",NA,".487",".798",NA,".058","358",NA,".267","1073",NA,".206",".401"
"32","","League Average","82","19792",".461","14.3",NA,".601",".241",".194",".094",".071",".399",NA,".533",".687",".439",".431",".400",".354",NA,".512",".821",NA,".058","370",NA,".265","1069",NA,".237",".383"
