"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","2","480",".415","14.5",NA,".550","11.023","6.889","4.345","3.509",".450",NA,".479",".692",".428",".452",".400",".338",NA,"26.933","33.577",NA,"2.538","384",NA,"10.865","1075",NA,"8.701",".382"
"3","2","Boston Celtics*","0","","","15.2",NA,"","","","","","",NA,"",".705",".409",".412",".384","",NA,"","",NA,"","317",NA,"","942",NA,"",".357"
"4","3","Brooklyn Nets*","1","240",".446","14.2",NA,".717","20.587","14.065","7.380","6.022",".283",NA,".485",".680",".401",".421",".399",".346",NA,"36.094","88.778",NA,"4.696","385",NA,"21.457","1064",NA,"27.885",".370"
"5","4","Chicago Bulls*","0","","","13.4",NA,"","","","","","",NA,"",".675",".420",".413",".398","",NA,"","",NA,"","373",NA,"","1166",NA,"",".427"
"6","5","Charlotte Hornets","1","240",".521","14.4",NA,".660","20.915","13.351","6.000","4.606",".340",NA,".532",".685",".427",".408",".423",".500",NA,"36.758","59.750",NA,"5.426","437",NA,"20.904","1084",NA,"27.563",".376"
"7","6","Cleveland Cavaliers","2","480",".512","13.7",NA,".640","12.811","7.061","4.049","3.098",".360",NA,".629",".626",".415",".414",".402",".305",NA,"17.955","44.056",NA,"2.646","382",NA,"11.646","1025",NA,"12.492",".379"
"8","7","Dallas Mavericks*","0","","","13.9",NA,"","","","","","",NA,"",".701",".442",".425",".354","",NA,"","",NA,"","348",NA,"","1033",NA,"",".377"
"9","8","Denver Nuggets*","0","","","14.2",NA,"","","","","","",NA,"",".730",".470",".444",".372","",NA,"","",NA,"","383",NA,"","1109",NA,"",".370"
"10","9","Detroit Pistons","0","","","13.7",NA,"","","","","","",NA,"",".674",".469",".439",".377","",NA,"","",NA,"","406",NA,"","1126",NA,"",".421"
