"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","59","14160",".467","14.8",NA,".594",".255",".157",".097",".084",".406",NA,".539",".690",".418",".467",".390",".361",NA,".510",".846",NA,".060","276",NA,".250","748",NA,".240",".381"
"3","2","Boston Celtics","61","14840",".429","15.4",NA,".604",".189",".217",".103",".096",".396",NA,".488",".703",".392",".403",".376",".337",NA,".468",".801",NA,".046","231",NA,".257","707",NA,".210",".357"
"4","3","Brooklyn Nets","60","14450",".451","14.2",NA,".599",".264",".165",".092",".077",".401",NA,".528",".672",".402",".435",".416",".335",NA,".498",".779",NA,".054","255",NA,".273","821",NA,".243",".348"
"5","4","Chicago Bulls","60","14425",".466","13.4",NA,".635",".296",".170",".092",".077",".365",NA,".525",".667",".409",".400",".387",".362",NA,".519",".832",NA,".056","272",NA,".292","855",NA,".224",".415"
"6","5","Charlotte Hornets","60","14575",".463","14.6",NA,".566",".256",".172",".079",".058",".434",NA,".544",".684",".436",".407",".435",".356",NA,".525",".829",NA,".069","320",NA,".260","778",NA,".269",".375"
"7","6","Cleveland Cavaliers","59","14160",".441","13.8",NA,".617",".294",".159",".091",".072",".383",NA,".504",".605",".414",".415",".408",".340",NA,".510",".812",NA,".058","258",NA,".275","738",NA,".257",".355"
"8","7","Dallas Mavericks","59","14235",".455","13.9",NA,".629",".238",".203",".113",".075",".371",NA,".525",".690",".447",".432",".356",".335",NA,".515",".827",NA,".056","238",NA,".252","731",NA,".255",".375"
"9","8","Denver Nuggets","59","14210",".466","14.3",NA,".603",".224",".213",".097",".069",".397",NA,".551",".727",".471",".447",".374",".338",NA,".520",".822",NA,".058","268",NA,".263","793",NA,".240",".368"
"10","9","Detroit Pistons","59","14210",".475","13.9",NA,".615",".250",".214",".084",".067",".385",NA,".538",".670",".472",".415",".413",".374",NA,".539",".821",NA,".062","282",NA,".281","798",NA,".254",".419"
"11","10","Golden State Warriors","60","14450",".432","14.8",NA,".582",".175",".259",".085",".063",".418",NA,".504",".685",".447",".422",".345",".333",NA,".485",".837",NA,".047","224",NA,".273","762",NA,".242",".395"
"12","11","Houston Rockets","58","13945",".483","14.3",NA,".585",".272",".169",".081",".063",".415",NA,".574",".707",".463",".469",".431",".355",NA,".499",".806",NA,".071","326",NA,".263","798",NA,".240",".383"
"13","12","Indiana Pacers","60","14550",".473","13.6",NA,".641",".255",".203",".107",".076",".359",NA,".535",".673",".455",".435",".424",".362",NA,".489",".786",NA,".063","288",NA,".277","805",NA,".221",".380"
"14","13","Los Angeles Clippers","61","14690",".447","13.7",NA,".622",".252",".207",".103",".059",".378",NA,".514",".654",".427",".426",".371",".338",NA,".506",".800",NA,".054","268",NA,".276","810",NA,".223",".338"
"15","14","Los Angeles Lakers","58","14145",".456","14.1",NA,".595",".262",".187",".086",".061",".405",NA,".532",".704",".409",".389",".373",".344",NA,".530",".837",NA,".062","288",NA,".271","804",NA,".198",".361"
"16","15","Memphis Grizzlies","61","14715",".453","14.1",NA,".600",".271",".166",".097",".065",".400",NA,".519",".655",".388",".437",".410",".353",NA,".543",".822",NA,".062","292",NA,".267","770",NA,".173",".398"
"17","16","Miami Heat","59","14335",".442","15.5",NA,".538",".214",".174",".092",".058",".462",NA,".527",".697",".428",".411",".380",".343",NA,".506",".841",NA,".046","200",NA,".236","662",NA,".271",".373"
"18","17","Milwaukee Bucks","60","14450",".448","15.6",NA,".546",".218",".168",".091",".068",".454",NA,".535",".691",".430",".440",".421",".344",NA,".513",".830",NA,".045","218",NA,".246","748",NA,".211",".357"
"19","18","Minnesota Timberwolves","60","14500",".455","14.4",NA,".574",".258",".168",".085",".063",".426",NA,".535",".687",".413",".394",".426",".347",NA,".562",".845",NA,".070","333",NA,".267","749",NA,".292",".382"
