"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Charlotte Hornets",60,242.9,42.1,92.3,0.456,13.7,38.4,0.356,28.5,53.9,0.528,15.9,21.5,0.737,11.1,34.1,45.1,27.2,8.7,4.8,13.4,20,113.8
"2",2,"Phoenix Suns",59,240.4,43.3,89.7,0.482,11.3,31.4,0.36,31.9,58.3,0.548,16,20.2,0.793,10,36.1,46.1,27.1,8.6,4.3,13,19.1,113.8
"3",3,"Memphis Grizzlies",61,241.2,42.8,93.5,0.458,11.1,32.5,0.34,31.8,61,0.521,17.1,23.3,0.734,14,35,49,25.3,10.1,6.3,13.4,19.5,113.8
"4",4,"Utah Jazz",58,240,40.7,86,0.473,14.5,40.3,0.361,26.2,45.8,0.571,17.8,22.8,0.783,10.2,35.9,46.1,22.3,7.2,4.9,14.2,18.9,113.7
"5",5,"Minnesota Timberwolves",60,241.7,41,91.7,0.447,14.5,41.5,0.348,26.6,50.2,0.529,16.8,22,0.762,11.9,32.9,44.8,25.2,8.6,5.9,14.4,21.7,113.3
"6",6,"Milwaukee Bucks",60,240.8,41,89.1,0.46,14.2,39.2,0.361,26.9,49.8,0.539,17,22,0.775,10.2,36.2,46.5,23.4,7.7,4.1,13.6,18.1,113.2
"7",7,"Chicago Bulls",60,240.4,42.1,87.1,0.483,11.2,29.8,0.375,30.9,57.3,0.539,17.4,21.3,0.816,8.9,34.5,43.4,24.3,7.1,4.5,13,18.6,112.6
"8",8,"Atlanta Hawks",59,240,41.1,88,0.467,12.6,33.5,0.376,28.5,54.5,0.522,17.5,21.8,0.804,10,34.4,44.4,24.3,6.8,4.4,12.3,18.5,112.2
"9",9,"San Antonio Spurs",59,241.3,43.4,93.2,0.466,11.1,31.4,0.354,32.3,61.7,0.523,13.8,18.6,0.743,11,34.3,45.3,28,7.7,5.1,12.5,17.8,111.8
"10",10,"Golden State Warriors",60,240.8,40.4,86.4,0.467,14.5,40.1,0.362,25.9,46.3,0.559,15.7,20.5,0.765,9.7,36.1,45.8,27.4,9.3,4.9,15.2,20.4,111
