"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.6","50","12","46","16","8.11","-0.44","7.67","114.2","106.0","+8.2","99.4",".228",".353",".579",NA,".546","11.7","22.6",".181",NA,".504","13.0","77.4",".181",NA,"Phoenix Suns Arena","543,674","15,990"
"3","2","Utah Jazz","29.5","39","22","43","18","6.75","-0.34","6.42","116.7","109.8","+6.9","97.6",".264",".468",".594",NA,".560","12.9","24.5",".206",NA,".520","11.0","78.1",".156",NA,"Vivint Smart Home Arena","585,792","18,306"
"4","3","Golden State Warriors","27.8","43","20","44","19","6.59","-0.15","6.43","112.1","105.5","+6.6","98.6",".236",".463",".581",NA,".551","13.7","22.8",".181",NA,".507","13.6","78.8",".193",NA,"Chase Center","596,112","18,064"
"5","4","Boston Celtics","26.0","38","27","44","21","5.49","-0.56","4.93","111.7","106.1","+5.6","96.6",".238",".418",".566",NA,".528","12.6","24.0",".194",NA,".497","12.5","77.3",".181",NA,"TD Garden","612,992","18,576"
"6","5","Miami Heat","28.1","42","22","42","22","4.70","-0.32","4.39","113.1","108.3","+4.8","95.8",".248",".417",".578",NA,".541","13.4","24.6",".200",NA,".523","14.1","78.0",".205",NA,"FTX Arena","549,464","19,624"
"7","6","Memphis Grizzlies","23.9","43","21","41","23","4.56","-0.06","4.51","113.6","109.1","+4.5","99.7",".246",".346",".548",NA,".517","11.4","30.2",".181",NA,".523","13.3","77.5",".189",NA,"FedEx Forum","474,124","15,294"
"8","7","Cleveland Cavaliers","24.8","36","26","38","24","3.50","-0.21","3.29","110.7","107.0","+3.7","96.2",".252",".393",".567",NA,".535","13.7","24.0",".191",NA,".510","12.7","76.2",".160",NA,"Rocket Mortgage Fieldhouse","545,166","18,172"
"9","8","Milwaukee Bucks","28.4","38","25","38","25","3.54","-0.66","2.88","113.9","110.3","+3.6","99.5",".253",".441",".575",NA,".541","12.1","22.9",".197",NA,".526","11.8","77.8",".167",NA,"Fiserv Forum","590,773","17,376"
"10","9","Dallas Mavericks","26.7","38","25","38","25","3.38","0.09","3.47","111.5","108.0","+3.5","95.5",".240",".431",".564",NA,".532","11.7","21.3",".183",NA,".520","12.6","78.4",".178",NA,"American Airlines Center","626,612","19,582"
