"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","59","14","54","19","8.41","-0.68","7.73","115.2","106.8","+8.4","99.5",".225",".354",".584",NA,".551","11.6","22.5",".180",NA,".507","12.9","77.2",".188",NA,"Phoenix Suns Arena","611,958","16,104"
"3","2","Boston Celtics","26.1","46","28","52","22","6.66","-0.47","6.19","113.3","106.5","+6.8","96.4",".240",".421",".573",NA,".535","12.3","23.9",".196",NA,".498","12.5","77.1",".184",NA,"TD Garden","670,460","18,121"
"4","3","Utah Jazz","29.3","45","28","50","23","6.10","-0.38","5.72","116.5","110.3","+6.2","97.4",".266",".470",".591",NA,".556","12.9","25.1",".207",NA,".520","10.9","78.3",".162",NA,"Vivint Smart Home Arena","677,322","18,306"
"5","4","Golden State Warriors","27.6","48","25","50","23","6.01","-0.11","5.91","112.5","106.4","+6.1","98.4",".234",".460",".581",NA,".551","13.5","22.9",".179",NA,".508","13.2","78.8",".198",NA,"Chase Center","686,432","18,064"
"6","5","Memphis Grizzlies","24.0","50","23","48","25","5.41","-0.68","4.73","114.3","108.9","+5.4","100.1",".245",".344",".550",NA,".520","11.2","30.0",".180",NA,".521","13.2","77.7",".193",NA,"FedEx Forum","543,333","15,524"
"7","6","Miami Heat","28.2","47","26","47","26","4.32","-0.24","4.08","113.0","108.6","+4.4","95.8",".249",".418",".578",NA,".540","13.2","23.9",".202",NA,".523","13.9","78.1",".207",NA,"FTX Arena","706,368","19,621"
"8","7","Milwaukee Bucks","28.4","45","27","45","27","3.97","-0.29","3.68","115.0","111.0","+4.0","99.8",".256",".436",".580",NA,".546","11.9","23.1",".198",NA,".531","11.7","78.5",".166",NA,"Fiserv Forum","643,592","17,394"
"9","8","Minnesota Timberwolves","24.1","42","32","44","30","3.28","-0.11","3.17","114.0","110.7","+3.3","100.7",".251",".456",".570",NA,".535","12.4","24.8",".195",NA,".529","14.2","75.0",".229",NA,"Target Center","588,604","15,908"
"10","9","Cleveland Cavaliers","24.7","41","31","43","29","2.79","-0.10","2.69","111.4","108.5","+2.9","96.2",".258",".387",".569",NA,".536","13.4","24.1",".196",NA,".516","12.5","76.4",".165",NA,"Rocket Mortgage Fieldhouse","661,068","18,363"
