"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","53","12720",".466","14.9",NA,".619",".249",".162",".113",".096",".381",NA,".523",".666",".423",".434",".424",".373",NA,".527",".748",NA,".058","247",NA,".241","612",NA,".220",".387",NA,"12","1"
"3","2","Boston Celtics","55","13400",".450","15.4",NA,".584",".203",".202",".090",".089",".416",NA,".528",".722",".445",".393",".415",".340",NA,".487",".819",NA,".051","223",NA,".271","737",NA,".229",".379",NA,"9","0"
"4","3","Brooklyn Nets","53","12770",".470","13.8",NA,".641",".256",".164",".128",".094",".359",NA,".535",".644",".424",".496",".484",".354",NA,".556",".754",NA,".047","193",NA,".265","660",NA,".234",".359",NA,"2","0"
"5","4","Chicago Bulls","53","12745",".478","14.1",NA,".655",".253",".149",".128",".123",".345",NA,".534",".676",".430",".462",".446",".372",NA,".489",".857",NA,".050","204",NA,".249","654",NA,".276",".433",NA,"10","1"
"6","5","Charlotte Hornets","54","13060",".459","14.1",NA,".584",".273",".184",".075",".052",".416",NA,".527",".681",".377",".396",".438",".363",NA,".533",".854",NA,".070","311",NA,".282","730",NA,".271",".367",NA,"12","0"
"7","6","Cleveland Cavaliers","54","12960",".464","14.0",NA,".605",".275",".177",".096",".056",".395",NA,".538",".696",".399",".422",".405",".351",NA,".568",".826",NA,".079","323",NA,".239","605",NA,".233",".344",NA,"7","1"
"8","7","Dallas Mavericks","54","13035",".453","15.3",NA,".575",".204",".170",".119",".082",".425",NA,".540",".715",".457",".460",".397",".335",NA,".518",".818",NA,".063","255",NA,".198","534",NA,".246",".385",NA,"10","0"
"9","8","Denver Nuggets","53","12770",".472","14.6",NA,".581",".230",".195",".081",".074",".419",NA,".558",".743",".451",".421",".416",".354",NA,".580",".849",NA,".054","216",NA,".266","725",NA,".249",".386",NA,"14","0"
"10","9","Detroit Pistons","53","12770",".420","14.2",NA,".604",".244",".205",".081",".074",".396",NA,".486",".633",".417",".325",".369",".321",NA,".486",".877",NA,".035","148",NA,".308","760",NA,".252",".358",NA,"15","0"
