"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Golden State Warriors","28.1","39","13","39","13","8.19","-0.15","8.05","111.7","103.5","+8.2","98.6",".236",".463",".579",NA,".549","14.0","23.5",".180",NA,".496","13.6","79.1",".192",NA,"Chase Center","505,792","18,064"
"3","2","Phoenix Suns","27.7","41","9","37","13","7.94","-0.12","7.82","113.6","105.6","+8.0","99.3",".226",".355",".576",NA,".543","12.0","22.9",".180",NA,".504","13.2","76.9",".176",NA,"Phoenix Suns Arena","424,177","15,710"
"4","3","Utah Jazz","29.7","30","21","34","17","5.73","-0.30","5.43","115.8","110.0","+5.8","98.0",".268",".469",".591",NA,".557","13.0","24.1",".209",NA,".518","10.8","78.1",".155",NA,"Vivint Smart Home Arena","457,650","18,306"
"5","4","Cleveland Cavaliers","24.7","31","20","33","18","4.61","0.09","4.70","110.8","106.0","+4.8","96.4",".242",".398",".567",NA,".536","13.7","23.9",".183",NA,".506","12.6","76.2",".156",NA,"Quicken Loans Arena","449,430","17,977"
"6","5","Miami Heat","28.1","32","20","32","20","3.71","-0.40","3.32","112.7","108.8","+3.9","95.5",".237",".423",".575",NA,".539","13.6","25.3",".192",NA,".527","14.1","78.1",".203",NA,"FTX Arena","470,904","19,621"
"7","6","Memphis Grizzlies","24.0","35","18","33","20","3.64","0.29","3.93","112.1","108.5","+3.6","99.4",".236",".349",".546",NA,".515","11.6","29.0",".174",NA,".524","13.7","77.9",".185",NA,"FedEx Forum","424,377","15,156"
"8","7","Boston Celtics","26.1","27","25","32","20","3.42","-0.04","3.38","110.3","106.8","+3.5","96.4",".238",".416",".558",NA,".520","12.7","23.8",".194",NA,".505","12.6","77.9",".180",NA,"TD Garden","498,056","18,447"
"9","8","Milwaukee Bucks","28.4","32","21","32","21","3.13","-0.75","2.38","112.3","109.2","+3.1","99.1",".242",".441",".568",NA,".534","12.3","23.0",".189",NA,".521","12.1","77.8",".164",NA,"Fiserv Forum","486,727","17,383"
"10","9","Dallas Mavericks","26.7","29","22","30","21","2.67","-0.09","2.58","110.1","107.3","+2.8","96.0",".238",".426",".557",NA,".524","11.6","21.0",".183",NA,".518","12.6","79.1",".177",NA,"American Airlines Center","489,336","19,573"
