"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","65","15625",".468","14.9",NA,".617",".246",".163",".113",".095",".383",NA,".528",".677",".424",".446",".415",".372",NA,".527",".729",NA,".061","323",NA,".235","739",NA,".216",".405",NA,"14","1"
"3","2","Boston Celtics","67","16280",".457","15.2",NA,".582",".217",".195",".087",".083",".418",NA,".536",".722",".441",".406",".413",".346",NA,".504",".817",NA,".054","286",NA,".274","917",NA,".228",".377",NA,"9","0"
"4","3","Brooklyn Nets","66","15890",".467","13.9",NA,".641",".249",".165",".130",".096",".359",NA,".531",".647",".430",".481",".471",".354",NA,".539",".763",NA,".048","243",NA,".260","811",NA,".229",".379",NA,"6","0"
"5","4","Chicago Bulls","66","15865",".484","13.9",NA,".665",".259",".145",".131",".129",".335",NA,".540",".680",".450",".454",".445",".374",NA,".478",".847",NA,".050","262",NA,".247","823",NA,".275",".442",NA,"11","1"
"6","5","Charlotte Hornets","67","16280",".458","14.0",NA,".583",".285",".178",".073",".048",".417",NA,".531",".678",".378",".395",".426",".357",NA,".538",".860",NA,".075","409",NA,".288","931",NA,".280",".363",NA,"15","0"
"7","6","Cleveland Cavaliers","65","15600",".467","13.8",NA,".609",".283",".176",".094",".055",".391",NA,".542",".696",".406",".419",".398",".351",NA,".561",".820",NA,".079","387",NA,".242","746",NA,".235",".339",NA,"8","1"
"8","7","Dallas Mavericks","66","15915",".456","15.3",NA,".567",".203",".173",".116",".075",".433",NA,".541",".725",".446",".449",".405",".343",NA,".501",".797",NA,".058","288",NA,".203","674",NA,".252",".400",NA,"11","0"
"9","8","Denver Nuggets","66","15915",".476","14.6",NA,".577",".230",".198",".076",".073",".423",NA,".567",".747",".464",".432",".420",".352",NA,".580",".854",NA,".056","285",NA,".266","905",NA,".255",".381",NA,"22","0"
"10","9","Detroit Pistons","66","15940",".426","14.0",NA,".614",".250",".207",".082",".075",".386",NA,".490",".636",".410",".342",".387",".323",NA,".488",".893",NA,".038","193",NA,".309","960",NA,".260",".358",NA,"18","0"
"11","10","Golden State Warriors","66","15890",".469","15.5",NA,".540",".213",".194",".068",".065",".460",NA,".559",".709",".508",".410",".371",".363",NA,".604",".798",NA,".062","321",NA,".283","962",NA,".220",".345",NA,"18","1"
"12","11","Houston Rockets","66","15915",".452","14.2",NA,".549",".303",".179",".036",".031",".451",NA,".540",".685",".380",".305",".314",".345",NA,".490",".788",NA,".084","413",NA,".304","941",NA,".180",".345",NA,"15","0"
"13","12","Indiana Pacers","67","16280",".460","14.1",NA,".606",".264",".180",".093",".069",".394",NA,".538",".677",".447",".418",".407",".340",NA,".501",".856",NA,".041","222",NA,".306","1072",NA,".251",".372",NA,"21","0"
"14","13","Los Angeles Clippers","68","16370",".454","14.9",NA,".611",".208",".182",".119",".103",".389",NA,".510",".682",".453",".430",".355",".367",NA,".494",".809",NA,".051","260",NA,".213","689",NA,".212",".401",NA,"15","0"
"15","14","Los Angeles Lakers","65","15850",".465","14.0",NA,".612",".282",".156",".086",".088",".388",NA,".539",".697",".416",".386",".403",".348",NA,".473",".836",NA,".063","320",NA,".310","1033",NA,".216",".381",NA,"5","0"
"16","15","Memphis Grizzlies","67","16155",".459","12.9",NA,".654",".274",".228",".108",".044",".346",NA,".522",".667",".417",".435",".377",".340",NA,".500",".843",NA,".055","306",NA,".278","968",NA,".233",".363",NA,"9","0"
"17","16","Miami Heat","67","16255",".463","14.7",NA,".586",".229",".181",".111",".064",".414",NA,".525",".693",".424",".424",".388",".376",NA,".544",".859",NA,".050","255",NA,".243","799",NA,".302",".420",NA,"20","0"
"18","17","Milwaukee Bucks","67","16130",".464","15.2",NA,".563",".230",".160",".105",".068",".437",NA,".541",".713",".419",".446",".394",".366",NA,".452",".798",NA,".046","243",NA,".248","866",NA,".244",".387",NA,"8","0"
"19","18","Minnesota Timberwolves","67","16180",".453","14.6",NA,".544",".264",".174",".059",".047",".456",NA,".538",".672",".421",".409",".381",".352",NA,".518",".802",NA,".064","340",NA,".277","930",NA,".223",".377",NA,"15","0"
"20","19","New Orleans Pelicans","66","15915",".452","13.8",NA,".628",".265",".183",".095",".085",".372",NA,".525",".667",".420",".455",".385",".329",NA,".536",".874",NA,".055","288",NA,".289","895",NA,".240",".374",NA,"16","2"
"21","20","New York Knicks","66","15940",".436","14.7",NA,".576",".250",".160",".087",".079",".424",NA,".497",".654",".377",".385",".367",".354",NA,".451",".790",NA,".067","332",NA,".237","700",NA,".206",".377",NA,"6","0"
"22","21","Oklahoma City Thunder","66","15940",".423","14.3",NA,".583",".210",".252",".076",".044",".417",NA,".501",".629",".438",".429",".378",".314",NA,".460",".824",NA,".052","258",NA,".319","951",NA,".202",".347",NA,"6","0"
"23","22","Orlando Magic","67","16130",".434","14.3",NA,".588",".229",".224",".069",".066",".412",NA,".508",".660",".431",".424",".326",".328",NA,".493",".868",NA,".062","321",NA,".268","831",NA,".206",".363",NA,"11","0"
"24","23","Philadelphia 76ers","64","15460",".464","14.0",NA,".632",".236",".194",".125",".077",".368",NA,".526",".699",".418",".421",".444",".357",NA,".493",".835",NA,".046","226",NA,".247","765",NA,".234",".380",NA,"9","0"
"25","24","Phoenix Suns","66","15865",".481","14.3",NA,".646",".180",".228",".146",".091",".354",NA,".545",".695",".511",".488",".428",".363",NA,".557",".832",NA,".052","287",NA,".218","740",NA,".259",".385",NA,"11","0"
"26","25","Portland Trail Blazers","65","15625",".442","14.9",NA,".567",".250",".168",".073",".076",".433",NA,".512",".625",".429",".416",".412",".350",NA,".487",".782",NA,".043","209",NA,".267","803",NA,".210",".370",NA,"7","0"
"27","26","Sacramento Kings","68","16395",".458","13.8",NA,".623",".233",".221",".102",".068",".377",NA,".529",".698",".432",".421",".425",".342",NA,".492",".799",NA,".061","312",NA,".263","885",NA,".217",".383",NA,"12","1"
"28","27","San Antonio Spurs","66","15965",".469","13.2",NA,".663",".236",".230",".126",".071",".337",NA,".529",".668",".463",".455",".408",".352",NA,".554",".911",NA,".036","198",NA,".294","1022",NA,".228",".374",NA,"8","1"
"29","28","Toronto Raptors","65","15725",".442","14.3",NA,".625",".224",".204",".102",".095",".375",NA,".497",".649",".426",".409",".384",".352",NA,".439",".788",NA,".056","281",NA,".248","769",NA,".228",".406",NA,"13","2"
