"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","74","17785",".467","14.9",NA,".614",".249",".161",".112",".093",".386",NA,".528",".668",".430",".453",".417",".370",NA,".533",".731",NA,".059","357",NA,".236","842",NA,".217",".408",NA,"14","1"
"3","2","Boston Celtics","74","17960",".461","15.2",NA,".579",".213",".202",".085",".079",".421",NA,".541",".731",".451",".408",".407",".351",NA,".505",".814",NA,".057","328",NA,".274","1012",NA,".230",".380",NA,"10","0"
"4","3","Brooklyn Nets","73","17570",".474","14.0",NA,".643",".249",".170",".132",".096",".357",NA,".539",".655",".444",".483",".480",".358",NA,".542",".767",NA,".051","287",NA,".259","900",NA,".227",".388",NA,"7","0"
"5","4","Chicago Bulls","73","17545",".481","13.9",NA,".664",".257",".149",".129",".129",".336",NA,".536",".676",".449",".448",".443",".373",NA,".479",".849",NA,".050","286",NA,".246","902",NA,".273",".423",NA,"15","1"
"6","5","Charlotte Hornets","74","17960",".463","14.0",NA,".580",".285",".176",".070",".048",".420",NA,".536",".684",".380",".401",".433",".361",NA,".547",".865",NA,".077","463",NA,".285","1023",NA,".286",".364",NA,"16","0"
"7","6","Cleveland Cavaliers","73","17570",".468","13.7",NA,".613",".286",".181",".092",".054",".387",NA,".541",".697",".399",".421",".393",".352",NA,".561",".827",NA,".079","442",NA,".244","841",NA,".237",".341",NA,"8","1"
"8","7","Dallas Mavericks","74","17835",".455","15.3",NA,".565",".206",".177",".112",".073",".435",NA,".543",".730",".446",".448",".400",".341",NA,".505",".786",NA,".059","320",NA,".208","781",NA,".261",".383",NA,"13","0"
"9","8","Denver Nuggets","74","17860",".479","14.5",NA,".581",".231",".201",".074",".073",".419",NA,".569",".743",".472",".434",".424",".355",NA,".580",".852",NA,".058","327",NA,".265","1004",NA,".261",".387",NA,"23","0"
"10","9","Detroit Pistons","74","17860",".429","14.0",NA,".613",".249",".209",".080",".074",".387",NA,".494",".641",".415",".356",".376",".325",NA,".489",".896",NA,".039","231",NA,".307","1072",NA,".268",".364",NA,"19","0"
"11","10","Golden State Warriors","74","17810",".468","15.6",NA,".540",".206",".196",".070",".068",".460",NA,".560",".714",".514",".406",".380",".361",NA,".597",".797",NA,".058","341",NA,".279","1073",NA,".219",".341",NA,"22","1"
"12","11","Houston Rockets","74","17835",".454","14.2",NA,".553",".299",".184",".037",".034",".447",NA,".541",".687",".389",".309",".333",".347",NA,".499",".790",NA,".086","477",NA,".302","1044",NA,".177",".354",NA,"15","0"
"13","12","Indiana Pacers","74","17960",".461","14.0",NA,".607",".267",".177",".095",".067",".393",NA,".540",".677",".450",".419",".400",".341",NA,".502",".859",NA,".043","260",NA,".305","1185",NA,".250",".377",NA,"22","0"
"14","13","Los Angeles Clippers","75","18075",".453","14.8",NA,".614",".207",".186",".120",".101",".386",NA,".509",".688",".447",".430",".350",".364",NA,".499",".814",NA,".052","292",NA,".213","763",NA,".216",".396",NA,"17","0"
"15","14","Los Angeles Lakers","73","17795",".468","14.0",NA,".610",".284",".154",".085",".087",".390",NA,".543",".702",".412",".398",".398",".350",NA,".478",".827",NA,".063","361",NA,".311","1177",NA,".231",".374",NA,"5","0"
"16","15","Memphis Grizzlies","74","17835",".461","12.8",NA,".655",".271",".232",".107",".044",".345",NA,".521",".673",".418",".420",".372",".349",NA,".497",".849",NA,".057","354",NA,".279","1075",NA,".235",".370",NA,"13","0"
"17","16","Miami Heat","74","17935",".462","14.8",NA,".581",".228",".183",".107",".063",".419",NA,".527",".693",".424",".428",".391",".373",NA,".542",".855",NA,".051","282",NA,".240","863",NA,".298",".411",NA,"20","0"
"18","17","Milwaukee Bucks","73","17570",".467","15.2",NA,".564",".225",".164",".106",".069",".436",NA,".541",".717",".422",".448",".395",".370",NA,".451",".795",NA,".046","265",NA,".246","934",NA,".242",".394",NA,"8","0"
"19","18","Minnesota Timberwolves","75","18100",".455","14.6",NA,".545",".265",".173",".059",".047",".455",NA,".538",".676",".414",".419",".374",".355",NA,".517",".795",NA,".064","382",NA,".278","1040",NA,".223",".388",NA,"18","0"
"20","19","New Orleans Pelicans","73","17595",".455","13.7",NA,".632",".268",".184",".098",".081",".368",NA,".527",".667",".421",".456",".391",".333",NA,".533",".873",NA,".055","320",NA,".293","1003",NA,".242",".375",NA,"17","2"
"21","20","New York Knicks","74","17860",".436","14.7",NA,".575",".255",".159",".086",".076",".425",NA,".496",".654",".369",".384",".360",".356",NA,".459",".802",NA,".070","387",NA,".240","781",NA,".212",".379",NA,"6","0"
"22","21","Oklahoma City Thunder","73","17620",".426","14.3",NA,".580",".207",".254",".076",".042",".420",NA,".505",".636",".441",".430",".379",".318",NA,".460",".819",NA,".051","284",NA,".319","1060",NA,".202",".347",NA,"7","0"
"23","22","Orlando Magic","74","17835",".433","14.4",NA,".586",".226",".226",".069",".064",".414",NA,".506",".661",".431",".418",".320",".329",NA,".498",".872",NA,".063","356",NA,".268","919",NA,".207",".380",NA,"12","0"
"24","23","Philadelphia 76ers","73","17645",".462","14.0",NA,".628",".237",".195",".121",".075",".372",NA,".522",".693",".413",".414",".441",".360",NA,".493",".837",NA,".048","267",NA,".248","857",NA,".233",".390",NA,"11","0"
"25","24","Phoenix Suns","74","17810",".488","14.2",NA,".647",".188",".221",".149",".089",".353",NA,".553",".707",".510",".494",".435",".368",NA,".553",".833",NA,".052","325",NA,".220","853",NA,".260",".391",NA,"12","0"
"26","25","Portland Trail Blazers","73","17545",".445","14.6",NA,".579",".264",".172",".074",".073",".421",NA,".516",".632",".426",".419",".401",".347",NA,".496",".781",NA,".046","254",NA,".279","944",NA,".209",".365",NA,"10","0"
"27","26","Sacramento Kings","74","17860",".459","13.9",NA,".621",".231",".221",".100",".069",".379",NA,".529",".694",".433",".428",".430",".345",NA,".493",".806",NA,".059","329",NA,".263","962",NA,".218",".392",NA,"12","1"
"28","27","San Antonio Spurs","73","17645",".466","13.3",NA,".656",".236",".226",".124",".070",".344",NA,".525",".666",".455",".446",".413",".352",NA,".552",".913",NA,".036","223",NA,".293","1117",NA,".226",".372",NA,"10","1"
"29","28","Toronto Raptors","73","17670",".443","14.3",NA,".627",".225",".208",".100",".095",".373",NA,".498",".649",".431",".419",".371",".350",NA,".436",".797",NA,".055","314",NA,".248","869",NA,".232",".403",NA,"15","2"
"30","29","Utah Jazz","74","17785",".471","15.1",NA,".528",".202",".232",".067",".028",".472",NA,".567",".723",".481",".458",".404",".363",NA,".451",".724",NA,".069","396",NA,".246","880",NA,".238",".385",NA,"10","1"
"31","30","Washington Wizards","73","17670",".468","13.8",NA,".641",".228",".230",".105",".079",".359",NA,".540",".722",".454",".422",".425",".337",NA,".529",".846",NA,".065","364",NA,".283","1015",NA,".246",".395",NA,"8","0"
"32","","League Average","74","17774",".459","14.3",NA,".601",".242",".194",".095",".071",".399",NA,".531",".684",".436",".430",".401",".352",NA,".510",".820",NA,".057","329",NA,".266","960",NA,".235",".381",NA,"13.2","0.4"
