"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","54","12960",".468","14.9",NA,".619",".250",".162",".113",".095",".381",NA,".525",".666",".425",".436",".426",".376",NA,".532",".744",NA,".059","257",NA,".240","622",NA,".220",".391",NA,"12","1"
"3","2","Boston Celtics","56","13640",".452","15.4",NA,".584",".204",".202",".090",".088",".416",NA,".531",".722",".447",".401",".415",".340",NA,".489",".820",NA,".052","228",NA,".271","755",NA,".231",".380",NA,"9","0"
"4","3","Brooklyn Nets","55","13250",".468","13.8",NA,".641",".254",".168",".127",".093",".359",NA,".533",".642",".428",".492",".481",".352",NA,".553",".754",NA,".047","200",NA,".266","686",NA,".234",".357",NA,"2","0"
"5","4","Chicago Bulls","55","13225",".480","14.1",NA,".655",".255",".147",".128",".124",".345",NA,".535",".674",".433",".466",".443",".375",NA,".488",".847",NA,".049","208",NA,".250","684",NA,".276",".434",NA,"10","1"
"6","5","Charlotte Hornets","56","13540",".457","14.1",NA,".584",".276",".181",".075",".052",".416",NA,".527",".683",".374",".390",".433",".360",NA,".535",".857",NA,".071","325",NA,".284","766",NA,".273",".363",NA,"13","0"
"7","6","Cleveland Cavaliers","55","13200",".464","13.9",NA,".607",".276",".179",".096",".056",".393",NA,".537",".693",".400",".421",".408",".352",NA,".565",".822",NA,".079","327",NA,".239","615",NA,".233",".350",NA,"8","1"
"8","7","Dallas Mavericks","56","13515",".454","15.3",NA,".573",".203",".170",".119",".081",".427",NA,".541",".716",".461",".455",".399",".338",NA,".517",".809",NA,".062","259",NA,".198","555",NA,".246",".385",NA,"11","0"
"9","8","Denver Nuggets","54","13010",".474","14.6",NA,".580",".230",".195",".081",".074",".420",NA,".559",".745",".452",".423",".416",".355",NA,".580",".849",NA,".054","223",NA,".266","739",NA,".252",".391",NA,"14","0"
"10","9","Detroit Pistons","55","13250",".420","14.2",NA,".605",".247",".202",".081",".075",".395",NA,".488",".636",".415",".329",".369",".316",NA,".490",".880",NA,".036","156",NA,".308","797",NA,".251",".349",NA,"15","0"
"11","10","Golden State Warriors","56","13490",".466","15.6",NA,".534",".212",".195",".064",".062",".466",NA,".556",".697",".512",".390",".383",".363",NA,".612",".800",NA,".061","272",NA,".282","800",NA,".219",".356",NA,"16","1"
"12","11","Houston Rockets","55","13225",".451","14.1",NA,".549",".315",".170",".034",".030",".451",NA,".539",".682",".372",".302",".262",".345",NA,".489",".792",NA,".084","346",NA,".307","782",NA,".183",".348",NA,"15","0"
"13","12","Indiana Pacers","56","13590",".455","14.1",NA,".605",".260",".180",".097",".068",".395",NA,".535",".684",".440",".400",".411",".333",NA,".492",".864",NA,".038","170",NA,".304","896",NA,".248",".375",NA,"17","0"
"14","13","Los Angeles Clippers","57","13730",".451","14.9",NA,".606",".207",".178",".117",".103",".394",NA,".509",".677",".452",".436",".354",".360",NA,".492",".816",NA,".051","215",NA,".213","570",NA,".215",".389",NA,"11","0"
"15","14","Los Angeles Lakers","56","13665",".466","14.1",NA,".612",".289",".143",".086",".094",".388",NA,".540",".696",".399",".389",".411",".349",NA,".480",".839",NA,".065","284",NA,".304","870",NA,".219",".375",NA,"5","0"
"16","15","Memphis Grizzlies","57","13755",".458","12.9",NA,".652",".269",".231",".109",".044",".348",NA,".521",".668",".416",".439",".371",".342",NA,".498",".849",NA,".054","254",NA,".275","818",NA,".233",".373",NA,"7","0"
"17","16","Miami Heat","56","13565",".461","14.8",NA,".580",".227",".180",".108",".065",".420",NA,".522",".692",".407",".427",".408",".377",NA,".548",".867",NA,".049","208",NA,".243","663",NA,".301",".420",NA,"15","0"
"18","17","Milwaukee Bucks","57","13730",".460","15.3",NA,".559",".227",".161",".104",".066",".441",NA,".536",".707",".419",".445",".380",".363",NA,".451",".802",NA,".045","199",NA,".247","731",NA,".241",".391",NA,"7","0"
"19","18","Minnesota Timberwolves","55","13275",".447","14.6",NA,".548",".259",".180",".061",".049",".452",NA,".527",".663",".413",".396",".393",".350",NA,".509",".795",NA,".063","271",NA,".275","741",NA,".215",".366",NA,"14","0"
"20","19","New Orleans Pelicans","55","13250",".442","13.8",NA,".623",".273",".177",".091",".082",".377",NA,".512",".658",".407",".428",".350",".326",NA,".544",".886",NA,".056","239",NA,".297","748",NA,".241",".372",NA,"13","1"
"21","20","New York Knicks","56","13515",".435","14.7",NA,".575",".251",".158",".086",".080",".425",NA,".495",".648",".377",".385",".367",".354",NA,".453",".795",NA,".067","281",NA,".238","588",NA,".206",".377",NA,"6","0"
"22","21","Oklahoma City Thunder","54","13010",".418","14.5",NA,".576",".213",".241",".075",".047",".424",NA,".494",".622",".429",".413",".375",".314",NA,".451",".827",NA,".049","196",NA,".311","750",NA,".209",".365",NA,"4","0"
