"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","74","17785",".471","14.4",NA,".605",".264",".158",".102",".082",".395",NA,".541",".690",".420",".459",".398",".364",NA,".511",".839",NA,".061","351",NA,".258","975",NA,".233",".384"
"3","2","Boston Celtics","75","18200",".432","15.3",NA,".602",".186",".222",".101",".093",".398",NA,".495",".703",".404",".409",".389",".338",NA,".465",".788",NA,".047","287",NA,".256","864",NA,".215",".357"
"4","3","Brooklyn Nets","75","18050",".453","14.2",NA,".600",".256",".175",".094",".075",".400",NA,".524",".679",".397",".430",".407",".346",NA,".504",".783",NA,".056","335",NA,".268","982",NA,".241",".369"
"5","4","Chicago Bulls","74","17785",".470","13.3",NA,".638",".297",".174",".091",".077",".362",NA,".531",".669",".416",".411",".402",".362",NA,".511",".828",NA,".057","339",NA,".289","1046",NA,".231",".420"
"6","5","Charlotte Hornets","75","18200",".463","14.5",NA,".570",".263",".173",".076",".058",".430",NA,".544",".684",".429",".404",".430",".357",NA,".529",".829",NA,".068","396",NA,".266","993",NA,".275",".367"
"7","6","Cleveland Cavaliers","74","17810",".451","13.7",NA,".621",".298",".160",".091",".072",".379",NA,".513",".621",".411",".427",".399",".349",NA,".515",".823",NA,".060","342",NA,".270","931",NA,".270",".367"
"8","7","Dallas Mavericks","75","18075",".456","13.8",NA,".624",".240",".207",".106",".071",".376",NA,".528",".696",".448",".424",".346",".338",NA,".514",".826",NA,".058","325",NA,".258","947",NA,".252",".379"
"9","8","Denver Nuggets","75","18100",".468","14.3",NA,".607",".222",".218",".098",".070",".393",NA,".549",".726",".468",".458",".368",".344",NA,".527",".827",NA,".059","348",NA,".261","997",NA,".236",".367"
"10","9","Detroit Pistons","75","18100",".470","13.8",NA,".621",".256",".216",".078",".071",".379",NA,".535",".668",".466",".431",".384",".364",NA,".533",".822",NA,".063","357",NA,".282","1015",NA,".248",".416"
"11","10","Golden State Warriors","75","18050",".440","14.8",NA,".582",".177",".255",".088",".063",".418",NA,".510",".693",".454",".428",".339",".342",NA,".492",".850",NA,".046","276",NA,".269","946",NA,".243",".402"
"12","11","Houston Rockets","75","18075",".482","14.1",NA,".594",".276",".172",".085",".061",".406",NA,".571",".710",".459",".463",".411",".351",NA,".503",".801",NA,".074","448",NA,".268","1055",NA,".242",".372"
"13","12","Indiana Pacers","75","18200",".477","13.6",NA,".635",".261",".203",".100",".071",".365",NA,".541",".684",".452",".436",".422",".365",NA,".496",".801",NA,".065","373",NA,".280","1045",NA,".223",".388"
