"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Golden State Warriors","28.0","41","13","40","14","8.33","-0.36","7.97","112.1","103.7","+8.4","98.6",".235",".464",".582",NA,".552","14.1","23.5",".179",NA,".497","13.7","78.9",".192",NA,"Chase Center","523,856","18,064"
"3","2","Phoenix Suns","27.7","44","10","39","15","7.61","-0.12","7.49","113.7","106.0","+7.7","99.2",".224",".353",".575",NA,".542","11.8","23.1",".179",NA,".505","13.1","77.3",".179",NA,"Phoenix Suns Arena","424,177","15,710"
"4","3","Utah Jazz","29.6","33","21","37","17","6.07","-0.17","5.90","116.0","109.8","+6.2","98.0",".267",".467",".591",NA,".557","12.9","24.1",".208",NA,".517","10.9","77.7",".155",NA,"Vivint Smart Home Arena","512,568","18,306"
"5","4","Boston Celtics","26.1","31","25","36","20","4.66","-0.40","4.26","110.6","105.9","+4.7","96.6",".235",".416",".561",NA,".523","12.8","23.9",".192",NA,".499","12.6","77.6",".179",NA,"TD Garden","517,212","18,472"
"6","5","Miami Heat","28.1","35","20","35","20","4.53","-0.41","4.12","112.8","108.1","+4.7","95.6",".237",".421",".577",NA,".540","13.7","25.0",".193",NA,".523","14.2","78.1",".204",NA,"FTX Arena","470,904","19,621"
"7","6","Cleveland Cavaliers","24.8","33","21","35","19","4.41","-0.07","4.34","110.6","106.1","+4.5","96.3",".245",".395",".565",NA,".534","13.6","24.2",".184",NA,".505","12.6","76.1",".157",NA,"Quicken Loans Arena","468,862","18,033"
"8","7","Memphis Grizzlies","23.9","38","18","36","20","4.48","0.11","4.59","112.9","108.5","+4.4","99.5",".236",".348",".547",NA,".517","11.4","29.4",".174",NA,".524","13.7","78.0",".187",NA,"FedEx Forum","440,478","15,189"
"9","8","Milwaukee Bucks","28.4","35","21","35","21","4.18","-0.83","3.35","113.5","109.3","+4.2","99.2",".243",".442",".573",NA,".540","12.2","23.0",".189",NA,".522","12.1","77.8",".164",NA,"Fiserv Forum","486,727","17,383"
"10","9","Dallas Mavericks","26.7","32","23","33","22","3.24","-0.27","2.97","110.4","107.1","+3.3","95.8",".235",".426",".559",NA,".526","11.7","21.2",".181",NA,".516","12.7","78.7",".179",NA,"American Airlines Center","566,823","19,546"
"11","10","Philadelphia 76ers","26.6","32","22","31","23","2.07","-0.44","1.64","111.6","109.4","+2.2","95.9",".254",".363",".570",NA,".530","11.7","19.5",".206",NA,".514","12.1","76.1",".186",NA,"Wells Fargo Center","528,624","20,332"
"12","11","Denver Nuggets","27.5","30","24","31","23","2.13","0.05","2.18","112.7","110.6","+2.1","96.9",".219",".420",".578",NA,".548","12.8","21.3",".172",NA,".534","12.2","78.4",".178",NA,"Ball Arena","406,193","16,248"
"13","12","Minnesota Timberwolves","24.1","29","25","30","24","2.00","0.02","2.02","112.1","110.1","+2.0","100.0",".235",".451",".558",NA,".526","12.6","25.8",".180",NA,".529","14.6","75.0",".226",NA,"Target Center","404,570","15,560"
"14","13","Chicago Bulls","26.3","33","21","30","24","1.59","-0.61","0.99","113.5","111.9","+1.6","98.4",".245",".344",".580",NA,".543","11.8","20.7",".200",NA,".534","12.3","78.1",".189",NA,"United Center","561,135","20,783"
"15","14","Toronto Raptors","24.6","29","23","29","23","1.58","0.46","2.04","111.9","110.3","+1.6","95.9",".229",".384",".541",NA,".509","11.4","28.2",".173",NA,".532","14.6","75.2",".203",NA,"Scotiabank Arena","311,611","11,129"
"16","15","Atlanta Hawks","26.1","26","28","28","26","0.44","0.27","0.72","114.7","114.2","+0.5","97.5",".248",".381",".576",NA,".539","11.3","22.6",".199",NA,".539","11.2","77.6",".174",NA,"State Farm Arena","447,930","15,998"
"17","16","San Antonio Spurs","24.9","20","34","27","27","-0.02","0.12","0.10","111.1","111.2","-0.1","99.7",".200",".338",".551",NA,".525","11.1","24.0",".147",NA,".528","12.2","75.2",".165",NA,"AT&T Center","423,439","14,601"
"18","17","Brooklyn Nets","29.3","29","25","27","27","-0.19","-0.13","-0.32","111.6","111.8","-0.2","99.0",".234",".359",".568",NA,".531","12.5","23.2",".190",NA,".514","11.5","75.5",".192",NA,"Barclays Center","445,156","17,121"
"19","18","Charlotte Hornets","25.7","28","27","26","29","-0.85","0.09","-0.77","111.9","112.7","-0.8","100.5",".227",".416",".561",NA,".533","11.5","22.5",".167",NA,".541","13.3","75.5",".190",NA,"Spectrum Center","420,755","16,830"
"20","19","New York Knicks","26.4","24","31","25","30","-1.33","0.01","-1.31","108.8","110.1","-1.3","95.6",".258",".426",".545",NA,".511","12.4","24.8",".192",NA,".518","11.9","77.9",".188",NA,"Madison Square Garden (IV)","509,802","18,207"
"21","20","Los Angeles Lakers","30.7","26","29","25","30","-1.56","-0.56","-2.13","108.9","110.4","-1.5","100.3",".250",".386",".561",NA,".532","12.9","21.1",".182",NA,".526","12.7","75.9",".190",NA,"Crypto.com Arena","560,244","18,675"
"22","21","Los Angeles Clippers","27.6","27","29","25","31","-1.52","0.24","-1.28","107.5","109.1","-1.6","98.6",".221",".396",".555",NA,".521","12.9","20.1",".174",NA,".509","12.3","74.2",".166",NA,"Crypto.com Arena","476,756","16,440"
"23","22","Indiana Pacers","26.9","19","37","24","32","-2.48","0.50","-1.98","110.6","113.1","-2.5","97.3",".237",".395",".554",NA,".521","12.7","24.9",".183",NA,".535","11.8","77.1",".204",NA,"Gainbridge Fieldhouse","391,917","13,997"
"24","23","Washington Wizards","26.1","24","29","21","32","-3.17","0.57","-2.60","109.2","112.4","-3.2","97.0",".258",".359",".557",NA,".520","12.2","21.0",".201",NA,".518","10.7","76.8",".196",NA,"Capital One Arena","413,889","15,329"
"25","24","New Orleans Pelicans","25.6","22","32","21","33","-3.24","0.19","-3.05","108.8","112.2","-3.4","96.9",".259",".375",".545",NA,".504","12.9","25.7",".205",NA,".542","12.7","78.8",".192",NA,"Smoothie King Center","384,304","15,372"
