"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","74","17785",".468","14.8",NA,".614",".249",".161",".112",".093",".386",NA,".529",".668",".430",".453",".417",".370",NA,".532",".731",NA,".059","357",NA,".235","842",NA,".217",".408",NA,"14","1"
"3","2","Boston Celtics","75","18200",".463","15.2",NA,".579",".215",".200",".084",".079",".421",NA,".543",".733",".450",".410",".405",".352",NA,".504",".813",NA,".057","335",NA,".275","1032",NA,".231",".382",NA,"10","0"
"4","3","Brooklyn Nets","75","18050",".474","13.9",NA,".643",".248",".169",".132",".094",".357",NA,".539",".657",".447",".477",".481",".355",NA,".541",".768",NA,".051","298",NA,".257","924",NA,".228",".387",NA,"7","0"
"5","4","Chicago Bulls","74","17785",".481","13.9",NA,".664",".258",".148",".130",".129",".336",NA,".536",".678",".447",".451",".440",".371",NA,".481",".850",NA,".050","289",NA,".247","919",NA,".275",".423",NA,"15","1"
"6","5","Charlotte Hornets","75","18200",".463","14.0",NA,".581",".284",".177",".071",".048",".419",NA,".534",".682",".379",".402",".428",".363",NA,".547",".859",NA,".077","468",NA,".285","1030",NA,".286",".367",NA,"17","0"
"7","6","Cleveland Cavaliers","74","17810",".467","13.7",NA,".613",".286",".181",".092",".055",".387",NA,".540",".695",".399",".422",".398",".351",NA,".559",".827",NA,".079","445",NA,".244","853",NA,".235",".344",NA,"8","1"
"8","7","Dallas Mavericks","75","18075",".456","15.3",NA,".565",".205",".177",".111",".073",".435",NA,".544",".731",".444",".449",".401",".343",NA,".501",".783",NA,".058","322",NA,".207","792",NA,".261",".383",NA,"13","0"
"9","8","Denver Nuggets","75","18100",".479","14.5",NA,".581",".233",".202",".074",".073",".419",NA,".570",".743",".473",".435",".422",".354",NA,".583",".854",NA,".058","334",NA,".265","1019",NA,".261",".385",NA,"23","0"
"10","9","Detroit Pistons","75","18100",".429","14.0",NA,".614",".248",".211",".080",".075",".386",NA,".495",".642",".417",".355",".378",".324",NA,".489",".897",NA,".040","236",NA,".307","1087",NA,".267",".364",NA,"19","0"
