"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","59","14160",".467","14.8",NA,".594",".255",".157",".097",".084",".406",NA,".539",".690",".418",".467",".390",".361",NA,".510",".846",NA,".060","276",NA,".250","748",NA,".240",".381"
"3","2","Boston Celtics","61","14840",".429","15.4",NA,".604",".189",".217",".103",".096",".396",NA,".488",".703",".392",".403",".376",".337",NA,".468",".801",NA,".046","231",NA,".257","707",NA,".210",".357"
"4","3","Brooklyn Nets","60","14450",".451","14.2",NA,".599",".264",".165",".092",".077",".401",NA,".528",".672",".402",".435",".416",".335",NA,".498",".779",NA,".054","255",NA,".273","821",NA,".243",".348"
"5","4","Chicago Bulls","60","14425",".466","13.4",NA,".635",".296",".170",".092",".077",".365",NA,".525",".667",".409",".400",".387",".362",NA,".519",".832",NA,".056","272",NA,".292","855",NA,".224",".415"
"6","5","Charlotte Hornets","61","14815",".462","14.5",NA,".568",".258",".173",".079",".059",".432",NA,".543",".683",".436",".405",".433",".355",NA,".523",".827",NA,".069","323",NA,".261","794",NA,".270",".375"
"7","6","Cleveland Cavaliers","59","14160",".441","13.8",NA,".617",".294",".159",".091",".072",".383",NA,".504",".605",".414",".415",".408",".340",NA,".510",".812",NA,".058","258",NA,".275","738",NA,".257",".355"
"8","7","Dallas Mavericks","60","14475",".456","13.9",NA,".627",".236",".204",".112",".074",".373",NA,".527",".691",".450",".434",".356",".337",NA,".515",".821",NA,".055","241",NA,".252","744",NA,".254",".374"
"9","8","Denver Nuggets","59","14210",".466","14.3",NA,".603",".224",".213",".097",".069",".397",NA,".551",".727",".471",".447",".374",".338",NA,".520",".822",NA,".058","268",NA,".263","793",NA,".240",".368"
"10","9","Detroit Pistons","59","14210",".475","13.9",NA,".615",".250",".214",".084",".067",".385",NA,".538",".670",".472",".415",".413",".374",NA,".539",".821",NA,".062","282",NA,".281","798",NA,".254",".419"
"11","10","Golden State Warriors","60","14450",".432","14.8",NA,".582",".175",".259",".085",".063",".418",NA,".503",".685",".447",".422",".345",".333",NA,".485",".837",NA,".047","224",NA,".273","762",NA,".242",".395"
"12","11","Houston Rockets","59","14185",".484","14.3",NA,".585",".272",".169",".081",".062",".415",NA,".574",".708",".462",".473",".430",".356",NA,".495",".809",NA,".072","337",NA,".262","807",NA,".239",".382"
"13","12","Indiana Pacers","61","14815",".473","13.6",NA,".642",".256",".204",".106",".075",".358",NA,".535",".673",".456",".434",".424",".362",NA,".486",".786",NA,".063","293",NA,".279","826",NA,".219",".382"
"14","13","Los Angeles Clippers","62","14930",".447","13.7",NA,".623",".253",".207",".103",".060",".377",NA,".513",".652",".428",".426",".372",".336",NA,".503",".803",NA,".054","270",NA,".276","826",NA,".223",".338"
"15","14","Los Angeles Lakers","59","14385",".457","14.1",NA,".597",".262",".187",".086",".061",".403",NA,".532",".702",".411",".390",".376",".344",NA,".530",".838",NA,".062","295",NA,".270","812",NA,".197",".361"
"16","15","Memphis Grizzlies","61","14715",".453","14.1",NA,".600",".271",".166",".097",".065",".400",NA,".519",".655",".388",".437",".410",".353",NA,".543",".822",NA,".062","292",NA,".267","770",NA,".173",".398"
"17","16","Miami Heat","60","14575",".441","15.5",NA,".537",".214",".172",".092",".058",".463",NA,".526",".693",".428",".413",".381",".343",NA,".505",".842",NA,".046","200",NA,".235","670",NA,".270",".373"
"18","17","Milwaukee Bucks","60","14450",".448","15.6",NA,".546",".218",".168",".091",".068",".454",NA,".535",".691",".430",".440",".421",".344",NA,".513",".830",NA,".045","218",NA,".246","748",NA,".211",".357"
"19","18","Minnesota Timberwolves","61","14740",".455","14.4",NA,".573",".258",".167",".085",".063",".427",NA,".535",".686",".413",".394",".428",".349",NA,".564",".843",NA,".070","336",NA,".266","759",NA,".292",".385"
