"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","63","15120",".469","14.7",NA,".597",".253",".158",".101",".085",".403",NA,".540",".693",".417",".464",".402",".363",NA,".515",".851",NA,".060","292",NA,".249","797",NA,".238",".385"
"3","2","Boston Celtics","66","16040",".432","15.3",NA,".608",".192",".213",".105",".098",".392",NA,".492",".704",".391",".407",".385",".338",NA,".465",".795",NA,".047","251",NA,".257","766",NA,".208",".361"
"4","3","Brooklyn Nets","65","15650",".454","14.2",NA,".600",".263",".167",".093",".078",".400",NA,".530",".678",".401",".440",".414",".340",NA,".503",".784",NA,".055","285",NA,".271","876",NA,".246",".360"
"5","4","Chicago Bulls","64","15385",".467","13.4",NA,".636",".296",".170",".093",".078",".364",NA,".526",".667",".411",".402",".390",".363",NA,".518",".826",NA,".057","292",NA,".290","910",NA,".226",".414"
"6","5","Charlotte Hornets","65","15800",".462","14.5",NA,".570",".259",".173",".078",".059",".430",NA,".542",".679",".434",".410",".437",".355",NA,".523",".826",NA,".067","336",NA,".264","854",NA,".272",".371"
"7","6","Cleveland Cavaliers","64","15360",".444","13.8",NA,".617",".295",".159",".091",".072",".383",NA,".506",".609",".412",".414",".407",".345",NA,".509",".813",NA,".058","281",NA,".273","797",NA,".259",".362"
"8","7","Dallas Mavericks","64","15435",".457","13.9",NA,".627",".239",".203",".111",".074",".373",NA,".527",".693",".452",".427",".347",".340",NA,".515",".819",NA,".055","257",NA,".257","816",NA,".252",".370"
"9","8","Denver Nuggets","64","15435",".465","14.3",NA,".606",".222",".216",".099",".069",".394",NA,".548",".724",".469",".447",".369",".338",NA,".521",".823",NA,".058","293",NA,".261","851",NA,".234",".363"
"10","9","Detroit Pistons","64","15435",".474","13.8",NA,".619",".258",".211",".082",".068",".381",NA,".536",".665",".468",".416",".402",".373",NA,".538",".820",NA,".062","305",NA,".285","875",NA,".252",".428"
