"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","60","14400",".468","14.8",NA,".620",".249",".164",".113",".093",".380",NA,".525",".670",".426",".442",".411",".377",NA,".528",".736",NA,".061","299",NA,".239","686",NA,".218",".400",NA,"13","1"
"3","2","Boston Celtics","63","15320",".455","15.3",NA,".582",".213",".197",".088",".084",".418",NA,".534",".721",".446",".400",".410",".344",NA,".498",".816",NA,".053","262",NA,".273","859",NA,".229",".377",NA,"9","0"
"4","3","Brooklyn Nets","62","14930",".465","13.9",NA,".640",".251",".166",".128",".095",".360",NA,".530",".641",".429",".487",".470",".349",NA,".543",".756",NA,".048","230",NA,".260","758",NA,".230",".366",NA,"6","0"
"5","4","Chicago Bulls","62","14905",".482","14.0",NA,".660",".259",".145",".130",".126",".340",NA,".538",".675",".442",".464",".442",".374",NA,".479",".848",NA,".050","246",NA,".248","769",NA,".274",".441",NA,"11","1"
"6","5","Charlotte Hornets","63","15320",".458","14.0",NA,".585",".282",".179",".075",".049",".415",NA,".529",".679",".380",".386",".429",".357",NA,".538",".861",NA,".075","385",NA,".286","874",NA,".276",".365",NA,"14","0"
"7","6","Cleveland Cavaliers","61","14640",".466","13.9",NA,".607",".278",".177",".097",".055",".393",NA,".538",".692",".404",".426",".395",".353",NA,".560",".828",NA,".078","358",NA,".239","686",NA,".233",".347",NA,"8","1"
"8","7","Dallas Mavericks","61","14715",".456","15.3",NA,".569",".200",".173",".119",".077",".431",NA,".540",".722",".451",".452",".400",".345",NA,".507",".798",NA,".060","271",NA,".199","610",NA,".250",".398",NA,"11","0"
"9","8","Denver Nuggets","61","14690",".475","14.6",NA,".577",".230",".196",".078",".074",".423",NA,".562",".742",".456",".431",".419",".356",NA,".575",".851",NA,".054","251",NA,".266","835",NA,".258",".384",NA,"19","0"
"10","9","Detroit Pistons","61","14715",".422","14.0",NA,".611",".247",".206",".083",".075",".389",NA,".487",".630",".411",".342",".382",".320",NA,".489",".886",NA,".037","176",NA,".309","881",NA,".253",".346",NA,"16","0"
"11","10","Golden State Warriors","61","14690",".466","15.6",NA,".536",".209",".197",".067",".063",".464",NA,".558",".703",".516",".396",".383",".360",NA,".607",".804",NA,".062","298",NA,".281","874",NA,".221",".349",NA,"18","1"
"12","11","Houston Rockets","60","14425",".450","14.2",NA,".549",".306",".179",".033",".031",".451",NA,".537",".683",".378",".285",".289",".344",NA,".492",".793",NA,".085","383",NA,".305","850",NA,".179",".341",NA,"15","0"
"13","12","Indiana Pacers","63","15295",".459","14.1",NA,".605",".261",".179",".096",".069",".395",NA,".538",".685",".438",".416",".408",".339",NA,".498",".855",NA,".040","206",NA,".301","996",NA,".254",".372",NA,"18","0"
"14","13","Los Angeles Clippers","63","15170",".455","14.9",NA,".609",".208",".181",".118",".103",".391",NA,".515",".686",".459",".440",".352",".362",NA,".492",".819",NA,".052","247",NA,".212","634",NA,".214",".402",NA,"14","0"
"15","14","Los Angeles Lakers","60","14625",".464","14.0",NA,".614",".285",".152",".084",".092",".386",NA,".540",".695",".410",".388",".412",".345",NA,".477",".838",NA,".064","299",NA,".308","944",NA,".217",".380",NA,"5","0"
"16","15","Memphis Grizzlies","63","15195",".459","12.8",NA,".655",".275",".230",".107",".044",".345",NA,".521",".663",".417",".438",".378",".341",NA,".499",".848",NA,".054","281",NA,".281","914",NA,".235",".364",NA,"8","0"
"17","16","Miami Heat","62","15055",".462","14.7",NA,".584",".228",".183",".109",".064",".416",NA,".526",".693",".420",".428",".397",".374",NA,".546",".859",NA,".050","234",NA,".244","743",NA,".305",".415",NA,"17","0"
"18","17","Milwaukee Bucks","62","14930",".461","15.3",NA,".558",".228",".161",".104",".065",".442",NA,".539",".709",".418",".443",".396",".362",NA,".450",".798",NA,".045","218",NA,".246","792",NA,".243",".390",NA,"8","0"
"19","18","Minnesota Timberwolves","62","14980",".448","14.5",NA,".547",".265",".174",".059",".048",".453",NA,".532",".667",".411",".408",".380",".348",NA,".514",".799",NA,".065","314",NA,".276","846",NA,".218",".370",NA,"15","0"
"20","19","New Orleans Pelicans","61","14690",".448","13.8",NA,".626",".267",".183",".092",".085",".374",NA,".519",".666",".420",".430",".368",".329",NA,".538",".879",NA,".055","266",NA,".295","835",NA,".240",".379",NA,"13","1"
"21","20","New York Knicks","61","14740",".434","14.8",NA,".571",".253",".153",".085",".081",".429",NA,".495",".643",".377",".390",".368",".352",NA,".456",".794",NA,".066","302",NA,".236","637",NA,".208",".377",NA,"6","0"
"22","21","Oklahoma City Thunder","61","14740",".421","14.3",NA,".584",".215",".249",".075",".045",".416",NA,".498",".623",".437",".417",".371",".312",NA,".459",".825",NA,".051","234",NA,".319","878",NA,".204",".353",NA,"6","0"
"23","22","Orlando Magic","62","14905",".435","14.3",NA,".588",".228",".225",".068",".066",".412",NA,".508",".659",".431",".441",".317",".330",NA,".495",".864",NA,".062","299",NA,".266","759",NA,".204",".376",NA,"9","0"
"24","23","Philadelphia 76ers","60","14500",".463","14.0",NA,".636",".235",".195",".127",".079",".364",NA,".525",".696",".418",".424",".442",".357",NA,".494",".835",NA,".047","218",NA,".248","714",NA,".235",".384",NA,"8","0"
"25","24","Phoenix Suns","61","14665",".482","14.2",NA,".648",".182",".229",".145",".092",".352",NA,".548",".697",".517",".481",".436",".361",NA,".549",".840",NA,".053","269",NA,".219","695",NA,".262",".396",NA,"9","0"
"26","25","Portland Trail Blazers","61","14665",".447","14.9",NA,".564",".255",".163",".071",".076",".436",NA,".520",".624",".439",".443",".418",".351",NA,".487",".777",NA,".043","199",NA,".267","764",NA,".208",".378",NA,"5","0"
"27","26","Sacramento Kings","63","15195",".458","13.9",NA,".622",".226",".223",".106",".066",".378",NA,".528",".699",".432",".424",".434",".343",NA,".492",".792",NA,".062","294",NA,".258","798",NA,".218",".384",NA,"12","1"
