"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","68","16345",".470","14.6",NA,".601",".257",".159",".102",".084",".399",NA,".541",".694",".420",".459",".400",".365",NA,".511",".846",NA,".060","318",NA,".253","876",NA,".234",".387"
"3","2","Boston Celtics","69","16760",".431","15.3",NA,".606",".193",".215",".103",".096",".394",NA,".493",".702",".391",".409",".387",".338",NA,".465",".793",NA,".047","265",NA,".258","801",NA,".214",".357"
"4","3","Brooklyn Nets","68","16370",".453","14.2",NA,".600",".262",".168",".093",".077",".400",NA,".528",".679",".394",".440",".409",".341",NA,".502",".790",NA,".057","306",NA,".270","905",NA,".242",".358"
"5","4","Chicago Bulls","68","16345",".467","13.3",NA,".638",".299",".172",".090",".078",".362",NA,".527",".668",".407",".403",".393",".362",NA,".518",".830",NA,".057","309",NA,".291","969",NA,".228",".417"
"6","5","Charlotte Hornets","69","16760",".464","14.5",NA,".569",".261",".173",".077",".058",".431",NA,".545",".683",".435",".406",".439",".357",NA,".527",".831",NA,".067","357",NA,".267","922",NA,".270",".371"
"7","6","Cleveland Cavaliers","68","16345",".446","13.7",NA,".620",".296",".161",".091",".072",".380",NA,".507",".609",".414",".414",".412",".347",NA,".510",".823",NA,".059","306",NA,".271","842",NA,".258",".364"
"8","7","Dallas Mavericks","68","16395",".455","13.9",NA,".626",".237",".208",".109",".073",".374",NA,".527",".694",".455",".421",".348",".335",NA,".513",".825",NA,".057","286",NA,".258","863",NA,".253",".371"
"9","8","Denver Nuggets","69","16635",".465","14.3",NA,".605",".221",".218",".095",".071",".395",NA,".546",".727",".467",".446",".361",".340",NA,".523",".823",NA,".058","315",NA,".262","924",NA,".236",".370"
"10","9","Detroit Pistons","68","16420",".474","13.7",NA,".622",".258",".212",".081",".071",".378",NA,".539",".670",".473",".423",".388",".367",NA,".538",".817",NA,".062","324",NA,".283","933",NA,".251",".420"
"11","10","Golden State Warriors","69","16610",".438","14.8",NA,".582",".179",".254",".087",".062",".418",NA,".510",".695",".450",".421",".345",".338",NA,".489",".842",NA,".046","255",NA,".272","883",NA,".244",".397"
"12","11","Houston Rockets","68","16395",".483","14.2",NA,".589",".275",".170",".082",".062",".411",NA,".572",".711",".454",".469",".417",".355",NA,".499",".800",NA,".073","398",NA,".266","949",NA,".243",".381"
"13","12","Indiana Pacers","69","16760",".473","13.6",NA,".638",".257",".204",".104",".073",".362",NA,".536",".679",".448",".434",".425",".362",NA,".491",".793",NA,".064","340",NA,".280","949",NA,".223",".387"
"14","13","Los Angeles Clippers","71","17115",".448","13.7",NA,".624",".257",".205",".103",".059",".376",NA,".511",".654",".418",".420",".370",".342",NA,".510",".802",NA,".057","326",NA,".275","932",NA,".216",".352"
"15","14","Los Angeles Lakers","68","16570",".463","14.0",NA,".604",".264",".192",".086",".063",".396",NA,".538",".708",".418",".394",".387",".349",NA,".521",".839",NA,".061","336",NA,".276","969",NA,".199",".373"
"16","15","Memphis Grizzlies","69","16635",".452","14.0",NA,".605",".274",".169",".097",".065",".395",NA,".517",".651",".392",".432",".406",".353",NA,".540",".826",NA,".063","335",NA,".269","878",NA,".175",".394"
"17","16","Miami Heat","69","16735",".443","15.4",NA,".545",".216",".173",".097",".059",".455",NA,".529",".691",".434",".419",".390",".341",NA,".507",".834",NA,".046","236",NA,".237","779",NA,".266",".371"
"18","17","Milwaukee Bucks","69","16610",".451","15.7",NA,".551",".214",".166",".099",".071",".449",NA,".534",".698",".430",".434",".421",".349",NA,".512",".828",NA,".046","255",NA,".241","848",NA,".208",".362"
"19","18","Minnesota Timberwolves","70","16900",".454","14.4",NA,".570",".254",".170",".085",".061",".430",NA,".533",".689",".408",".390",".436",".348",NA,".560",".845",NA,".066","365",NA,".269","881",NA,".287",".379"
"20","19","New Orleans Pelicans","68","16395",".466","14.8",NA,".584",".231",".173",".101",".078",".416",NA,".542",".699",".456",".450",".384",".359",NA,".504",".808",NA,".048","255",NA,".250","847",NA,".220",".411"
"21","20","New York Knicks","68","16420",".445","14.7",NA,".571",".261",".147",".089",".075",".429",NA,".521",".663",".412",".432",".345",".344",NA,".527",".840",NA,".055","292",NA,".261","847",NA,".234",".353"
"22","21","Oklahoma City Thunder","68","16420",".455","14.8",NA,".574",".199",".224",".082",".069",".426",NA,".532",".679",".477",".461",".372",".352",NA,".521",".857",NA,".056","287",NA,".274","932",NA,".262",".411"
"23","22","Orlando Magic","69","16635",".457","14.7",NA,".598",".215",".198",".101",".084",".402",NA,".522",".653",".460",".450",".420",".362",NA,".503",".820",NA,".053","301",NA,".253","823",NA,".225",".387"
"24","23","Philadelphia 76ers","67","16205",".455","14.0",NA,".617",".252",".185",".108",".072",".383",NA,".524",".693",".397",".398",".447",".343",NA,".511",".789",NA,".062","321",NA,".258","830",NA,".206",".375"
"25","24","Phoenix Suns","68","16345",".441","14.6",NA,".614",".191",".236",".101",".086",".386",NA,".507",".676",".456",".429",".365",".335",NA,".484",".782",NA,".044","236",NA,".260","863",NA,".189",".347"
"26","25","Portland Trail Blazers","67","16105",".473","14.5",NA,".569",".269",".161",".079",".060",".431",NA,".552",".679",".453",".404",".437",".368",NA,".544",".842",NA,".057","295",NA,".257","875",NA,".288",".399"
"27","26","Sacramento Kings","70","16875",".479","13.9",NA,".619",".245",".210",".091",".073",".381",NA,".551",".715",".447",".427",".449",".362",NA,".482",".809",NA,".058","334",NA,".281","1017",NA,".222",".389"
"28","27","San Antonio Spurs","69","16685",".469","13.4",NA,".639",".267",".209",".093",".070",".361",NA,".532",".655",".438",".450",".446",".358",NA,".468",".794",NA,".059","321",NA,".308","1031",NA,".197",".411"
"29","28","Toronto Raptors","68","16445",".462","14.4",NA,".587",".241",".195",".090",".061",".413",NA,".540",".703",".422",".442",".423",".351",NA,".538",".870",NA,".061","310",NA,".265","851",NA,".306",".381"
"30","29","Utah Jazz","68","16345",".451","14.6",NA,".613",".194",".220",".117",".082",".387",NA,".520",".699",".436",".444",".432",".342",NA,".481",".770",NA,".048","258",NA,".245","840",NA,".205",".367"
"31","30","Washington Wizards","67","16230",".462","14.1",NA,".651",".204",".243",".115",".089",".349",NA,".519",".696",".453",".432",".408",".355",NA,".484",".795",NA,".057","284",NA,".267","881",NA,".198",".377"
"32","","League Average","68","16527",".458","14.3",NA,".601",".241",".193",".095",".072",".399",NA,".530",".682",".436",".429",".402",".351",NA,".509",".820",NA,".057","304",NA,".266","891",NA,".234",".381"
