"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","73","17545",".471","14.4",NA,".606",".264",".159",".102",".082",".394",NA,".541",".690",".417",".462",".399",".364",NA,".510",".841",NA,".061","349",NA,".259","959",NA,".235",".387"
"3","2","Boston Celtics","74","17960",".431","15.3",NA,".602",".185",".223",".100",".094",".398",NA,".493",".703",".404",".403",".389",".336",NA,".465",".788",NA,".047","279",NA,".257","855",NA,".215",".354"
"4","3","Brooklyn Nets","73","17570",".453","14.2",NA,".600",".257",".174",".093",".076",".400",NA,".526",".682",".397",".430",".410",".344",NA,".502",".785",NA,".056","328",NA,".269","967",NA,".239",".365"
"5","4","Chicago Bulls","72","17305",".470","13.3",NA,".638",".298",".172",".091",".077",".362",NA,".531",".669",".417",".411",".394",".364",NA,".514",".827",NA,".057","331",NA,".290","1021",NA,".232",".416"
"6","5","Charlotte Hornets","73","17720",".464","14.4",NA,".571",".262",".174",".076",".058",".429",NA,".543",".683",".428",".407",".430",".359",NA,".526",".830",NA,".068","384",NA,".266","967",NA,".274",".369"
"7","6","Cleveland Cavaliers","72","17330",".450","13.7",NA,".621",".299",".160",".091",".071",".379",NA,".512",".618",".413",".423",".405",".349",NA,".514",".823",NA,".060","332",NA,".272","907",NA,".265",".362"
"8","7","Dallas Mavericks","73","17595",".456","13.9",NA,".624",".240",".206",".107",".072",".376",NA,".527",".694",".449",".423",".345",".337",NA,".514",".826",NA,".059","317",NA,".257","916",NA,".251",".377"
"9","8","Denver Nuggets","73","17620",".466","14.2",NA,".606",".224",".216",".096",".070",".394",NA,".548",".727",".466",".448",".365",".341",NA,".526",".823",NA,".059","342",NA,".262","974",NA,".237",".366"
"10","9","Detroit Pistons","73","17620",".472","13.7",NA,".622",".259",".214",".079",".070",".378",NA,".536",".667",".468",".430",".381",".365",NA,".534",".821",NA,".063","349",NA,".284","999",NA,".250",".418"
"11","10","Golden State Warriors","73","17570",".437","14.8",NA,".581",".177",".255",".087",".062",".419",NA,".508",".692",".450",".425",".341",".339",NA,".491",".847",NA,".047","271",NA,".271","924",NA,".243",".397"
"12","11","Houston Rockets","73","17595",".483","14.1",NA,".592",".271",".173",".086",".062",".408",NA,".572",".714",".462",".461",".412",".354",NA,".501",".803",NA,".074","432",NA,".266","1022",NA,".244",".373"
"13","12","Indiana Pacers","73","17720",".474","13.6",NA,".636",".260",".203",".102",".071",".364",NA,".539",".685",".448",".433",".420",".361",NA,".495",".797",NA,".065","365",NA,".280","1019",NA,".222",".390"
"14","13","Los Angeles Clippers","74","17835",".449","13.7",NA,".622",".252",".209",".102",".059",".378",NA,".513",".657",".421",".425",".378",".345",NA,".507",".804",NA,".058","339",NA,".273","964",NA,".220",".353"
"15","14","Los Angeles Lakers","73","17795",".466","14.0",NA,".604",".264",".190",".086",".064",".396",NA,".541",".707",".424",".400",".392",".351",NA,".519",".838",NA,".062","364",NA,".275","1037",NA,".203",".375"
"16","15","Memphis Grizzlies","73","17595",".453","14.0",NA,".609",".271",".173",".099",".066",".391",NA,".517",".649",".401",".432",".407",".352",NA,".538",".824",NA,".063","354",NA,".271","934",NA,".173",".393"
"17","16","Miami Heat","73","17695",".445","15.3",NA,".546",".218",".173",".096",".059",".454",NA,".532",".695",".437",".420",".393",".341",NA,".504",".834",NA,".045","246",NA,".239","837",NA,".266",".376"
"18","17","Milwaukee Bucks","72","17330",".452","15.6",NA,".551",".213",".167",".099",".072",".449",NA,".534",".698",".433",".434",".416",".352",NA,".509",".828",NA,".046","266",NA,".240","884",NA,".206",".363"
"19","18","Minnesota Timberwolves","74","17860",".454","14.5",NA,".567",".253",".168",".085",".061",".433",NA,".537",".698",".408",".390",".431",".346",NA,".560",".845",NA,".065","381",NA,".269","945",NA,".287",".374"
"20","19","New Orleans Pelicans","72","17355",".466","14.8",NA,".583",".231",".171",".102",".080",".417",NA,".543",".700",".456",".445",".394",".359",NA,".512",".810",NA,".048","270",NA,".249","895",NA,".226",".406"
"21","20","New York Knicks","73","17620",".446","14.7",NA,".568",".262",".145",".089",".072",".432",NA,".523",".661",".414",".438",".344",".344",NA,".525",".835",NA,".054","308",NA,".262","914",NA,".235",".349"
"22","21","Oklahoma City Thunder","73","17620",".454","14.9",NA,".571",".197",".226",".081",".067",".429",NA,".531",".676",".480",".457",".367",".352",NA,".519",".855",NA,".056","306",NA,".273","997",NA,".262",".404"
