"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","62","15","57","20","8.18","-0.47","7.71","115.3","107.1","+8.2","99.7",".227",".352",".585",NA,".553","11.6","22.2",".181",NA,".508","13.0","77.0",".190",NA,"Phoenix Suns Arena","629,029","16,129"
"3","2","Boston Celtics","26.1","48","30","55","23","6.53","-0.34","6.19","113.5","106.8","+6.7","96.5",".242",".421",".574",NA,".536","12.4","24.0",".198",NA,".501","12.5","77.4",".183",NA,"TD Garden","708,772","17,719"
"4","3","Memphis Grizzlies","24.0","55","23","53","25","6.24","-0.51","5.73","114.8","108.6","+6.2","100.2",".245",".345",".553",NA,".522","11.2","30.2",".180",NA,".521","13.2","78.0",".192",NA,"FedEx Forum","612,137","15,696"
"5","4","Utah Jazz","29.3","46","32","52","26","5.49","-0.31","5.17","116.6","111.0","+5.6","97.1",".264",".470",".590",NA,".557","12.7","25.0",".203",NA,".523","10.9","78.1",".164",NA,"Vivint Smart Home Arena","695,628","18,306"
"6","5","Golden State Warriors","27.6","49","29","51","27","5.03","0.11","5.14","112.2","107.1","+5.1","98.5",".236",".459",".580",NA,".549","13.5","22.8",".181",NA,".511","13.1","78.6",".199",NA,"Chase Center","722,560","18,064"
"7","6","Miami Heat","28.2","50","28","50","28","4.37","-0.19","4.18","113.2","108.7","+4.5","95.8",".250",".420",".581",NA,".543","13.4","23.6",".203",NA,".522","13.8","78.0",".209",NA,"FTX Arena","765,168","19,620"
"8","7","Milwaukee Bucks","28.5","48","29","46","31","3.14","-0.21","2.93","114.8","111.6","+3.2","99.8",".257",".433",".580",NA,".546","12.0","23.1",".199",NA,".535","11.5","78.5",".164",NA,"Fiserv Forum","679,633","17,426"
"9","8","Minnesota Timberwolves","24.2","44","34","46","32","2.88","0.02","2.91","114.1","111.2","+2.9","100.7",".252",".454",".571",NA,".537","12.5","24.6",".197",NA,".532","14.2","75.0",".227",NA,"Target Center","605,740","15,941"
"10","9","Denver Nuggets","27.7","46","32","45","33","2.42","-0.14","2.29","114.4","111.9","+2.5","97.6",".242",".417",".589",NA,".555","13.2","22.0",".192",NA,".537","11.7","78.2",".186",NA,"Ball Arena","639,185","16,821"
"11","10","Toronto Raptors","24.7","45","32","45","32","2.43","0.07","2.50","112.8","110.3","+2.5","95.9",".232",".374",".543",NA,".511","11.0","28.4",".175",NA,".532","14.4","75.4",".200",NA,"Scotiabank Arena","468,143","12,653"
"12","11","Philadelphia 76ers","26.8","47","30","44","33","2.35","0.04","2.39","112.9","110.4","+2.5","96.1",".279",".375",".575",NA,".531","11.5","19.8",".229",NA,".522","12.0","77.0",".189",NA,"Wells Fargo Center","804,237","20,621"
"13","12","Dallas Mavericks","26.7","48","30","45","33","2.40","-0.01","2.39","111.9","109.4","+2.5","95.3",".244",".437",".566",NA,".533","11.6","21.3",".187",NA,".522","12.3","77.8",".183",NA,"American Airlines Center","767,593","19,682"
