"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","78","18745",".470","14.5",NA,".605",".261",".160",".102",".082",".395",NA,".539",".687",".424",".453",".399",".366",NA,".511",".834",NA,".060","366",NA,".258","1025",NA,".232",".382"
"3","2","Boston Celtics","78","18945",".434","15.3",NA,".602",".185",".224",".099",".093",".398",NA,".497",".704",".410",".411",".384",".339",NA,".464",".787",NA,".047","299",NA,".255","901",NA,".216",".355"
"4","3","Brooklyn Nets","78","18795",".453","14.2",NA,".599",".256",".174",".093",".075",".401",NA,".524",".682",".399",".425",".402",".346",NA,".500",".781",NA,".057","357",NA,".266","1016",NA,".243",".368"
"5","4","Chicago Bulls","78","18770",".471","13.4",NA,".637",".294",".171",".093",".079",".363",NA,".532",".671",".418",".415",".400",".364",NA,".510",".828",NA,".056","352",NA,".286","1094",NA,".234",".425"
"6","5","Charlotte Hornets","78","18920",".465","14.4",NA,".569",".265",".171",".076",".057",".431",NA,".546",".685",".432",".406",".426",".359",NA,".531",".830",NA,".069","418",NA,".265","1028",NA,".278",".370"
"7","6","Cleveland Cavaliers","78","18770",".452","13.7",NA,".619",".296",".161",".091",".071",".381",NA,".515",".624",".418",".419",".399",".351",NA,".517",".823",NA,".061","364",NA,".267","971",NA,".269",".372"
"8","7","Dallas Mavericks","78","18795",".458","13.9",NA,".624",".238",".207",".105",".074",".376",NA,".529",".698",".445",".431",".357",".340",NA,".514",".821",NA,".058","336",NA,".256","983",NA,".247",".375"
"9","8","Denver Nuggets","78","18820",".469","14.3",NA,".605",".224",".216",".096",".069",".395",NA,".550",".725",".469",".453",".370",".344",NA,".530",".827",NA,".059","363",NA,".262","1045",NA,".238",".369"
"10","9","Detroit Pistons","78","18820",".471","13.8",NA,".621",".253",".218",".079",".071",".379",NA,".536",".668",".467",".437",".381",".364",NA,".534",".821",NA,".064","374",NA,".281","1045",NA,".250",".417"
