"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.7","48","10","43","15","8.14","-0.34","7.80","114.1","105.9","+8.2","99.5",".225",".349",".576",NA,".544","11.6","22.9",".178",NA,".504","13.0","77.4",".179",NA,"Phoenix Suns Arena","492,461","15,886"
"3","2","Utah Jazz","29.5","36","22","41","17","6.86","-0.42","6.44","116.3","109.3","+7.0","97.8",".265",".468",".592",NA,".557","12.9","24.3",".207",NA,".516","11.0","78.0",".156",NA,"Vivint Smart Home Arena","567,486","18,306"
"4","3","Golden State Warriors","27.9","42","17","42","17","6.92","-0.21","6.70","111.8","104.8","+7.0","98.6",".235",".464",".580",NA,".550","13.8","22.7",".180",NA,".503","13.5","78.6",".192",NA,"Chase Center","578,048","18,064"
"5","4","Boston Celtics","26.0","34","26","40","20","5.40","-0.52","4.89","111.1","105.6","+5.5","96.6",".239",".418",".563",NA,".525","12.7","23.8",".194",NA,".496","12.7","77.3",".180",NA,"TD Garden","574,680","18,538"
"6","5","Memphis Grizzlies","23.9","41","19","39","21","4.85","-0.15","4.71","113.6","108.8","+4.8","99.7",".246",".348",".549",NA,".519","11.4","29.7",".180",NA,".523","13.5","77.6",".190",NA,"FedEx Forum","457,312","15,244"
"7","6","Miami Heat","28.2","38","21","38","21","4.47","-0.39","4.09","112.8","108.2","+4.6","95.4",".242",".419",".575",NA,".538","13.6","25.3",".196",NA,".521","14.1","77.8",".204",NA,"FTX Arena","510,104","19,619"
"8","7","Cleveland Cavaliers","24.8","35","23","37","21","4.14","-0.06","4.08","110.8","106.5","+4.3","96.3",".245",".391",".567",NA,".535","13.6","24.1",".185",NA,".507","12.7","76.0",".159",NA,"Rocket Mortgage Fieldhouse","488,294","18,085"
"9","8","Dallas Mavericks","26.7","35","24","36","23","3.36","-0.22","3.14","111.0","107.5","+3.5","95.5",".241",".430",".561",NA,".529","11.7","21.4",".184",NA,".517","12.6","78.4",".179",NA,"American Airlines Center","606,383","19,561"
"10","9","Milwaukee Bucks","28.4","36","24","36","24","3.35","-0.74","2.61","113.5","110.1","+3.4","99.4",".246",".440",".573",NA,".540","12.1","22.8",".191",NA,".526","12.0","77.7",".165",NA,"Fiserv Forum","538,750","17,379"
"11","10","Chicago Bulls","26.2","38","21","34","25","2.25","-0.79","1.46","114.1","111.8","+2.3","98.5",".243",".342",".584",NA,".547","11.9","20.9",".198",NA,".533","12.0","78.6",".189",NA,"United Center","641,618","20,697"
"12","11","Denver Nuggets","27.6","33","25","33","25","2.09","0.19","2.28","112.6","110.5","+2.1","97.2",".220",".422",".578",NA,".547","13.1","21.7",".174",NA,".533","12.0","78.3",".179",NA,"Ball Arena","421,218","16,201"
"13","12","Toronto Raptors","24.6","32","25","32","25","1.77","0.18","1.95","112.2","110.4","+1.8","96.0",".229",".383",".543",NA,".511","11.3","28.0",".173",NA,".534","14.7","75.2",".203",NA,"Scotiabank Arena","311,611","10,745"
"14","13","Philadelphia 76ers","26.5","35","23","32","26","1.55","-0.29","1.26","111.3","109.7","+1.6","95.9",".259",".361",".567",NA,".526","11.6","19.8",".211",NA,".516","12.1","76.3",".186",NA,"Wells Fargo Center","591,310","20,390"
"15","14","Minnesota Timberwolves","24.1","31","28","32","27","1.46","0.02","1.47","112.1","110.7","+1.4","100.2",".240",".453",".558",NA,".526","12.5","25.2",".183",NA,".530","14.4","74.7",".224",NA,"Target Center","437,688","15,632"
"16","15","Atlanta Hawks","26.1","28","30","30","28","0.48","0.25","0.73","115.0","114.5","+0.5","97.6",".247",".382",".577",NA,".540","11.3","22.8",".199",NA,".540","11.2","77.5",".174",NA,"State Farm Arena","481,111","16,037"
"17","16","San Antonio Spurs","24.8","23","36","30","29","0.14","0.07","0.21","111.4","111.2","+0.2","99.9",".200",".337",".551",NA,".526","11.0","23.6",".148",NA,".528","12.2","75.0",".165",NA,"AT&T Center","423,439","14,601"
"18","17","Brooklyn Nets","29.1","31","28","30","30","0.00","-0.28","-0.28","111.7","111.7","0.0","98.8",".235",".360",".566",NA,".530","12.4","23.4",".190",NA,".516","11.6","75.7",".192",NA,"Barclays Center","479,506","17,125"
"19","18","Charlotte Hornets","25.6","29","31","28","32","-0.90","0.08","-0.82","111.7","112.6","-0.9","100.6",".233",".416",".559",NA,".531","11.6","23.1",".172",NA,".540","13.3","75.3",".189",NA,"Spectrum Center","476,337","17,012"
"20","19","Los Angeles Clippers","27.6","30","31","29","32","-0.84","0.44","-0.40","108.1","109.0","-0.9","98.5",".219",".392",".558",NA,".526","12.9","20.1",".171",NA,".511","12.4","74.4",".165",NA,"Crypto.com Arena","513,343","16,559"
"21","20","Los Angeles Lakers","30.6","27","31","26","32","-1.47","-0.36","-1.82","109.1","110.5","-1.4","100.1",".251",".387",".562",NA,".534","13.0","21.1",".181",NA,".526","12.6","76.0",".191",NA,"Crypto.com Arena","578,031","18,646"
"22","21","New York Knicks","26.4","25","34","27","32","-1.51","-0.09","-1.60","109.0","110.5","-1.5","95.7",".260",".428",".545",NA,".510","12.3","24.9",".196",NA,".520","11.7","78.0",".187",NA,"Madison Square Garden (IV)","547,151","18,238"
"23","22","Indiana Pacers","26.7","20","40","25","35","-2.65","0.56","-2.09","110.9","113.6","-2.7","97.5",".237",".395",".556",NA,".523","12.7","25.1",".180",NA,".538","11.9","77.1",".207",NA,"Gainbridge Fieldhouse","435,064","14,034"
"24","23","Washington Wizards","26.0","27","31","24","34","-2.79","0.23","-2.56","109.8","112.6","-2.8","96.8",".254",".360",".560",NA,".523","12.2","21.2",".198",NA,".519","10.8","76.6",".200",NA,"Capital One Arena","454,055","15,135"
"25","24","New Orleans Pelicans","25.7","23","36","23","36","-3.20","0.38","-2.83","109.5","112.8","-3.3","96.7",".256",".375",".549",NA,".509","12.9","25.8",".203",NA,".541","12.3","78.2",".195",NA,"Smoothie King Center","464,717","15,491"
