"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Cleveland Cavaliers",55,240,38.5,87.7,0.439,11.2,33.6,0.334,27.3,54.1,0.504,13.7,18.1,0.755,11,32.6,43.6,23,8.6,4.5,13.8,19.2,101.9
"2",2,"Golden State Warriors",55,240.9,37.1,86.5,0.429,12,36.3,0.33,25.1,50.1,0.501,16.5,21.9,0.753,9.7,32.8,42.5,22.3,8.2,4.1,15.2,17.6,102.7
"3",3,"Dallas Mavericks",55,241.4,38.6,85.2,0.453,10.7,32.1,0.334,27.9,53.1,0.524,15.3,20.1,0.758,9.3,35,44.4,23.3,6.8,3.9,13.7,19.9,103.1
"4",4,"Boston Celtics",56,243.6,38.1,88.2,0.432,11.9,35,0.339,26.2,53.2,0.492,15.8,20.4,0.775,10.4,34.2,44.6,21.6,7.6,4.7,14,19.2,103.8
"5",5,"Miami Heat",55,242.3,37,83.5,0.443,13.3,38.5,0.346,23.7,44.9,0.526,17.1,22,0.775,9.5,32,41.5,23.3,7.4,4.3,15.5,19.9,104.4
"6",6,"Phoenix Suns",54,240.5,39.1,88.6,0.441,11.4,34,0.336,27.6,54.6,0.506,15.9,21,0.754,10.5,34,44.5,22.2,7.5,4,14.7,19.3,105.4
"7",7,"Philadelphia 76ers",54,241.9,39.2,87.1,0.45,11.1,33,0.338,28.1,54.1,0.519,16.2,20.9,0.775,10.6,34.5,45.1,23.2,6.6,4.6,13.3,18.8,105.8
"8",8,"New York Knicks",55,241.4,38.3,86.5,0.443,13,37.7,0.346,25.2,48.7,0.518,16.3,21.3,0.765,9.8,34.4,44.2,24.4,7.3,4.7,12.9,19.6,105.9
"9",9,"Toronto Raptors",53,242.4,38.7,84.4,0.458,12.3,34.8,0.353,26.4,49.7,0.532,17,21.2,0.803,10.6,33.6,44.2,24.7,7.1,5,16.1,18.9,106.6
"10",10,"Utah Jazz",55,240,40.7,90.3,0.451,11.8,34.3,0.343,28.9,56,0.517,14,18.7,0.75,10.1,32.1,42.2,23.1,7.5,4.2,12.1,20.2,107.1
