"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","50","12000",".464","14.9",NA,".590",".258",".155",".093",".083",".410",NA,".539",".681",".421",".465",".403",".357",NA,".514",".839",NA,".061","236",NA,".252","633",NA,".233",".362"
"3","2","Boston Celtics","52","12680",".436","15.5",NA,".599",".186",".213",".102",".098",".401",NA,".499",".718",".401",".401",".398",".343",NA,".467",".791",NA,".046","199",NA,".252","604",NA,".208",".362"
"4","3","Brooklyn Nets","50","12050",".442","14.2",NA,".600",".270",".158",".094",".078",".400",NA,".518",".664",".389",".417",".398",".329",NA,".490",".781",NA,".052","206",NA,".275","691",NA,".235",".336"
"5","4","Chicago Bulls","50","12000",".465","13.5",NA,".630",".288",".174",".090",".077",".370",NA,".524",".665",".413",".391",".407",".363",NA,".518",".827",NA,".055","218",NA,".289","690",NA,".220",".425"
"6","5","Charlotte Hornets","51","12340",".464","14.7",NA,".561",".252",".173",".080",".056",".439",NA,".547",".687",".438",".417",".444",".357",NA,".516",".819",NA,".068","272",NA,".256","648",NA,".257",".371"
"7","6","Cleveland Cavaliers","51","12240",".441","13.8",NA,".619",".291",".160",".092",".075",".381",NA,".505",".599",".427",".424",".409",".337",NA,".506",".812",NA,".057","220",NA,".273","631",NA,".244",".356"
"8","7","Dallas Mavericks","51","12290",".454","14.0",NA,".621",".237",".201",".109",".074",".379",NA,".526",".688",".438",".432",".380",".336",NA,".515",".836",NA,".057","210",NA,".253","630",NA,".257",".380"
"9","8","Denver Nuggets","50","12050",".466","14.3",NA,".602",".224",".211",".097",".069",".398",NA,".548",".733",".456",".450",".364",".342",NA,".526",".818",NA,".058","223",NA,".260","666",NA,".244",".370"
"10","9","Detroit Pistons","50","12050",".472","13.9",NA,".616",".250",".213",".086",".067",".384",NA,".538",".668",".469",".416",".431",".366",NA,".537",".823",NA,".061","235",NA,".282","681",NA,".254",".413"
"11","10","Golden State Warriors","52","12530",".427","14.8",NA,".582",".183",".249",".086",".064",".418",NA,".498",".680",".428",".408",".367",".330",NA,".487",".831",NA,".045","187",NA,".271","644",NA,".240",".384"
"12","11","Houston Rockets","50","12025",".475","14.4",NA,".576",".270",".163",".081",".063",".424",NA,".566",".698",".451",".468",".423",".350",NA,".494",".792",NA,".069","273",NA,".260","676",NA,".239",".383"
"13","12","Indiana Pacers","52","12630",".469","13.7",NA,".640",".244",".209",".110",".078",".360",NA,".531",".674",".450",".443",".428",".357",NA,".482",".777",NA,".059","235",NA,".276","689",NA,".210",".388"
"14","13","Los Angeles Clippers","53","12770",".442","13.7",NA,".623",".255",".206",".101",".062",".377",NA,".509",".650",".418",".424",".378",".331",NA,".511",".809",NA,".051","223",NA,".284","725",NA,".225",".335"
"15","14","Los Angeles Lakers","51","12440",".456","14.1",NA,".593",".264",".183",".087",".059",".407",NA,".533",".709",".395",".397",".373",".344",NA,".534",".839",NA,".063","259",NA,".270","706",NA,".201",".366"
"16","15","Memphis Grizzlies","53","12795",".453","14.2",NA,".601",".265",".170",".103",".063",".399",NA,".516",".654",".390",".437",".403",".358",NA,".547",".820",NA,".061","248",NA,".264","652",NA,".173",".396"
"17","16","Miami Heat","52","12605",".445","15.5",NA,".535",".211",".171",".094",".059",".465",NA,".528",".693",".437",".411",".384",".350",NA,".504",".836",NA,".045","171",NA,".234","582",NA,".269",".379"
