"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","73","17545",".467","14.8",NA,".614",".249",".160",".112",".093",".386",NA,".528",".667",".428",".453",".417",".370",NA,".533",".729",NA,".059","354",NA,".236","830",NA,".216",".406",NA,"14","1"
"3","2","Boston Celtics","74","17960",".461","15.2",NA,".579",".213",".202",".085",".079",".421",NA,".541",".731",".451",".408",".407",".351",NA,".505",".814",NA,".057","328",NA,".274","1012",NA,".230",".380",NA,"10","0"
"4","3","Brooklyn Nets","73","17570",".474","13.9",NA,".643",".248",".169",".131",".095",".357",NA,".539",".655",".444",".483",".480",".358",NA,".539",".764",NA,".050","287",NA,".258","900",NA,".226",".388",NA,"7","0"
"5","4","Chicago Bulls","73","17545",".481","13.9",NA,".664",".257",".149",".129",".129",".336",NA,".536",".676",".449",".448",".443",".373",NA,".479",".849",NA,".050","286",NA,".246","902",NA,".273",".423",NA,"15","1"
"6","5","Charlotte Hornets","73","17720",".463","14.0",NA,".580",".284",".177",".070",".048",".420",NA,".537",".684",".380",".406",".436",".361",NA,".546",".862",NA,".077","457",NA,".285","1008",NA,".285",".366",NA,"16","0"
"7","6","Cleveland Cavaliers","73","17570",".468","13.7",NA,".613",".286",".181",".092",".054",".387",NA,".541",".697",".399",".421",".393",".352",NA,".561",".827",NA,".079","442",NA,".244","841",NA,".237",".341",NA,"8","1"
"8","7","Dallas Mavericks","73","17595",".457","15.3",NA,".566",".204",".176",".112",".074",".434",NA,".544",".729",".448",".450",".402",".343",NA,".501",".786",NA,".059","316",NA,".207","766",NA,".260",".388",NA,"13","0"
"9","8","Denver Nuggets","74","17860",".479","14.5",NA,".581",".231",".201",".074",".073",".419",NA,".569",".743",".472",".434",".424",".355",NA,".580",".852",NA,".058","327",NA,".265","1004",NA,".261",".387",NA,"23","0"
"10","9","Detroit Pistons","73","17620",".429","14.0",NA,".612",".251",".206",".080",".075",".388",NA,".494",".642",".413",".348",".376",".326",NA,".490",".895",NA,".039","225",NA,".306","1060",NA,".266",".363",NA,"19","0"
"11","10","Golden State Warriors","73","17570",".468","15.6",NA,".540",".205",".197",".069",".068",".460",NA,".559",".714",".512",".410",".382",".362",NA,".597",".798",NA,".059","339",NA,".279","1057",NA,".220",".343",NA,"22","1"
"12","11","Houston Rockets","73","17595",".454","14.1",NA,".555",".298",".185",".037",".034",".445",NA,".540",".686",".389",".309",".332",".346",NA,".497",".793",NA,".086","470",NA,".302","1030",NA,".177",".351",NA,"15","0"
"13","12","Indiana Pacers","74","17960",".461","14.0",NA,".607",".267",".177",".095",".067",".393",NA,".540",".677",".450",".419",".400",".341",NA,".502",".859",NA,".043","260",NA,".305","1185",NA,".250",".377",NA,"22","0"
"14","13","Los Angeles Clippers","74","17835",".454","14.8",NA,".612",".208",".185",".118",".101",".388",NA,".510",".686",".452",".431",".350",".364",NA,".500",".814",NA,".052","288",NA,".213","754",NA,".216",".395",NA,"17","0"
"15","14","Los Angeles Lakers","73","17795",".468","14.0",NA,".610",".284",".154",".085",".087",".390",NA,".543",".702",".412",".398",".398",".350",NA,".478",".827",NA,".063","361",NA,".311","1177",NA,".231",".374",NA,"5","0"
"16","15","Memphis Grizzlies","74","17835",".461","12.8",NA,".655",".271",".232",".107",".044",".345",NA,".521",".673",".418",".420",".372",".349",NA,".497",".849",NA,".057","354",NA,".279","1075",NA,".235",".370",NA,"13","0"
"17","16","Miami Heat","73","17695",".462","14.8",NA,".582",".229",".183",".107",".064",".418",NA,".526",".693",".423",".425",".391",".373",NA,".545",".854",NA,".051","281",NA,".240","854",NA,".301",".410",NA,"20","0"
"18","17","Milwaukee Bucks","73","17570",".467","15.2",NA,".564",".225",".164",".106",".069",".436",NA,".541",".717",".422",".448",".395",".370",NA,".451",".795",NA,".046","265",NA,".246","934",NA,".242",".394",NA,"8","0"
"19","18","Minnesota Timberwolves","74","17860",".454","14.6",NA,".544",".264",".174",".059",".047",".456",NA,".537",".674",".414",".420",".368",".355",NA,".517",".795",NA,".064","377",NA,".277","1024",NA,".222",".385",NA,"18","0"
"20","19","New Orleans Pelicans","73","17595",".455","13.7",NA,".632",".268",".184",".098",".081",".368",NA,".527",".667",".421",".456",".391",".333",NA,".533",".873",NA,".055","320",NA,".293","1003",NA,".242",".375",NA,"17","2"
"21","20","New York Knicks","73","17620",".437","14.6",NA,".577",".255",".160",".086",".077",".423",NA,".495",".653",".368",".382",".361",".357",NA,".457",".796",NA,".070","381",NA,".239","770",NA,".210",".380",NA,"6","0"
"22","21","Oklahoma City Thunder","73","17620",".426","14.3",NA,".580",".207",".254",".076",".042",".420",NA,".505",".636",".441",".430",".379",".318",NA,".460",".819",NA,".051","284",NA,".319","1060",NA,".202",".347",NA,"7","0"
"23","22","Orlando Magic","74","17835",".433","14.4",NA,".586",".226",".226",".069",".064",".414",NA,".506",".661",".431",".418",".320",".329",NA,".498",".872",NA,".063","356",NA,".268","919",NA,".207",".380",NA,"12","0"
"24","23","Philadelphia 76ers","72","17405",".462","14.0",NA,".628",".237",".194",".121",".076",".372",NA,".523",".693",".412",".418",".441",".359",NA,".494",".837",NA,".048","263",NA,".248","845",NA,".232",".387",NA,"10","0"
"25","24","Phoenix Suns","74","17810",".488","14.2",NA,".647",".188",".221",".149",".089",".353",NA,".553",".707",".510",".494",".435",".368",NA,".553",".833",NA,".052","325",NA,".220","853",NA,".260",".391",NA,"12","0"
"26","25","Portland Trail Blazers","72","17305",".444","14.6",NA,".577",".259",".172",".073",".073",".423",NA,".514",".629",".427",".418",".404",".348",NA,".491",".777",NA,".045","243",NA,".276","924",NA,".208",".364",NA,"10","0"
"27","26","Sacramento Kings","74","17860",".459","13.9",NA,".621",".231",".221",".100",".069",".379",NA,".529",".694",".433",".428",".430",".345",NA,".493",".806",NA,".059","329",NA,".263","962",NA,".218",".392",NA,"12","1"
"28","27","San Antonio Spurs","73","17645",".466","13.3",NA,".656",".236",".226",".124",".070",".344",NA,".525",".666",".455",".446",".413",".352",NA,".552",".913",NA,".036","223",NA,".293","1117",NA,".226",".372",NA,"10","1"
"29","28","Toronto Raptors","73","17670",".443","14.3",NA,".627",".225",".208",".100",".095",".373",NA,".498",".649",".431",".419",".371",".350",NA,".436",".797",NA,".055","314",NA,".248","869",NA,".232",".403",NA,"15","2"
"30","29","Utah Jazz","73","17545",".471","15.1",NA,".530",".202",".233",".067",".028",".470",NA,".567",".724",".481",".456",".406",".363",NA,".450",".723",NA,".069","390",NA,".246","872",NA,".237",".386",NA,"10","1"
"31","30","Washington Wizards","72","17430",".468","13.8",NA,".641",".230",".229",".105",".077",".359",NA,".541",".722",".455",".420",".422",".338",NA,".529",".846",NA,".065","360",NA,".285","1011",NA,".247",".395",NA,"8","0"
"32","","League Average","73","17665",".459","14.3",NA,".601",".241",".194",".095",".071",".399",NA,".531",".683",".436",".430",".401",".352",NA,".510",".820",NA,".057","327",NA,".266","954",NA,".235",".381",NA,"13.1","0.4"
