"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Cleveland Cavaliers",55,240,38.5,87.7,0.439,11.2,33.6,0.334,27.3,54.1,0.504,13.7,18.1,0.755,11,32.6,43.6,23,8.6,4.5,13.8,19.2,101.9
"2",2,"Golden State Warriors",56,240.9,37.2,86.6,0.429,12,36.3,0.331,25.1,50.2,0.501,16.6,22.1,0.752,9.8,32.8,42.7,22.3,8.1,4.1,15.2,17.6,103
"3",3,"Dallas Mavericks",56,241.3,38.6,85.2,0.453,10.7,31.9,0.335,27.9,53.2,0.524,15.3,20.2,0.757,9.2,34.9,44.1,23.4,6.9,3.9,13.6,20,103.2
"4",4,"Boston Celtics",56,243.6,38.1,88.2,0.432,11.9,35,0.339,26.2,53.2,0.492,15.8,20.4,0.775,10.4,34.2,44.6,21.6,7.6,4.7,14,19.2,103.8
"5",5,"Miami Heat",56,242.2,37,83.5,0.443,13.3,38.6,0.344,23.7,44.9,0.527,17,21.9,0.776,9.5,31.9,41.4,23.2,7.4,4.3,15.5,20,104.2
"6",6,"Phoenix Suns",55,240.5,39.1,88.6,0.441,11.4,34.1,0.334,27.7,54.5,0.508,15.9,21.1,0.753,10.5,33.9,44.4,22.1,7.5,4,14.7,19.4,105.4
"7",7,"Philadelphia 76ers",54,241.9,39.2,87.1,0.45,11.1,33,0.338,28.1,54.1,0.519,16.2,20.9,0.775,10.6,34.5,45.1,23.2,6.6,4.6,13.3,18.8,105.8
"8",8,"New York Knicks",56,241.3,38.3,86.5,0.443,13.1,37.8,0.345,25.3,48.7,0.519,16.3,21.2,0.767,9.7,34.3,44.1,24.4,7.3,4.7,12.8,19.6,106
"9",9,"Toronto Raptors",54,242.3,38.8,84.4,0.459,12.3,34.8,0.354,26.4,49.6,0.533,17,21.4,0.798,10.6,33.5,44.2,24.7,7.1,5,16.2,18.9,106.9
"10",10,"Utah Jazz",55,240,40.7,90.3,0.451,11.8,34.3,0.343,28.9,56,0.517,14,18.7,0.75,10.1,32.1,42.2,23.1,7.5,4.2,12.1,20.2,107.1
