"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","50","12000",".466","15.0",NA,".617",".246",".163",".112",".096",".383",NA,".524",".662",".426",".439",".434",".374",NA,".527",".749",NA,".057","228",NA,".241","573",NA,".222",".384",NA,"11","1"
"3","2","Boston Celtics","52","12680",".449","15.5",NA,".584",".203",".202",".090",".089",".416",NA,".526",".719",".441",".386",".419",".341",NA,".480",".819",NA,".050","202",NA,".272","701",NA,".226",".379",NA,"9","0"
"4","3","Brooklyn Nets","50","12050",".472","13.7",NA,".642",".259",".163",".129",".091",".358",NA,".538",".643",".426",".505",".489",".353",NA,".561",".746",NA,".048","185",NA,".265","620",NA,".237",".358",NA,"2","0"
"5","4","Chicago Bulls","50","12000",".477","14.1",NA,".652",".252",".147",".130",".123",".348",NA,".531",".669",".423",".464",".448",".376",NA,".487",".850",NA,".049","189",NA,".248","608",NA,".275",".440",NA,"9","1"
"6","5","Charlotte Hornets","51","12340",".462","14.1",NA,".586",".275",".183",".075",".053",".414",NA,".529",".684",".377",".399",".430",".367",NA,".535",".851",NA,".071","298",NA,".283","695",NA,".269",".366",NA,"11","0"
"7","6","Cleveland Cavaliers","51","12240",".466","14.1",NA,".602",".271",".178",".096",".056",".398",NA,".542",".702",".401",".430",".410",".350",NA,".568",".820",NA,".078","304",NA,".236","566",NA,".234",".347",NA,"7","1"
"8","7","Dallas Mavericks","51","12290",".453","15.3",NA,".574",".203",".169",".117",".085",".426",NA,".541",".715",".459",".461",".399",".334",NA,".520",".814",NA,".064","245",NA,".197","501",NA,".241",".384",NA,"10","0"
"9","8","Denver Nuggets","50","12050",".471","14.6",NA,".580",".229",".195",".082",".074",".420",NA,".557",".740",".454",".423",".406",".351",NA,".578",".853",NA,".054","204",NA,".265","682",NA,".250",".382",NA,"14","0"
"10","9","Detroit Pistons","50","12050",".422","14.2",NA,".601",".242",".205",".080",".074",".399",NA,".491",".639",".423",".329",".369",".318",NA,".486",".871",NA,".036","141",NA,".306","718",NA,".246",".348",NA,"15","0"
