"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Minnesota Timberwolves",70,241.4,41.4,91.1,0.454,14.7,41.6,0.353,26.7,49.6,0.539,17.5,22.7,0.773,11.4,33.2,44.6,25.5,8.8,5.8,14.5,21.8,115.1
"2",2,"Charlotte Hornets",69,242.9,42.4,92,0.461,13.9,38.4,0.362,28.5,53.5,0.533,16.1,21.9,0.736,11,34,45,27.4,8.8,4.8,13.3,20,114.9
"3",3,"Memphis Grizzlies",70,241.1,43.3,94.2,0.46,11.1,32.5,0.342,32.2,61.7,0.522,17,23.2,0.731,14.2,35.2,49.4,25.6,9.9,6.5,13.1,19.6,114.7
"4",4,"Milwaukee Bucks",69,240.7,41.3,89.1,0.463,14.2,38.9,0.366,27.1,50.2,0.539,17.7,22.8,0.775,10.3,36.4,46.8,23.6,7.6,4,13.4,18.3,114.6
"5",5,"Phoenix Suns",69,240.4,43.3,89.7,0.483,11.6,31.8,0.365,31.7,57.8,0.549,16,20,0.798,9.7,35.7,45.4,27.4,8.6,4.4,12.9,19.4,114.3
"6",6,"Utah Jazz",68,240.4,40.7,86.2,0.472,14.7,40.5,0.363,26,45.7,0.568,17.8,22.9,0.776,10.5,35.8,46.3,22.5,7.1,4.9,14.2,19.1,113.8
"7",7,"San Antonio Spurs",69,241.8,43.7,93.3,0.468,11,31.5,0.35,32.7,61.8,0.529,14.5,19.6,0.743,11.1,34.2,45.3,28,7.6,5.1,12.8,18.3,112.9
"8",8,"Atlanta Hawks",68,240.4,41.2,88.1,0.468,12.5,33.9,0.37,28.7,54.2,0.528,18,22.2,0.809,10,34,44.1,24.4,6.9,4.4,11.9,18.5,112.9
"9",9,"Chicago Bulls",68,240.4,42,87.1,0.482,10.9,29.1,0.373,31.1,57.9,0.537,17.3,21.1,0.818,8.6,34.3,42.9,24.1,7.1,4.4,13,18.8,112.1
"10",10,"Brooklyn Nets",69,240.7,41.7,88.5,0.471,11.4,31.8,0.357,30.3,56.7,0.535,17.1,21.4,0.799,10.2,34,44.2,25.1,7.1,5.3,13.8,20.1,111.9
"11",11,"Golden State Warriors",69,240.7,40.8,86.7,0.47,14.6,40,0.364,26.2,46.7,0.561,15.5,20.3,0.763,9.7,35.8,45.4,27.4,9.2,4.7,14.9,20.7,111.6
"12",12,"Denver Nuggets",69,241.1,41.1,86.2,0.477,12.7,36.3,0.351,28.4,49.9,0.568,16.1,20.5,0.788,9,35.1,44.1,27.4,7.3,3.8,14.4,19.7,111.1
"13",13,"Los Angeles Lakers",68,243.7,41.3,88.8,0.465,12.1,34.6,0.35,29.1,54.1,0.538,16.3,22.4,0.727,9.5,34.7,44.3,23.9,7.9,5.6,14.8,20.1,111
"14",14,"Indiana Pacers",70,242.9,41.1,89.3,0.461,11.9,35.1,0.34,29.2,54.2,0.539,16.3,21.4,0.761,11.2,33.6,44.8,24.7,6.8,5.7,14.5,20.3,110.5
"15",15,"Sacramento Kings",70,241.1,40.7,88.6,0.459,11.4,33.3,0.343,29.3,55.3,0.529,17.5,22.8,0.767,9.9,33.4,43.3,23.5,7.2,4.5,14.1,19.3,110.3
"16",16,"Boston Celtics",69,242.9,39.9,87.5,0.456,12.5,36.5,0.343,27.4,51,0.537,17.2,21.1,0.815,10.8,35.5,46.3,24,7.2,6,13.7,18.5,109.5
"17",17,"Miami Heat",70,242.5,39.4,85.3,0.462,13.3,35.5,0.374,26.1,49.8,0.524,17.3,21.4,0.81,10.3,34.1,44.4,25.6,7.4,3.3,14.6,20.6,109.4
"18",18,"Houston Rockets",68,241.1,39,86.2,0.453,13.3,38.7,0.344,25.7,47.5,0.542,17.5,24.6,0.708,9.6,32.5,42.1,23.2,7.2,4.5,16.7,20.6,108.9
"19",19,"Toronto Raptors",68,241.8,40.3,91.2,0.442,12,34.1,0.352,28.3,57.1,0.496,16.2,21.5,0.754,13.4,31.9,45.3,21.9,9.1,4.7,12.7,19.9,108.9
"20",20,"Philadelphia 76ers",67,241.9,39,84.8,0.46,11.2,31.3,0.358,27.8,53.5,0.52,19.3,23.6,0.82,8.6,33.7,42.3,23.1,7.6,5.4,12.4,19.4,108.5
"21",21,"New Orleans Pelicans",69,241.1,39.9,87.7,0.454,10.8,32.7,0.33,29.1,55,0.528,17.8,22.7,0.783,11.6,33.7,45.3,25.1,7.9,4.1,14.3,20,108.3
"22",22,"Washington Wizards",67,242.2,40.3,86.1,0.469,10.5,30.9,0.34,29.9,55.2,0.54,17.2,21.9,0.784,9.2,34.1,43.2,24.6,6.4,5,13.3,19,108.3
"23",23,"Portland Trail Blazers",67,240.4,38.6,86.9,0.444,13.1,37.3,0.351,25.5,49.6,0.514,17,22.2,0.765,10.1,33.6,43.7,22.6,7.6,4.5,14.1,20.6,107.3
"24",24,"Los Angeles Clippers",71,241.1,39.8,87.6,0.454,12.4,33.9,0.366,27.4,53.6,0.51,15,19.1,0.785,9.1,35.1,44.2,23.6,7.5,4.8,14,18.7,107
