"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Cleveland Cavaliers",51,240,38.7,87.6,0.441,11.3,33.4,0.337,27.4,54.2,0.505,13.6,18.1,0.753,10.9,32.6,43.5,23,8.6,4.6,13.7,19,102.2
"2",2,"Golden State Warriors",52,241,37,86.5,0.427,11.9,36.2,0.33,25,50.3,0.498,16.6,22.1,0.752,9.6,32.9,42.5,22.1,8.3,4.1,15.2,17.8,102.5
"3",3,"Dallas Mavericks",51,241,38.7,85.3,0.454,10.9,32.3,0.336,27.9,53,0.526,15.1,20,0.755,9.1,35.2,44.3,23.4,6.9,3.8,13.5,19.9,103.4
"4",4,"Boston Celtics",52,243.8,38.3,87.8,0.436,12.1,35.2,0.343,26.3,52.6,0.499,15.8,20.4,0.777,10.1,34.5,44.5,21.8,7.6,4.8,13.9,19.2,104.6
"5",5,"New York Knicks",51,241,37.8,85.7,0.441,13,37.5,0.347,24.8,48.2,0.514,16,20.8,0.768,9.5,34,43.5,24.2,7.3,4.7,13,19.4,104.6
"6",6,"Miami Heat",52,242.4,37.2,83.6,0.445,13.6,38.8,0.35,23.6,44.7,0.528,16.9,21.8,0.776,9.4,32,41.5,23.3,7.4,4.4,15.3,20,105
"7",7,"Phoenix Suns",50,240.5,39,88.7,0.44,11.4,34.3,0.333,27.6,54.5,0.507,15.6,20.9,0.747,10.8,34,44.8,22.4,7.6,4.1,14.9,19.3,105.1
"8",8,"Philadelphia 76ers",50,242,39.1,87,0.45,11.4,33.5,0.341,27.7,53.6,0.518,15.9,20.7,0.767,10.6,34.6,45.1,23.1,6.7,4.7,13.6,19,105.5
"9",9,"Toronto Raptors",49,242,38.6,83.9,0.46,12.4,34.6,0.357,26.2,49.2,0.532,17,21.4,0.797,10.5,33.8,44.3,24.4,6.8,5.1,16.2,19,106.5
"10",10,"Los Angeles Clippers",53,240.9,40.3,91.1,0.442,11.4,34.3,0.331,28.9,56.8,0.509,14.9,18.8,0.791,12.2,35.8,48,24,8,4.3,14.1,18.9,106.8
"11",11,"Denver Nuggets",50,241,40.1,86.2,0.466,11.7,34.3,0.342,28.4,51.9,0.548,15.3,20.4,0.75,9.6,33.6,43.2,24.5,7.5,4.9,13.4,19.3,107.4
"12",12,"Oklahoma City Thunder",49,240.5,39.9,89.5,0.445,13.4,38.6,0.346,26.5,50.9,0.521,14.4,19.3,0.745,11,37.8,48.9,25.1,7.9,6.3,13.4,17.6,107.4
"13",13,"Utah Jazz",51,240,41,90.5,0.453,11.8,34.3,0.343,29.2,56.2,0.52,14,18.7,0.752,10,32.1,42.2,23.2,7.5,4.2,12,20.3,107.8
"14",14,"Memphis Grizzlies",53,241.4,39.8,87.9,0.453,12.6,35.1,0.358,27.2,52.8,0.516,16.3,20.8,0.783,9.8,33.1,42.9,25.2,7.4,6.4,15.5,19,108.5
"15",15,"Milwaukee Bucks",53,240.9,39.9,90.1,0.443,14.1,41.3,0.342,25.8,48.8,0.528,14.8,19.7,0.752,10.4,34.6,45.1,24.8,7.4,4.5,13.6,19.2,108.6
