"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","63","15120",".469","14.7",NA,".597",".253",".158",".101",".085",".403",NA,".540",".693",".417",".464",".402",".363",NA,".515",".851",NA,".060","292",NA,".249","797",NA,".238",".385"
"3","2","Boston Celtics","65","15800",".430","15.3",NA,".606",".191",".214",".104",".097",".394",NA,".491",".703",".392",".403",".384",".337",NA,".464",".797",NA,".047","249",NA,".257","753",NA,".208",".357"
"4","3","Brooklyn Nets","64","15410",".454","14.2",NA,".601",".263",".167",".094",".077",".399",NA,".531",".678",".402",".442",".417",".338",NA,".503",".784",NA,".055","278",NA,".271","866",NA,".246",".358"
"5","4","Chicago Bulls","64","15385",".467","13.4",NA,".636",".296",".170",".093",".078",".364",NA,".526",".667",".411",".402",".390",".363",NA,".518",".826",NA,".057","292",NA,".290","910",NA,".226",".414"
"6","5","Charlotte Hornets","64","15560",".462","14.5",NA,".569",".259",".172",".079",".059",".431",NA,".542",".680",".433",".408",".434",".356",NA,".522",".827",NA,".068","336",NA,".263","834",NA,".273",".373"
"7","6","Cleveland Cavaliers","63","15120",".445","13.8",NA,".615",".294",".159",".091",".072",".385",NA,".507",".610",".413",".414",".410",".346",NA,".510",".814",NA,".058","278",NA,".273","782",NA,".257",".363"
"8","7","Dallas Mavericks","63","15195",".457","13.9",NA,".625",".238",".201",".112",".074",".375",NA,".527",".693",".452",".427",".348",".339",NA,".517",".818",NA,".055","252",NA,".256","796",NA,".254",".369"
"9","8","Denver Nuggets","63","15170",".465","14.3",NA,".604",".223",".215",".098",".068",".396",NA,".549",".726",".471",".442",".365",".336",NA,".521",".824",NA,".059","290",NA,".262","841",NA,".235",".364"
"10","9","Detroit Pistons","64","15435",".474","13.8",NA,".619",".258",".211",".082",".068",".381",NA,".536",".665",".468",".416",".402",".373",NA,".538",".820",NA,".062","305",NA,".285","875",NA,".252",".428"
