"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","81","19465",".471","14.5",NA,".606",".260",".161",".102",".083",".394",NA,".541",".691",".426",".455",".400",".364",NA,".508",".833",NA,".059","378",NA,".256","1064",NA,".234",".383"
"3","2","Boston Celtics","81","19665",".435","15.2",NA,".605",".188",".223",".099",".095",".395",NA,".498",".706",".409",".414",".384",".339",NA,".464",".788",NA,".048","314",NA,".255","933",NA,".214",".357"
"4","3","Brooklyn Nets","81","19515",".452","14.2",NA,".598",".255",".177",".092",".075",".402",NA,".524",".681",".401",".425",".400",".344",NA,".498",".779",NA,".058","378",NA,".267","1050",NA,".243",".369"
"5","4","Chicago Bulls","81","19490",".473","13.4",NA,".634",".295",".169",".091",".079",".366",NA,".535",".675",".419",".413",".397",".367",NA,".513",".828",NA,".057","370",NA,".286","1143",NA,".235",".427"
"6","5","Charlotte Hornets","81","19640",".466","14.5",NA,".569",".265",".170",".075",".058",".431",NA,".545",".684",".431",".411",".423",".362",NA,".529",".832",NA,".069","433",NA,".264","1063",NA,".278",".376"
"7","6","Cleveland Cavaliers","81","19490",".453","13.7",NA,".619",".292",".163",".093",".071",".381",NA,".514",".628",".416",".416",".402",".352",NA,".519",".827",NA,".061","378",NA,".266","1009",NA,".270",".378"
"8","7","Dallas Mavericks","81","19515",".456","13.9",NA,".623",".239",".205",".106",".073",".377",NA,".527",".699",".441",".429",".352",".339",NA,".515",".825",NA,".057","346",NA,".255","1021",NA,".248",".377"
"9","8","Denver Nuggets","81","19540",".470","14.2",NA,".609",".221",".220",".099",".069",".391",NA,".549",".729",".470",".445",".374",".346",NA,".533",".830",NA,".059","377",NA,".261","1090",NA,".236",".371"
"10","9","Detroit Pistons","81","19540",".472","13.8",NA,".620",".257",".216",".078",".070",".380",NA,".538",".671",".468",".440",".378",".364",NA,".535",".823",NA,".065","396",NA,".283","1101",NA,".252",".423"
"11","10","Golden State Warriors","81","19490",".438","14.8",NA,".585",".175",".258",".089",".063",".415",NA,".509",".691",".456",".428",".336",".339",NA,".488",".846",NA,".046","294",NA,".268","1026",NA,".243",".395"
"12","11","Houston Rockets","81","19515",".483","14.0",NA,".598",".276",".176",".084",".062",".402",NA,".571",".713",".458",".461",".411",".351",NA,".503",".799",NA,".075","490",NA,".267","1147",NA,".241",".373"
"13","12","Indiana Pacers","81","19640",".481","13.6",NA,".632",".261",".204",".098",".070",".368",NA,".545",".689",".453",".439",".421",".372",NA,".506",".805",NA,".065","404",NA,".281","1149",NA,".230",".399"
"14","13","Los Angeles Clippers","81","19540",".451","13.7",NA,".626",".250",".214",".102",".060",".374",NA,".514",".662",".422",".419",".382",".346",NA,".506",".807",NA,".057","365",NA,".273","1070",NA,".217",".359"
"15","14","Los Angeles Lakers","81","19715",".470","14.0",NA,".606",".259",".194",".087",".065",".394",NA,".547",".713",".434",".417",".395",".352",NA,".522",".842",NA,".063","409",NA,".272","1149",NA,".208",".383"
"16","15","Memphis Grizzlies","81","19540",".453","13.9",NA,".612",".272",".176",".098",".067",".388",NA,".520",".651",".407",".432",".407",".349",NA,".535",".816",NA,".063","395",NA,".273","1052",NA,".176",".391"
"17","16","Miami Heat","81","19615",".446","15.3",NA,".547",".218",".173",".094",".061",".453",NA,".536",".701",".443",".416",".399",".338",NA,".508",".829",NA,".046","280",NA,".237","930",NA,".268",".371"
"18","17","Milwaukee Bucks","81","19515",".455","15.7",NA,".552",".213",".163",".103",".072",".448",NA,".537",".695",".437",".448",".420",".355",NA,".514",".828",NA,".046","302",NA,".234","973",NA,".210",".359"
