"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","60","14","55","19","8.43","-0.64","7.79","115.6","107.1","+8.5","99.5",".227",".353",".585",NA,".553","11.5","22.4",".182",NA,".509","13.0","77.2",".188",NA,"Phoenix Suns Arena","611,958","16,104"
"3","2","Boston Celtics","26.1","46","28","52","22","6.66","-0.49","6.17","113.3","106.5","+6.8","96.4",".240",".421",".573",NA,".535","12.3","23.9",".196",NA,".498","12.5","77.1",".184",NA,"TD Garden","670,460","18,121"
"4","3","Utah Jazz","29.3","45","28","50","23","6.10","-0.38","5.72","116.5","110.3","+6.2","97.4",".266",".470",".591",NA,".556","12.9","25.1",".207",NA,".520","10.9","78.3",".162",NA,"Vivint Smart Home Arena","677,322","18,306"
"5","4","Golden State Warriors","27.6","48","25","50","23","6.01","-0.11","5.91","112.5","106.4","+6.1","98.4",".234",".460",".581",NA,".551","13.5","22.9",".179",NA,".508","13.2","78.8",".198",NA,"Chase Center","686,432","18,064"
"6","5","Memphis Grizzlies","24.0","51","23","50","24","5.74","-0.71","5.03","114.5","108.8","+5.7","100.1",".244",".345",".552",NA,".522","11.3","30.2",".179",NA,".521","13.1","77.7",".193",NA,"FedEx Forum","559,538","15,543"
"7","6","Miami Heat","28.2","47","26","47","26","4.32","-0.26","4.06","113.0","108.6","+4.4","95.8",".249",".418",".578",NA,".540","13.2","23.9",".202",NA,".523","13.9","78.1",".207",NA,"FTX Arena","706,368","19,621"
"8","7","Milwaukee Bucks","28.5","46","27","46","27","4.08","-0.36","3.72","115.0","110.9","+4.1","99.7",".256",".436",".581",NA,".547","12.0","22.9",".198",NA,".531","11.7","78.4",".164",NA,"Fiserv Forum","661,610","17,411"
"9","8","Minnesota Timberwolves","24.1","42","32","44","30","3.28","-0.10","3.19","114.0","110.7","+3.3","100.7",".251",".456",".570",NA,".535","12.4","24.8",".195",NA,".529","14.2","75.0",".229",NA,"Target Center","588,604","15,908"
"10","9","Dallas Mavericks","26.7","45","28","43","30","2.74","-0.08","2.66","111.4","108.6","+2.8","95.4",".243",".434",".564",NA,".531","11.7","21.4",".186",NA,".519","12.5","77.8",".183",NA,"American Airlines Center","727,034","19,650"
"11","10","Cleveland Cavaliers","24.7","41","32","43","30","2.58","-0.09","2.48","111.4","108.8","+2.6","96.1",".258",".387",".569",NA,".536","13.4","24.1",".196",NA,".517","12.5","76.2",".165",NA,"Rocket Mortgage Fieldhouse","661,068","18,363"
"12","11","Denver Nuggets","27.7","43","31","43","31","2.41","-0.02","2.39","114.0","111.5","+2.5","97.5",".239",".419",".586",NA,".554","13.1","21.6",".189",NA,".536","11.7","78.2",".185",NA,"Ball Arena","600,053","16,668"
"13","12","Philadelphia 76ers","26.7","45","27","41","31","2.03","-0.02","2.01","112.6","110.5","+2.1","95.9",".280",".372",".573",NA,".528","11.5","19.8",".229",NA,".520","12.0","76.5",".189",NA,"Wells Fargo Center","761,261","20,575"
"14","13","Toronto Raptors","24.7","41","32","40","33","1.48","0.10","1.58","112.4","110.9","+1.5","95.9",".234",".373",".541",NA,".508","11.1","28.6",".177",NA,".535","14.3","75.5",".201",NA,"Scotiabank Arena","408,743","12,022"
