"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","69","16585",".471","14.6",NA,".601",".258",".158",".101",".083",".399",NA,".542",".694",".420",".461",".400",".364",NA,".513",".845",NA,".061","329",NA,".253","890",NA,".233",".386"
"3","2","Boston Celtics","70","17000",".431","15.3",NA,".604",".191",".215",".103",".096",".396",NA,".493",".703",".395",".407",".388",".335",NA,".466",".792",NA,".047","267",NA,".257","810",NA,".215",".353"
"4","3","Brooklyn Nets","70","16850",".452","14.2",NA,".600",".259",".171",".093",".077",".400",NA,".526",".680",".396",".434",".409",".341",NA,".502",".791",NA,".056","309",NA,".270","932",NA,".243",".364"
"5","4","Chicago Bulls","69","16585",".468","13.3",NA,".637",".298",".172",".090",".077",".363",NA,".527",".667",".410",".403",".392",".364",NA,".516",".828",NA,".057","314",NA,".291","979",NA,".228",".416"
"6","5","Charlotte Hornets","70","17000",".464","14.5",NA,".570",".262",".173",".076",".059",".430",NA,".544",".682",".432",".407",".437",".357",NA,".528",".832",NA,".067","364",NA,".267","934",NA,".270",".371"
"7","6","Cleveland Cavaliers","69","16585",".447","13.7",NA,".619",".296",".161",".091",".072",".381",NA,".508",".609",".416",".419",".413",".348",NA,".509",".823",NA,".060","312",NA,".270","850",NA,".260",".365"
"8","7","Dallas Mavericks","69","16635",".456","13.8",NA,".628",".238",".207",".110",".073",".372",NA,".527",".696",".452",".422",".349",".336",NA,".515",".824",NA,".057","291",NA,".258","880",NA,".253",".374"
"9","8","Denver Nuggets","70","16875",".465","14.2",NA,".607",".224",".217",".096",".071",".393",NA,".547",".724",".467",".448",".360",".339",NA,".524",".824",NA,".058","321",NA,".264","942",NA,".237",".370"
"10","9","Detroit Pistons","69","16660",".473","13.8",NA,".621",".258",".211",".081",".071",".379",NA,".538",".668",".472",".423",".389",".367",NA,".538",".818",NA,".062","325",NA,".282","940",NA,".252",".418"
