"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Boston Celtics",70,242.9,37.9,88,0.431,11.7,34.9,0.335,26.2,53.2,0.493,16.1,20.6,0.785,10.5,33.9,44.4,21.5,7.5,4.6,13.9,19.3,103.7
"2",2,"Dallas Mavericks",69,241.1,38.9,85.2,0.456,10.7,31.7,0.336,28.2,53.5,0.527,15.3,20.2,0.755,9.6,34.6,44.1,23.3,6.8,3.7,13.5,20.1,103.7
"3",3,"Cleveland Cavaliers",69,240.4,39,87.3,0.447,11.6,33.2,0.348,27.5,54,0.508,14.4,18.8,0.768,10.6,32.3,42.9,23.5,8.7,4.7,13.6,19.9,104
"4",4,"Miami Heat",70,242.5,37.2,83.9,0.443,13,38.2,0.34,24.2,45.7,0.529,17.4,22.4,0.774,9.5,32.2,41.8,23.1,7.4,4.3,15.3,20.8,104.7
"5",5,"Golden State Warriors",70,240.7,37.9,86.4,0.438,12.2,36.2,0.339,25.6,50.2,0.51,17.1,22.6,0.755,9.6,33.1,42.7,22.8,7.9,4,14.8,17.9,105.1
"6",6,"Phoenix Suns",70,240.4,39.2,88.6,0.442,11.6,34.3,0.337,27.6,54.3,0.509,16.3,21.6,0.756,10.5,33.9,44.4,22.5,7.5,4,14.7,18.9,106.3
"7",7,"Philadelphia 76ers",68,241.8,39.5,86.7,0.455,11.4,33.1,0.343,28.1,53.5,0.525,16.5,21.4,0.772,10.3,34.5,44.8,23.4,6.5,4.7,13.2,19.6,106.8
"8",8,"New York Knicks",69,241.4,38.6,86.7,0.445,12.8,37.1,0.344,25.8,49.6,0.52,17,22.4,0.76,9.6,34.4,43.9,24.3,7.1,4.7,12.5,20.3,106.9
"9",9,"Toronto Raptors",69,241.8,39,84.3,0.463,12.2,34.8,0.351,26.8,49.5,0.541,17,21.3,0.797,10.3,34,44.3,25.1,6.8,5.1,16,19.3,107.2
"10",10,"Utah Jazz",69,240.4,40.6,89.9,0.452,11.9,34.8,0.342,28.7,55.1,0.521,14.6,19.3,0.753,10,31.8,41.8,23,7.8,4.2,12,20.2,107.7
"11",11,"Los Angeles Clippers",72,241,40.5,90.4,0.448,11.7,34,0.342,28.8,56.3,0.511,15.1,19.4,0.781,11.9,35.3,47.2,23.9,7.7,4.1,13.7,18.5,107.7
"12",12,"Denver Nuggets",70,241.1,40.5,87,0.465,11.6,34.2,0.339,28.9,52.8,0.547,16,21.3,0.749,9.8,33.1,42.9,24.7,8,4.8,13.1,19.8,108.5
"13",13,"Memphis Grizzlies",70,241.1,40,88.6,0.452,12.3,34.9,0.351,27.8,53.7,0.517,17,22,0.773,10.2,32.9,43.2,25.1,7.2,6.2,15,19.7,109.4
