"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","58","14","54","18","8.40","-0.74","7.66","115.1","106.6","+8.5","99.5",".224",".354",".583",NA,".551","11.6","22.4",".179",NA,".507","13.0","77.4",".188",NA,"Phoenix Suns Arena","611,958","16,104"
"3","2","Utah Jazz","29.4","45","26","50","21","6.77","-0.51","6.26","116.7","109.8","+6.9","97.5",".267",".471",".592",NA,".558","12.9","25.0",".207",NA,".516","10.9","78.3",".163",NA,"Vivint Smart Home Arena","677,322","18,306"
"4","3","Boston Celtics","26.0","44","28","50","22","6.33","-0.46","5.87","112.7","106.2","+6.5","96.4",".240",".420",".570",NA,".532","12.4","24.0",".195",NA,".497","12.5","77.3",".185",NA,"TD Garden","670,460","18,624"
"5","4","Golden State Warriors","27.6","47","24","49","22","6.04","-0.09","5.95","112.5","106.4","+6.1","98.5",".233",".462",".581",NA,".552","13.4","22.9",".178",NA,".509","13.2","78.7",".198",NA,"Chase Center","686,432","18,064"
"6","5","Memphis Grizzlies","24.0","49","23","48","24","5.32","-0.70","4.62","114.0","108.8","+5.2","100.1",".246",".344",".550",NA,".519","11.2","30.0",".180",NA,".521","13.2","77.7",".192",NA,"FedEx Forum","525,539","15,457"
"7","6","Miami Heat","28.1","47","24","46","25","4.73","-0.37","4.37","113.1","108.2","+4.9","95.9",".249",".418",".578",NA,".540","13.3","24.2",".202",NA,".521","14.0","78.1",".207",NA,"FTX Arena","686,768","19,622"
"8","7","Milwaukee Bucks","28.4","44","27","43","28","3.63","-0.28","3.35","114.8","111.2","+3.6","99.8",".256",".438",".579",NA,".545","11.9","23.1",".199",NA,".532","11.7","78.3",".167",NA,"Fiserv Forum","625,609","17,378"
"9","8","Minnesota Timberwolves","24.1","42","30","44","28","3.53","-0.26","3.27","113.9","110.5","+3.4","100.8",".251",".457",".571",NA,".536","12.5","24.6",".195",NA,".528","14.3","75.0",".229",NA,"Target Center","571,468","15,874"
"10","9","Cleveland Cavaliers","24.7","41","30","42","29","2.99","-0.06","2.93","111.2","108.1","+3.1","96.1",".258",".386",".568",NA,".535","13.5","24.2",".196",NA,".515","12.6","76.3",".165",NA,"Rocket Mortgage Fieldhouse","641,636","18,332"
"11","10","Dallas Mavericks","26.7","43","28","41","30","2.52","-0.03","2.49","111.4","108.7","+2.7","95.3",".243",".433",".563",NA,".530","11.7","21.5",".186",NA,".521","12.5","77.9",".181",NA,"American Airlines Center","686,931","19,627"
"12","11","Denver Nuggets","27.7","42","30","42","30","2.44","-0.11","2.33","113.5","111.0","+2.5","97.5",".238",".420",".584",NA,".551","13.1","21.6",".188",NA,".534","11.9","78.1",".183",NA,"Ball Arena","564,444","16,601"
"13","12","Philadelphia 76ers","26.7","43","27","39","31","1.91","-0.01","1.90","112.3","110.3","+2.0","95.8",".281",".372",".571",NA,".527","11.6","19.7",".230",NA,".519","12.0","76.4",".190",NA,"Wells Fargo Center","739,875","20,552"
"14","13","Toronto Raptors","24.7","40","31","39","32","1.54","0.09","1.63","112.3","110.7","+1.6","96.1",".236",".373",".540",NA,".508","11.1","28.5",".177",NA,".535","14.5","75.6",".202",NA,"Scotiabank Arena","388,943","11,786"
"15","14","Chicago Bulls","26.3","41","29","37","33","0.80","-0.33","0.47","113.4","112.5","+0.9","98.6",".243",".335",".581",NA,".543","11.8","20.3",".199",NA,".535","12.0","78.4",".197",NA,"United Center","727,799","20,794"
"16","15","Atlanta Hawks","26.2","35","36","37","34","0.80","0.21","1.02","115.6","114.8","+0.8","97.5",".250",".383",".576",NA,".538","10.9","22.8",".203",NA,".542","11.4","77.0",".176",NA,"State Farm Arena","602,020","16,271"
"17","16","Charlotte Hornets","25.6","36","35","36","35","0.37","0.04","0.41","113.4","113.0","+0.4","100.3",".239",".418",".567",NA,".538","11.5","23.2",".177",NA,".540","13.2","74.9",".188",NA,"Spectrum Center","599,446","17,127"
"18","17","Brooklyn Nets","29.2","37","34","36","35","0.27","-0.03","0.24","113.0","112.8","+0.2","98.9",".243",".358",".573",NA,".537","12.4","23.8",".195",NA,".521","11.7","75.3",".199",NA,"Barclays Center","586,106","17,238"
"19","18","New York Knicks","26.2","30","41","34","37","-0.79","0.21","-0.58","109.6","110.4","-0.8","96.1",".277",".422",".547",NA,".510","12.2","25.1",".208",NA,".519","11.5","78.7",".198",NA,"Madison Square Garden (IV)","644,612","18,417"
"20","19","San Antonio Spurs","24.7","28","44","34","38","-0.97","0.10","-0.87","111.7","112.6","-0.9","100.2",".210",".342",".552",NA,".525","11.1","23.8",".157",NA,".535","12.2","74.9",".175",NA,"AT&T Center","547,812","14,806"
"21","20","New Orleans Pelicans","25.7","30","41","33","38","-1.30","0.37","-0.93","111.1","112.4","-1.3","97.4",".258",".370",".555",NA,".516","12.7","26.4",".202",NA,".540","12.7","78.2",".199",NA,"Smoothie King Center","561,328","15,592"
"22","21","Los Angeles Clippers","27.5","36","37","34","39","-1.21","0.06","-1.14","108.4","109.7","-1.3","98.0",".218",".388",".557",NA,".524","12.7","20.5",".172",NA,".513","12.1","74.5",".167",NA,"Crypto.com Arena","584,183","16,691"
"23","22","Indiana Pacers","26.3","25","47","31","41","-2.21","0.07","-2.14","112.1","114.3","-2.2","97.9",".239",".394",".561",NA,".529","12.8","25.5",".182",NA,".539","11.7","76.7",".205",NA,"Gainbridge Fieldhouse","512,278","14,230"
"24","23","Los Angeles Lakers","30.5","30","41","29","42","-2.82","-0.32","-3.14","109.3","112.1","-2.8","100.1",".250",".392",".563",NA,".534","13.0","21.2",".182",NA,".534","12.5","75.3",".191",NA,"Crypto.com Arena","688,643","18,612"
"25","24","Washington Wizards","26.0","30","40","28","42","-3.10","0.15","-2.95","111.0","114.2","-3.2","96.8",".257",".358",".567",NA,".530","12.1","21.1",".202",NA,".524","10.7","76.2",".205",NA,"Capital One Arena","547,145","15,198"
"26","25","Sacramento Kings","25.7","25","48","25","48","-5.38","0.39","-5.00","109.9","115.3","-5.4","99.9",".260",".378",".560",NA,".524","12.5","21.8",".200",NA,".551","11.8","76.3",".180",NA,"Golden 1 Center","543,953","13,948"
"27","26","Portland Trail Blazers","26.1","26","44","20","50","-6.97","0.80","-6.17","108.9","116.0","-7.1","98.3",".254",".427",".554",NA,".520","12.7","22.7",".193",NA,".555","12.4","78.0",".214",NA,"Moda Center","599,368","17,125"
"28","27","Orlando Magic","23.4","19","53","19","53","-7.86","0.30","-7.56","104.4","112.3","-7.9","99.4",".230",".412",".538",NA,".502","13.1","20.0",".182",NA,".532","11.8","77.2",".196",NA,"Amway Center","519,888","14,854"
"29","28","Oklahoma City Thunder","22.5","20","51","19","52","-7.90","0.39","-7.51","103.7","111.7","-8.0","98.5",".221",".419",".524",NA,".490","12.3","21.8",".169",NA,".530","12.0","75.9",".164",NA,"Paycom Center","501,066","14,316"
"30","29","Detroit Pistons","23.7","19","52","18","53","-8.44","0.56","-7.88","105.3","113.8","-8.5","98.2",".248",".387",".530",NA,".491","12.7","23.6",".192",NA,".543","13.2","75.5",".221",NA,"Little Caesars Arena","533,641","15,695"
"31","30","Houston Rockets","24.4","17","54","17","54","-9.59","0.57","-9.02","107.4","116.9","-9.5","100.9",".286",".446",".562",NA,".531","14.7","21.4",".203",NA,".557","12.3","74.8",".202",NA,"Toyota Center","544,170","15,548"
"32","","League Average","26.3","","","36","36","0.00","0.00","0.00","111.4","111.4","","98.2",".247",".399",".563",NA,".529","12.4","23.3",".191",NA,".529","12.4","76.7",".191",NA,"","597,361","16,764"
