"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.6","49","12","44","17","7.75","-0.38","7.38","114.1","106.3","+7.8","99.4",".226",".352",".578",NA,".546","11.6","22.7",".179",NA,".505","12.9","77.2",".180",NA,"Phoenix Suns Arena","526,603","15,958"
"3","2","Utah Jazz","29.5","38","22","42","18","6.78","-0.18","6.60","116.6","109.7","+6.9","97.6",".264",".468",".593",NA,".559","12.9","24.5",".206",NA,".518","11.0","77.9",".155",NA,"Vivint Smart Home Arena","585,792","18,306"
"4","3","Golden State Warriors","27.8","43","19","44","18","6.84","-0.22","6.62","111.9","105.0","+6.9","98.7",".237",".464",".580",NA,".550","13.7","22.8",".182",NA,".505","13.6","78.8",".194",NA,"Chase Center","596,112","18,064"
"5","4","Boston Celtics","26.0","37","27","43","21","5.38","-0.65","4.72","111.5","106.0","+5.5","96.7",".239",".418",".565",NA,".527","12.6","23.8",".195",NA,".497","12.6","77.4",".183",NA,"TD Garden","593,836","18,557"
"6","5","Miami Heat","28.2","41","21","40","22","4.77","-0.36","4.42","113.0","108.1","+4.9","95.7",".249",".416",".577",NA,".540","13.5","24.8",".201",NA,".523","14.2","78.0",".204",NA,"FTX Arena","549,464","19,624"
"7","6","Memphis Grizzlies","23.9","43","20","41","22","4.84","-0.11","4.73","113.6","108.8","+4.8","99.8",".248",".345",".549",NA,".518","11.5","30.2",".182",NA,".521","13.3","77.7",".190",NA,"FedEx Forum","474,124","15,294"
"8","7","Cleveland Cavaliers","24.8","36","25","38","23","3.90","-0.24","3.66","110.8","106.8","+4.0","96.2",".252",".393",".567",NA,".535","13.7","24.2",".191",NA,".509","12.7","76.1",".159",NA,"Rocket Mortgage Fieldhouse","526,147","18,143"
"9","8","Milwaukee Bucks","28.4","37","25","38","24","3.58","-0.75","2.83","113.8","110.2","+3.6","99.5",".253",".442",".575",NA,".541","12.1","22.9",".196",NA,".526","11.8","77.8",".168",NA,"Fiserv Forum","573,432","17,377"
"10","9","Dallas Mavericks","26.7","37","25","38","24","3.29","-0.01","3.28","111.2","107.7","+3.5","95.5",".240",".431",".563",NA,".531","11.8","21.3",".183",NA,".518","12.6","78.5",".179",NA,"American Airlines Center","606,383","19,561"
"11","10","Denver Nuggets","27.6","36","25","36","25","2.89","-0.04","2.85","112.9","109.9","+3.0","97.5",".225",".423",".581",NA,".550","13.2","21.4",".178",NA,".530","12.0","78.5",".181",NA,"Ball Arena","440,738","16,324"
"12","11","Philadelphia 76ers","26.6","37","23","34","26","2.28","-0.31","1.98","111.8","109.5","+2.3","96.1",".267",".364",".570",NA,".528","11.6","19.6",".218",NA,".515","12.2","76.4",".188",NA,"Wells Fargo Center","591,310","20,390"
"13","12","Chicago Bulls","26.3","39","23","35","27","1.90","-0.59","1.31","113.7","111.8","+1.9","98.6",".244",".340",".582",NA,".546","11.9","20.5",".199",NA,".531","11.9","78.3",".190",NA,"United Center","684,813","20,752"
"14","13","Minnesota Timberwolves","24.1","34","29","34","29","1.27","0.31","1.58","112.5","111.2","+1.3","100.3",".241",".453",".561",NA,".529","12.5","25.0",".184",NA,".531","14.4","74.4",".229",NA,"Target Center","487,834","15,737"
"15","14","Toronto Raptors","24.6","34","27","33","28","1.30","0.16","1.45","112.0","110.7","+1.3","96.2",".229",".378",".542",NA,".510","11.4","27.9",".173",NA,".537","14.7","75.2",".200",NA,"Scotiabank Arena","330,514","11,017"
"16","15","Atlanta Hawks","26.1","29","32","32","29","0.69","0.36","1.05","114.9","114.2","+0.7","97.6",".248",".380",".576",NA,".539","11.2","22.6",".200",NA,".538","11.2","77.5",".175",NA,"State Farm Arena","498,981","16,096"
"17","16","San Antonio Spurs","24.8","24","38","31","31","-0.08","0.17","0.09","111.8","111.9","-0.1","100.0",".203",".336",".554",NA,".527","11.1","23.9",".152",NA,".532","12.2","75.1",".167",NA,"AT&T Center","423,439","14,601"
"18","17","Los Angeles Clippers","27.6","33","31","31","33","-0.53","0.08","-0.45","108.1","108.6","-0.5","98.5",".220",".390",".558",NA,".526","13.0","20.4",".172",NA,".509","12.3","74.6",".164",NA,"Crypto.com Arena","513,343","16,559"
"19","18","Charlotte Hornets","25.6","30","33","30","33","-0.75","-0.01","-0.76","111.9","112.7","-0.8","100.6",".235",".415",".560",NA,".532","11.6","23.2",".172",NA,".539","13.2","74.9",".189",NA,"Spectrum Center","509,262","16,975"
"20","19","Brooklyn Nets","29.1","32","31","30","33","-0.90","-0.05","-0.96","111.5","112.4","-0.9","98.9",".239",".359",".565",NA,".528","12.4","23.3",".192",NA,".520","11.6","75.5",".194",NA,"Barclays Center","514,604","17,153"
"21","20","Los Angeles Lakers","30.6","27","34","27","34","-1.98","-0.37","-2.35","108.6","110.6","-2.0","100.1",".251",".387",".560",NA,".531","13.0","20.9",".182",NA,".527","12.7","76.0",".190",NA,"Crypto.com Arena","632,421","18,601"
"22","21","New York Knicks","26.3","25","36","27","34","-1.97","0.04","-1.93","108.7","110.8","-2.1","96.0",".266",".429",".545",NA,".509","12.5","24.7",".199",NA,".521","11.7","78.3",".194",NA,"Madison Square Garden (IV)","586,775","18,337"
"23","22","New Orleans Pelicans","25.7","25","36","26","35","-2.39","0.45","-1.95","109.8","112.3","-2.5","96.9",".259",".374",".550",NA,".510","12.9","26.0",".205",NA,".539","12.5","78.4",".195",NA,"Smoothie King Center","464,717","15,491"
"24","23","Indiana Pacers","26.6","21","42","27","36","-2.51","0.36","-2.15","111.1","113.7","-2.6","97.6",".238",".395",".558",NA,".526","12.8","24.9",".181",NA,".537","11.7","77.1",".205",NA,"Gainbridge Fieldhouse","467,118","14,155"
"25","24","Washington Wizards","26.0","28","33","25","36","-2.77","0.15","-2.63","110.0","112.9","-2.9","96.8",".251",".358",".562",NA,".526","12.3","21.3",".196",NA,".519","10.8","76.2",".204",NA,"Capital One Arena","481,479","15,046"
"26","25","Sacramento Kings","25.6","23","40","22","41","-4.79","0.17","-4.62","109.8","114.6","-4.8","99.8",".254",".378",".558",NA,".523","12.6","22.4",".195",NA,".545","11.8","75.9",".177",NA,"Golden 1 Center","449,833","13,631"
"27","26","Portland Trail Blazers","26.5","25","36","21","40","-4.87","0.73","-4.14","109.6","114.5","-4.9","98.1",".251",".436",".557",NA,".523","12.6","22.7",".191",NA,".553","12.4","78.7",".200",NA,"Moda Center","581,844","17,113"
"28","27","Oklahoma City Thunder","22.6","19","42","17","44","-6.92","0.23","-6.69","103.0","110.0","-7.0","98.2",".216",".416",".519",NA,".486","12.1","21.7",".165",NA,".522","12.1","76.2",".162",NA,"Paycom Center","421,772","14,059"
"29","28","Orlando Magic","23.5","15","47","16","46","-7.97","0.26","-7.71","104.5","112.5","-8.0","99.2",".226",".412",".538",NA,".503","13.2","20.1",".178",NA,".534","12.1","76.6",".194",NA,"Amway Center","420,979","15,035"
"30","29","Houston Rockets","24.6","15","46","14","47","-9.54","0.32","-9.22","107.1","116.5","-9.4","100.9",".286",".450",".558",NA,".526","14.7","22.0",".203",NA,".556","12.4","75.0",".205",NA,"Toyota Center","429,559","15,341"
"31","30","Detroit Pistons","23.6","15","47","14","48","-9.53","0.48","-9.05","104.1","113.7","-9.6","98.6",".246",".387",".524",NA,".485","12.8","23.5",".192",NA,".548","13.5","75.8",".217",NA,"Little Caesars Arena","464,120","15,471"
"32","","League Average","26.4","","","31","31","0.00","0.00","0.00","110.8","110.8","","98.2",".243",".399",".561",NA,".527","12.5","23.2",".188",NA,".527","12.5","76.8",".188",NA,"","514,245","16,642"
