"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Boston Celtics",79,242.8,38.2,87.9,0.434,11.8,34.8,0.339,26.3,53,0.497,16.1,20.5,0.787,10.4,33.3,43.7,21.5,7.4,4.6,13.9,19.4,104.3
"2",2,"Dallas Mavericks",79,240.9,39.1,85.4,0.458,11,32.2,0.341,28.1,53.2,0.529,15.6,20.5,0.761,9.6,34.4,44,23.5,6.9,3.7,13.1,20.1,104.8
"3",3,"Miami Heat",80,242.2,37.4,83.8,0.446,12.9,38.1,0.339,24.5,45.8,0.535,17.6,22.7,0.777,9.6,32,41.6,23.2,7.4,4.1,15,20.6,105.3
"4",4,"Cleveland Cavaliers",80,240.6,39.4,87.2,0.452,11.7,33.2,0.352,27.7,53.9,0.514,14.9,19.2,0.772,10.5,32.4,42.9,24,8.5,4.6,13.5,20.1,105.4
"5",5,"Golden State Warriors",79,240.6,38,86.5,0.439,12.2,36,0.34,25.7,50.5,0.509,17.3,22.8,0.759,9.6,33,42.7,23,7.9,3.9,14.5,18,105.5
"6",6,"Toronto Raptors",79,242.2,38.9,84.5,0.461,12.3,34.8,0.352,26.7,49.7,0.537,16.8,21.3,0.788,10.4,33.7,44.1,25.2,6.7,5.1,15.8,19.1,106.9
"7",7,"New York Knicks",79,241.3,38.5,86,0.448,12.7,37,0.343,25.8,49.1,0.526,17.2,22.5,0.763,9.4,34.3,43.7,24.1,7,4.6,12.5,20.4,106.9
"8",8,"Philadelphia 76ers",79,241.6,39.6,86.6,0.457,11.3,32.9,0.344,28.3,53.7,0.527,16.5,21.4,0.771,10.2,34.2,44.4,23.5,6.6,4.6,13.2,19.5,107
"9",9,"Phoenix Suns",79,240.6,39.3,88.7,0.444,11.6,34.3,0.338,27.7,54.4,0.51,16.9,22.2,0.761,10.6,33.8,44.4,22.9,7.5,3.9,14.7,19,107.2
"10",10,"Utah Jazz",79,240.6,40.5,89.3,0.454,12.2,34.8,0.351,28.3,54.5,0.52,14.8,19.5,0.759,9.9,31.8,41.7,23.3,7.7,4.3,11.9,20.1,108
"11",11,"Los Angeles Clippers",79,241.3,40.8,90.4,0.452,11.7,33.8,0.346,29.1,56.6,0.515,15.4,19.8,0.779,12,35.2,47.2,24.1,7.6,4.2,13.6,18.4,108.8
"12",12,"Memphis Grizzlies",79,241.3,40.1,88.6,0.452,12,34.4,0.35,28,54.2,0.518,17.2,22.3,0.769,10,33,43,24.8,7.2,6.2,15,19.8,109.4
"13",13,"New Orleans Pelicans",79,240.9,40,85.7,0.467,12.9,35.6,0.361,27.2,50.1,0.543,16.9,21.6,0.785,9.3,32.6,41.9,24.5,7.4,4.8,14,20.4,109.9
"14",14,"Denver Nuggets",80,241.3,41,87.3,0.47,11.8,34.2,0.345,29.2,53.1,0.55,16.2,21.5,0.753,9.7,32.7,42.4,25.3,8,4.8,12.8,19.8,110
"15",15,"Oklahoma City Thunder",79,241.6,41.2,90.6,0.455,13.6,38.8,0.351,27.6,51.8,0.533,15.1,19.5,0.771,11,37.2,48.2,26,8.6,5.9,13.3,18,111.1
"16",16,"Chicago Bulls",79,240.6,41.2,87.4,0.472,11.6,31.8,0.363,29.7,55.6,0.533,17.6,22.1,0.796,9.4,34.1,43.4,24.8,7.1,4.9,13.1,18.1,111.6
"17",17,"Washington Wizards",79,241.9,41.2,88.8,0.463,11.3,31.6,0.357,29.9,57.3,0.522,18.1,22.5,0.807,10.3,34,44.3,23.5,7.2,4.2,11.8,20,111.7
"18",18,"Milwaukee Bucks",79,240.9,41.3,90.6,0.456,14.4,40.4,0.356,26.9,50.2,0.536,14.9,19.9,0.749,9.9,34.1,44.1,25.6,7.4,4.3,13,19.6,111.9
"19",19,"Detroit Pistons",79,241.3,40.4,85.8,0.471,11.8,32.6,0.363,28.6,53.3,0.536,19.4,25,0.774,10.4,35.9,46.3,25.1,7.3,5.3,14.8,19.7,112
"20",20,"Orlando Magic",80,241.3,40.7,88.9,0.458,13.1,36.2,0.363,27.6,52.7,0.523,17.5,22.6,0.773,10.4,36.6,47,24.8,8,5.2,13.2,18.4,112.1
"21",21,"Brooklyn Nets",79,240.9,40.8,90.2,0.452,12.5,36.2,0.344,28.3,54,0.524,18.2,22.9,0.793,11.3,33.1,44.5,23.8,7.9,4.9,13.4,19.7,112.2
"22",22,"Atlanta Hawks",79,240.3,41.9,89.2,0.47,12.8,35.2,0.364,29.1,54,0.539,15.8,19.9,0.792,10.4,33.7,44.1,25.5,7.1,4.5,12.7,20.4,112.5
"23",23,"San Antonio Spurs",79,241.6,42.6,91.3,0.466,11.9,33.4,0.358,30.6,57.9,0.528,15.7,20.6,0.766,11.4,35.4,46.8,23.9,7.3,5,13.8,18.8,112.8
"24",24,"Minnesota Timberwolves",80,241.3,40.1,87.4,0.459,13.1,37.7,0.349,27,49.7,0.543,19.7,25.2,0.781,11,34.9,45.9,26.2,7.2,4.9,16.3,20.9,113.1
"25",25,"Indiana Pacers",80,242.5,42.3,88,0.48,12.1,32.4,0.373,30.2,55.7,0.543,17.8,22.4,0.796,10.1,32.9,43,24.9,8.1,4.9,13.1,19.2,114.5
"26",26,"Los Angeles Lakers",79,243.5,42.4,90.4,0.469,12.6,35.8,0.352,29.8,54.6,0.546,17.4,23.4,0.745,11.1,35.6,46.7,26.1,8.3,4.1,14,19.8,114.8
"27",27,"Portland Trail Blazers",79,240.6,41.1,86,0.479,13.8,37.1,0.371,27.4,48.9,0.56,18.8,24.2,0.776,9.5,34.9,44.4,26.6,8.1,5,14,19.5,114.8
"28",28,"Charlotte Hornets",79,242.5,42,90.1,0.466,14.1,38.9,0.362,27.9,51.2,0.546,17,22.2,0.765,11.4,35.9,47.3,26.5,7.5,4.7,15.1,19.7,115.1
"29",29,"Sacramento Kings",80,241.6,43.5,90.5,0.48,12.9,34.7,0.371,30.6,55.8,0.548,16,20.7,0.777,10.5,35.3,45.7,25.3,8.2,4.8,13.5,20.2,115.8
"30",30,"Houston Rockets",80,240.9,43.4,89.9,0.483,12.8,36.2,0.352,30.7,53.7,0.572,18.5,23.7,0.78,11.1,34.6,45.7,25.7,9.5,5.8,14.2,22.2,118.1
"31",NA,"League Average",79,241.4,40.6,88.1,0.46,12.4,35.2,0.353,28.2,52.9,0.532,16.9,21.8,0.774,10.3,34.2,44.5,24.6,7.6,4.7,13.8,19.6,110.4
