"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","54","12960",".465","14.8",NA,".593",".257",".155",".097",".084",".407",NA,".537",".683",".419",".460",".397",".360",NA,".515",".841",NA,".060","252",NA,".251","682",NA,".239",".374"
"3","2","Boston Celtics","56","13640",".432","15.4",NA,".603",".191",".214",".102",".097",".397",NA,".492",".704",".397",".394",".388",".339",NA,".462",".798",NA,".046","211",NA,".259","658",NA,".212",".361"
"4","3","Brooklyn Nets","55","13250",".449","14.2",NA,".600",".266",".164",".092",".078",".400",NA,".527",".670",".405",".426",".415",".332",NA,".501",".788",NA,".053","230",NA,".276","767",NA,".239",".344"
"5","4","Chicago Bulls","55","13225",".466","13.5",NA,".633",".287",".175",".093",".077",".367",NA,".525",".669",".410",".399",".401",".365",NA,".519",".829",NA,".056","244",NA,".287","765",NA,".228",".426"
"6","5","Charlotte Hornets","56","13540",".465","14.7",NA,".564",".254",".170",".081",".059",".436",NA,".544",".686",".434",".410",".440",".361",NA,".518",".824",NA,".069","297",NA,".256","711",NA,".260",".381"
"7","6","Cleveland Cavaliers","55","13200",".439","13.8",NA,".617",".294",".159",".090",".074",".383",NA,".504",".602",".419",".417",".406",".334",NA,".509",".816",NA,".058","239",NA,".274","690",NA,".254",".350"
"8","7","Dallas Mavericks","56","13515",".453","13.9",NA,".625",".237",".202",".111",".075",".375",NA,".524",".692",".436",".434",".362",".335",NA,".518",".833",NA,".056","226",NA,".254","696",NA,".256",".373"
"9","8","Denver Nuggets","54","13010",".466","14.3",NA,".602",".222",".214",".098",".068",".398",NA,".549",".731",".467",".444",".362",".341",NA,".522",".823",NA,".058","244",NA,".262","721",NA,".239",".375"
"10","9","Detroit Pistons","55","13250",".473","13.8",NA,".617",".250",".214",".085",".067",".383",NA,".534",".666",".462",".418",".420",".374",NA,".539",".822",NA,".061","260",NA,".280","735",NA,".256",".419"
"11","10","Golden State Warriors","56","13490",".429","14.9",NA,".580",".176",".256",".085",".063",".420",NA,".501",".681",".442",".415",".352",".331",NA,".491",".829",NA,".046","207",NA,".271","700",NA,".241",".385"
"12","11","Houston Rockets","55","13225",".480","14.3",NA,".583",".276",".163",".081",".063",".417",NA,".572",".704",".456",".469",".431",".352",NA,".495",".801",NA,".071","306",NA,".262","753",NA,".239",".383"
"13","12","Indiana Pacers","56","13590",".470","13.7",NA,".641",".250",".204",".109",".077",".359",NA,".534",".674",".454",".440",".425",".357",NA,".493",".782",NA,".061","263",NA,".276","746",NA,".220",".386"
"14","13","Los Angeles Clippers","57","13730",".447","13.7",NA,".624",".255",".206",".102",".060",".376",NA,".514",".655",".424",".420",".381",".336",NA,".504",".803",NA,".052","244",NA,".281","779",NA,".224",".335"
"15","14","Los Angeles Lakers","56","13665",".456","14.1",NA,".596",".267",".183",".086",".061",".404",NA,".532",".703",".401",".391",".369",".345",NA,".533",".840",NA,".062","281",NA,".270","779",NA,".200",".365"
"16","15","Memphis Grizzlies","57","13755",".452","14.2",NA,".600",".268",".167",".100",".064",".400",NA,".516",".656",".386",".433",".406",".355",NA,".548",".823",NA,".063","276",NA,".264","705",NA,".172",".393"
"17","16","Miami Heat","56","13565",".443","15.5",NA,".538",".212",".174",".093",".059",".462",NA,".527",".695",".437",".409",".375",".344",NA,".507",".841",NA,".046","187",NA,".234","625",NA,".268",".373"
"18","17","Milwaukee Bucks","57","13730",".446","15.6",NA,".544",".219",".167",".089",".068",".456",NA,".534",".690",".437",".423",".417",".341",NA,".515",".828",NA,".046","212",NA,".246","710",NA,".212",".360"
"19","18","Minnesota Timberwolves","55","13275",".454","14.5",NA,".565",".255",".166",".082",".062",".435",NA,".534",".688",".413",".388",".424",".349",NA,".564",".843",NA,".068","293",NA,".266","685",NA,".288",".385"
"20","19","New Orleans Pelicans","55","13250",".466","14.8",NA,".587",".229",".174",".103",".081",".413",NA,".538",".689",".457",".461",".379",".365",NA,".506",".818",NA,".044","189",NA,".251","678",NA,".223",".425"
"21","20","New York Knicks","56","13515",".443","14.8",NA,".563",".260",".142",".087",".074",".437",NA,".519",".656",".403",".445",".347",".345",NA,".530",".846",NA,".055","242",NA,".262","679",NA,".241",".361"
"22","21","Oklahoma City Thunder","54","13010",".448","15.0",NA,".570",".203",".213",".086",".069",".430",NA,".527",".679",".460",".459",".369",".344",NA,".519",".848",NA,".054","211",NA,".266","705",NA,".252",".393"
"23","22","Orlando Magic","56","13465",".458","14.6",NA,".600",".222",".192",".101",".086",".400",NA,".523",".647",".458",".452",".431",".361",NA,".502",".838",NA,".052","236",NA,".256","677",NA,".234",".384"
"24","23","Philadelphia 76ers","54","13060",".450","14.0",NA,".621",".251",".189",".110",".071",".379",NA,".519",".688",".397",".391",".446",".338",NA,".507",".802",NA,".061","255",NA,".261","675",NA,".207",".370"
"25","24","Phoenix Suns","55","13225",".441","14.6",NA,".615",".199",".229",".102",".086",".385",NA,".508",".672",".455",".424",".368",".334",NA,".479",".778",NA,".041","179",NA,".263","708",NA,".192",".354"
"26","25","Portland Trail Blazers","56","13465",".475","14.5",NA,".573",".265",".163",".082",".063",".427",NA,".550",".680",".459",".395",".443",".374",NA,".539",".839",NA,".056","243",NA,".254","723",NA,".287",".411"
"27","26","Sacramento Kings","57","13755",".474","13.8",NA,".623",".251",".209",".092",".071",".377",NA,".542",".707",".434",".423",".436",".362",NA,".481",".806",NA,".059","280",NA,".283","825",NA,".212",".394"
"28","27","San Antonio Spurs","55","13275",".464","13.4",NA,".639",".271",".204",".093",".071",".361",NA,".526",".650",".427",".441",".449",".354",NA,".466",".814",NA,".060","256",NA,".307","807",NA,".195",".414"
"29","28","Toronto Raptors","54","13085",".459","14.4",NA,".587",".236",".200",".093",".059",".413",NA,".533",".705",".409",".443",".409",".354",NA,".531",".868",NA,".059","233",NA,".267","678",NA,".302",".375"
"30","29","Utah Jazz","55","13200",".451","14.5",NA,".620",".197",".218",".120",".085",".380",NA,".517",".696",".439",".441",".407",".343",NA,".481",".777",NA,".046","201",NA,".249","695",NA,".200",".368"
"31","30","Washington Wizards","54","13060",".456","14.1",NA,".651",".198",".249",".118",".086",".349",NA,".512",".703",".438",".429",".404",".353",NA,".481",".803",NA,".057","230",NA,".264","700",NA,".190",".369"
"32","","League Average","55","13366",".456","14.4",NA,".599",".241",".191",".095",".072",".401",NA,".527",".679",".432",".427",".402",".349",NA,".509",".821",NA,".056","241",NA,".265","715",NA,".233",".380"
