"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Minnesota Timberwolves",81,241.2,41.5,91,0.457,14.8,41.4,0.358,26.7,49.5,0.54,18,23.1,0.778,11.3,33,44.3,25.6,8.8,5.6,14.3,21.8,115.9
"2",2,"Memphis Grizzlies",81,241.2,43.6,94.3,0.462,11.5,32.5,0.353,32.1,61.8,0.52,17,23.1,0.735,14.1,35.1,49.2,26,9.7,6.5,13.2,19.8,115.7
"3",3,"Milwaukee Bucks",81,240.9,41.9,89.4,0.468,14.1,38.5,0.366,27.8,50.9,0.546,17.7,22.8,0.776,10.3,36.5,46.8,23.9,7.6,4,13.4,18.3,115.5
"4",4,"Charlotte Hornets",81,242.5,42.7,91.5,0.467,13.9,38.2,0.363,28.8,53.2,0.542,15.9,21.5,0.741,10.8,33.7,44.5,28,8.7,4.9,13.2,19.9,115.2
"5",5,"Phoenix Suns",81,240.6,43.7,90,0.486,11.6,31.7,0.365,32.1,58.2,0.552,16,20,0.798,9.7,35.6,45.2,27.4,8.6,4.3,13,19.9,114.9
"6",6,"Atlanta Hawks",81,240.3,41.4,88.3,0.469,12.8,34.4,0.372,28.7,54,0.531,18.1,22.3,0.812,10,33.9,43.9,24.5,7.2,4.2,11.8,18.7,113.7
"7",7,"Utah Jazz",81,240.6,40.6,86.2,0.471,14.6,40.4,0.362,26,45.8,0.567,17.8,23.2,0.768,10.7,35.4,46.2,22.4,7.2,4.9,14,18.9,113.6
"8",8,"San Antonio Spurs",81,241.5,43.2,92.7,0.466,11.3,32,0.352,32,60.7,0.527,15.3,20.4,0.751,11,34.4,45.4,27.9,7.5,4.9,12.8,18.1,113.1
"9",9,"Brooklyn Nets",81,240.9,41.9,88.5,0.473,11.5,31.9,0.361,30.3,56.7,0.536,17.4,21.7,0.804,10.3,34,44.3,25.2,7.1,5.5,14,20.4,112.6
"10",10,"Denver Nuggets",81,241.2,41.6,86.2,0.482,12.6,35.8,0.353,28.9,50.4,0.574,16.6,20.9,0.796,9.1,35,44.1,27.7,7.2,3.7,14.5,19.8,112.4
"11",11,"Los Angeles Lakers",81,243.4,41.6,88.7,0.469,11.9,34.4,0.347,29.7,54.3,0.546,16.5,22.7,0.728,9.5,34.4,43.9,24,7.7,5.2,14.5,20.1,111.7
"12",12,"Chicago Bulls",81,240.6,41.7,87,0.48,10.6,28.9,0.368,31.1,58,0.535,17.4,21.4,0.814,8.6,33.7,42.3,23.9,7.1,4.1,12.7,18.7,111.5
"13",13,"Boston Celtics",81,242.8,40.6,87.3,0.465,13.2,37,0.356,27.4,50.3,0.545,17.1,21,0.814,10.5,35.5,46,24.7,7.2,5.9,13.6,18.5,111.4
"14",14,"Indiana Pacers",81,242.5,41.4,89.3,0.463,12.1,35.2,0.343,29.3,54.1,0.542,16.5,21.4,0.769,11.3,32.7,44,25.3,7,5.6,14.5,20.4,111.3
"15",15,"Golden State Warriors",81,240.6,40.4,86.5,0.467,14.3,39.5,0.362,26.1,47,0.556,15.7,20.4,0.768,9.8,35.8,45.5,27,8.8,4.6,14.9,21.1,110.8
"16",16,"Sacramento Kings",81,241.5,40.5,88.2,0.459,11.4,33.3,0.342,29.1,55,0.53,17.8,23.2,0.769,9.7,33.3,43,23.7,7.1,4.5,14.1,18.9,110.2
"17",17,"Miami Heat",81,242.2,39.6,84.7,0.467,13.5,35.6,0.379,26.1,49.1,0.531,17.3,21.4,0.808,9.8,33.8,43.7,25.6,7.4,3.2,14.6,20.6,110
"18",18,"Philadelphia 76ers",81,241.5,39.3,84.5,0.465,11.7,31.9,0.366,27.6,52.6,0.525,19.6,23.9,0.82,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.3,109.8
"19",19,"Houston Rockets",81,240.9,39.4,86.3,0.456,13.4,38.6,0.348,25.9,47.8,0.543,17.5,24.6,0.713,9.6,32.5,42.1,23.6,7.4,4.7,16.6,20.7,109.7
"20",20,"Toronto Raptors",81,242.2,40.7,91.3,0.446,11.9,34.1,0.35,28.8,57.2,0.503,16.3,21.5,0.758,13.4,32,45.4,22,9,4.6,12.4,19.6,109.6
"21",21,"New Orleans Pelicans",81,240.9,40.1,87.8,0.457,10.6,32,0.332,29.5,55.9,0.529,18.4,23.3,0.789,11.9,33.4,45.2,25,8.3,4,14.1,19.7,109.3
"22",22,"Washington Wizards",81,241.9,40.6,86,0.472,10.5,30.7,0.342,30,55.2,0.544,17,21.6,0.786,8.9,34.2,43.1,25,6.3,5,13.2,18.9,108.6
"23",23,"Los Angeles Clippers",81,241.2,39.9,87.3,0.457,12.7,34.2,0.372,27.2,53.2,0.511,15.6,19.7,0.792,9.1,34.8,43.8,23.9,7.5,4.9,13.8,18.7,108
"24",24,"Dallas Mavericks",81,240.9,39.2,85.1,0.46,13,37.4,0.348,26.2,47.8,0.549,16.3,21.2,0.771,9.2,33.8,43,23.3,6.8,4,12.5,19.7,107.8
"25",25,"Cleveland Cavaliers",81,240.6,39.6,84.5,0.468,11.5,32.7,0.353,28,51.8,0.541,16.8,22.1,0.761,10.2,33.9,44.1,25,7.1,4.2,14.4,17.4,107.5
"26",26,"Portland Trail Blazers",81,240.6,38.6,87.2,0.443,12.8,36.8,0.347,25.9,50.3,0.514,16.5,21.7,0.76,10.5,32.5,43,23,8,4.4,14.5,21,106.6
"27",27,"New York Knicks",81,241.2,37.6,86.2,0.437,13.2,36.9,0.357,24.5,49.3,0.496,18.1,24.3,0.743,11.5,34.6,46.1,21.7,7,4.9,13.2,20.4,106.5
"28",28,"Detroit Pistons",81,241.2,38.2,88.7,0.43,11.3,34.6,0.326,26.9,54.1,0.497,17.2,21.9,0.784,10.9,32.1,43,23.4,7.7,4.8,14.1,22,104.8
"29",29,"Orlando Magic",81,241.2,38.2,88.3,0.433,12,36.6,0.329,26.1,51.7,0.506,15.5,19.8,0.786,9.1,35.1,44.2,23.6,6.8,4.5,14.5,19.7,104
"30",30,"Oklahoma City Thunder",81,241.5,38.3,89,0.43,12.1,37.4,0.324,26.2,51.6,0.508,15.2,20,0.757,10.4,35.3,45.7,22.3,7.6,4.7,14,18.3,103.9
"31",NA,"League Average",81,241.4,40.6,88.1,0.461,12.4,35.2,0.353,28.2,52.9,0.532,16.9,21.9,0.774,10.3,34.1,44.5,24.6,7.6,4.7,13.8,19.6,110.5
