"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Charlotte Hornets",58,241.7,42.2,92.1,0.458,13.8,38.5,0.36,28.4,53.6,0.529,15.6,21.1,0.737,10.9,33.8,44.6,27.1,8.7,4.8,13.3,19.7,113.8
"2",2,"Phoenix Suns",56,240.4,43.2,89.8,0.481,11.4,31.6,0.361,31.8,58.2,0.546,15.9,20.1,0.792,10.1,36,46.2,27,8.5,4.2,12.9,19.3,113.7
"3",3,"Utah Jazz",56,240,40.6,86.1,0.472,14.5,40.4,0.36,26.1,45.7,0.57,17.8,22.9,0.78,10.2,35.8,46.1,22.2,7.1,4.9,14.3,18.8,113.6
"4",4,"Memphis Grizzlies",58,241.3,42.9,93.6,0.459,11.1,32.6,0.341,31.8,61,0.522,16.6,22.6,0.734,13.8,35.2,49,25.4,10.1,6.4,13.4,19.3,113.6
"5",5,"Minnesota Timberwolves",56,241.3,41.1,91.8,0.448,14.5,41.4,0.349,26.6,50.4,0.529,16.4,21.4,0.766,12,32.8,44.8,25.1,8.7,5.8,14.4,21.6,113.1
"6",6,"Milwaukee Bucks",57,240.9,40.9,89,0.46,14.2,39.3,0.363,26.7,49.7,0.536,16.8,21.7,0.777,10.3,36.3,46.5,23.4,7.7,4.2,13.7,18,112.9
"7",7,"Chicago Bulls",57,240.4,41.9,87,0.482,11.2,29.9,0.375,30.7,57,0.538,17.2,21.2,0.814,8.8,34.3,43.1,24.5,7.1,4.5,13,18.6,112.3
"8",8,"Atlanta Hawks",55,240,41.1,87.8,0.468,12.5,33.5,0.375,28.5,54.3,0.525,17.3,21.6,0.803,9.9,34.5,44.4,24.5,6.9,4.4,12.4,18.4,112
"9",9,"San Antonio Spurs",57,241.3,43.4,93.1,0.466,11.2,31.6,0.356,32.2,61.5,0.523,13.7,18.5,0.742,11.1,34.3,45.4,28,7.8,5.1,12.6,17.9,111.8
"10",10,"Los Angeles Lakers",57,243.9,41.4,88.9,0.466,12,34.4,0.35,29.4,54.5,0.539,16.1,22.3,0.722,9.6,35.2,44.8,24.2,8,5.6,14.7,20.1,111
"11",11,"Brooklyn Nets",56,240.9,41.4,88.6,0.468,11.2,31.9,0.351,30.3,56.7,0.534,16.9,20.9,0.81,10.2,34.5,44.7,25,7.1,5.4,13.8,19.9,110.9
"12",12,"Golden State Warriors",57,240.9,40.2,86.4,0.466,14.6,40.2,0.362,25.7,46.2,0.556,15.6,20.4,0.765,9.8,36.3,46.1,27.3,9.3,4.8,15.3,20.4,110.6
"13",13,"Sacramento Kings",58,241.3,40.7,88.9,0.458,11.7,33.8,0.346,29,55.2,0.526,17.1,22.4,0.762,10.2,33.6,43.8,23.5,7.2,4.6,14.1,19.2,110.2
"14",14,"Denver Nuggets",56,240.9,40.9,86.5,0.473,12.9,36.5,0.353,28,50,0.56,14.9,19,0.786,9.1,34.6,43.7,27.1,7.2,3.7,14.1,19.3,109.6
"15",15,"Toronto Raptors",55,242.3,40.5,91,0.445,12.5,35,0.357,28,56,0.5,15.6,20.7,0.757,13.1,31.7,44.8,22.2,9.3,4.8,12.9,19.9,109.1
"16",16,"Miami Heat",57,242.2,39.4,85.4,0.462,13.5,35.8,0.376,25.9,49.6,0.524,16.7,20.5,0.815,10.7,33.9,44.6,25.8,7.6,3.2,14.9,20.5,109.1
"17",17,"Indiana Pacers",57,242.6,40.5,88.9,0.455,11.8,35.2,0.335,28.7,53.7,0.534,16.1,21,0.769,11,33.5,44.5,24.2,6.9,5.5,14.5,20.5,108.9
"18",18,"Boston Celtics",57,243.5,39.6,87.8,0.451,12.4,36.5,0.339,27.2,51.3,0.53,16.9,20.8,0.814,10.9,35.8,46.7,23.5,7.4,6,14.1,18.7,108.4
"19",19,"Houston Rockets",55,240.5,38.6,85.5,0.451,13.3,38.6,0.345,25.3,47,0.539,17.8,25,0.714,9.7,32.8,42.5,22.9,7.3,4.7,17.1,20.1,108.3
"20",20,"Portland Trail Blazers",57,240.4,38.9,86.9,0.448,13.5,38,0.354,25.5,48.9,0.52,16.4,21.5,0.762,10.2,33.7,43.9,22.8,7.6,4.6,13.9,19.9,107.7
"21",21,"Philadelphia 76ers",56,241.8,39.6,85.2,0.464,10.9,30.6,0.357,28.6,54.5,0.525,17.6,21.7,0.811,8.5,33.8,42.3,23.2,7.7,5.7,12.5,19.1,107.6
"22",22,"Washington Wizards",55,241.8,39.8,86,0.463,10,31,0.323,29.8,55,0.542,17.2,22.1,0.78,9.2,34.7,43.9,24,6.2,4.9,13.2,18.8,106.9
"23",23,"Cleveland Cavaliers",57,240,39.5,84.9,0.466,11.6,33.1,0.352,27.9,51.8,0.538,15.8,21,0.754,10.3,34.7,45,25.2,7.2,4.3,14.9,16.8,106.5
"24",24,"Dallas Mavericks",57,241.3,39.1,86.1,0.454,12.5,36.8,0.339,26.6,49.3,0.54,15.7,20.4,0.77,9.5,34.4,43.8,23.7,7.1,4,12.7,19.7,106.3
"25",25,"Los Angeles Clippers",58,240.9,39.4,87.2,0.452,12.3,34.2,0.36,27.1,53,0.511,15.1,19.3,0.785,8.9,34.9,43.7,23.4,7.5,4.5,14.2,18.8,106.2
"26",26,"New Orleans Pelicans",56,240.9,38.6,87.2,0.443,10.7,32.9,0.327,27.9,54.3,0.514,17.8,22.4,0.794,11.5,33.6,45.1,24.6,7.6,4.2,14.4,19.7,105.8
