"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","76","18265",".472","14.5",NA,".604",".260",".161",".101",".082",".396",NA,".541",".689",".424",".460",".400",".366",NA,".513",".843",NA,".059","354",NA,".259","1004",NA,".232",".386"
"3","2","Boston Celtics","77","18705",".433","15.3",NA,".602",".185",".223",".100",".094",".398",NA,".496",".703",".409",".409",".386",".337",NA,".463",".789",NA,".047","294",NA,".255","888",NA,".216",".355"
"4","3","Brooklyn Nets","76","18290",".453","14.2",NA,".600",".256",".175",".094",".075",".400",NA,".524",".680",".398",".429",".403",".347",NA,".503",".783",NA,".056","340",NA,".268","997",NA,".240",".369"
"5","4","Chicago Bulls","76","18265",".470","13.3",NA,".638",".297",".172",".091",".077",".362",NA,".531",".671",".416",".406",".404",".361",NA,".511",".828",NA,".057","347",NA,".290","1078",NA,".231",".417"
"6","5","Charlotte Hornets","77","18680",".463","14.4",NA,".570",".264",".172",".076",".058",".430",NA,".544",".684",".429",".405",".428",".357",NA,".530",".830",NA,".069","410",NA,".265","1014",NA,".277",".368"
"7","6","Cleveland Cavaliers","76","18290",".452","13.7",NA,".619",".297",".160",".091",".071",".381",NA,".516",".626",".415",".426",".398",".348",NA,".517",".826",NA,".061","354",NA,".268","958",NA,".269",".368"
"8","7","Dallas Mavericks","77","18555",".457","13.9",NA,".624",".240",".207",".105",".071",".376",NA,".529",".698",".444",".431",".348",".338",NA,".514",".819",NA,".058","333",NA,".257","973",NA,".248",".375"
"9","8","Denver Nuggets","77","18580",".468","14.3",NA,".606",".224",".216",".097",".069",".394",NA,".550",".725",".470",".452",".371",".342",NA,".530",".828",NA,".058","356",NA,".262","1034",NA,".237",".369"
"10","9","Detroit Pistons","76","18340",".471","13.8",NA,".621",".256",".214",".079",".072",".379",NA,".536",".666",".467",".439",".383",".366",NA,".532",".821",NA,".063","360",NA,".281","1021",NA,".250",".420"
"11","10","Golden State Warriors","77","18530",".440","14.8",NA,".585",".176",".256",".090",".063",".415",NA,".509",".692",".454",".427",".340",".342",NA,".492",".850",NA,".046","283",NA,".267","969",NA,".243",".400"
"12","11","Houston Rockets","77","18555",".482","14.0",NA,".597",".275",".175",".085",".062",".403",NA,".571",".711",".460",".461",".409",".349",NA,".502",".802",NA,".074","459",NA,".269","1097",NA,".241",".373"
"13","12","Indiana Pacers","77","18680",".480","13.6",NA,".635",".262",".203",".099",".071",".365",NA,".544",".686",".457",".434",".427",".367",NA,".499",".803",NA,".065","385",NA,".280","1081",NA,".225",".392"
"14","13","Los Angeles Clippers","76","18315",".451","13.7",NA,".622",".250",".212",".102",".059",".378",NA,".514",".658",".425",".423",".381",".346",NA,".505",".804",NA,".058","346",NA,".273","991",NA,".220",".359"
"15","14","Los Angeles Lakers","75","18275",".467","14.0",NA,".604",".264",".189",".086",".065",".396",NA,".542",".708",".424",".405",".389",".352",NA,".517",".838",NA,".062","373",NA,".274","1061",NA,".205",".373"
"16","15","Memphis Grizzlies","77","18555",".452","13.9",NA,".611",".276",".171",".098",".067",".389",NA,".517",".645",".400",".433",".405",".350",NA,".534",".823",NA,".063","370",NA,".273","996",NA,".173",".393"
"17","16","Miami Heat","77","18655",".445","15.3",NA,".545",".219",".173",".095",".059",".455",NA,".533",".697",".437",".416",".391",".341",NA,".509",".830",NA,".046","270",NA,".238","880",NA,".267",".375"
"18","17","Milwaukee Bucks","75","18050",".453","15.6",NA,".553",".213",".167",".101",".071",".447",NA,".535",".697",".435",".438",".423",".352",NA,".511",".826",NA,".046","277",NA,".237","910",NA,".206",".356"
"19","18","Minnesota Timberwolves","77","18580",".456","14.4",NA,".567",".256",".167",".084",".060",".433",NA,".538",".699",".405",".394",".423",".347",NA,".557",".843",NA,".066","400",NA,".268","990",NA,".288",".376"
"20","19","New Orleans Pelicans","76","18315",".467","14.8",NA,".584",".231",".174",".100",".079",".416",NA,".544",".703",".455",".447",".395",".359",NA,".513",".814",NA,".047","280",NA,".252","956",NA,".227",".402"
"21","20","New York Knicks","77","18580",".448","14.7",NA,".571",".261",".148",".088",".073",".429",NA,".526",".664",".423",".442",".346",".343",NA,".525",".837",NA,".054","328",NA,".262","960",NA,".235",".351"
"22","21","Oklahoma City Thunder","76","18365",".456","14.9",NA,".572",".197",".228",".080",".067",".428",NA,".533",".677",".482",".462",".366",".353",NA,".520",".852",NA,".056","322",NA,".273","1034",NA,".262",".405"
"23","22","Orlando Magic","77","18580",".458","14.7",NA,".595",".211",".201",".100",".082",".405",NA,".522",".654",".463",".442",".425",".363",NA,".509",".820",NA,".054","344",NA,".253","924",NA,".221",".396"
"24","23","Philadelphia 76ers","75","18125",".456","14.0",NA,".621",".253",".184",".110",".073",".379",NA,".525",".698",".391",".409",".437",".344",NA,".508",".787",NA,".062","363",NA,".257","929",NA,".208",".378"
"25","24","Phoenix Suns","76","18290",".443","14.6",NA,".612",".198",".230",".098",".087",".388",NA,".509",".672",".454",".435",".370",".338",NA,".491",".787",NA,".043","261",NA,".264","977",NA,".196",".359"
"26","25","Portland Trail Blazers","76","18290",".478","14.4",NA,".569",".272",".162",".077",".057",".431",NA,".558",".689",".456",".409",".428",".372",NA,".552",".844",NA,".062","362",NA,".260","998",NA,".284",".404"
"27","26","Sacramento Kings","77","18605",".480","13.9",NA,".617",".248",".207",".091",".071",".383",NA,".549",".712",".442",".431",".443",".369",NA,".484",".807",NA,".059","369",NA,".282","1128",NA,".225",".399"
"28","27","San Antonio Spurs","76","18365",".468","13.5",NA,".637",".265",".208",".094",".069",".363",NA,".530",".654",".435",".447",".454",".359",NA,".465",".804",NA,".057","341",NA,".307","1126",NA,".197",".403"
"29","28","Toronto Raptors","76","18415",".461","14.3",NA,".589",".244",".196",".088",".061",".411",NA,".537",".696",".417",".440",".429",".351",NA,".541",".874",NA,".061","346",NA,".267","951",NA,".308",".374"
"30","29","Utah Jazz","76","18265",".454","14.6",NA,".610",".196",".217",".116",".081",".390",NA,".521",".704",".435",".441",".420",".349",NA,".489",".774",NA,".048","289",NA,".244","935",NA,".210",".368"
"31","30","Washington Wizards","76","18390",".462","14.1",NA,".649",".199",".249",".112",".088",".351",NA,".519",".696",".457",".437",".401",".355",NA,".482",".802",NA,".057","324",NA,".270","1000",NA,".204",".375"
"32","","League Average","76","18425",".460","14.3",NA,".601",".242",".194",".094",".071",".399",NA,".531",".684",".438",".431",".401",".352",NA,".510",".820",NA,".057","341",NA,".266","995",NA,".236",".381"
