"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Boston Celtics",76,243,38.1,88.2,0.432,11.8,35,0.336,26.3,53.1,0.495,16,20.4,0.784,10.5,33.5,44,21.4,7.4,4.6,13.8,19.3,104
"2",2,"Dallas Mavericks",75,241,38.9,85.2,0.456,10.8,32,0.338,28.1,53.2,0.528,15.5,20.5,0.758,9.5,34.5,44.1,23.3,6.9,3.7,13.3,20.1,104.1
"3",3,"Cleveland Cavaliers",75,240.7,39.4,87.2,0.451,11.5,33.1,0.348,27.9,54.1,0.514,14.4,18.7,0.769,10.5,32.3,42.9,23.9,8.6,4.5,13.7,20.1,104.6
"4",4,"Miami Heat",76,242.3,37.4,83.8,0.446,13,38.1,0.341,24.3,45.7,0.533,17.4,22.5,0.776,9.6,32.2,41.8,23.1,7.4,4.2,15.1,20.6,105.2
"5",5,"Golden State Warriors",76,240.7,38.1,86.5,0.44,12.3,36,0.343,25.7,50.5,0.51,17.2,22.7,0.757,9.6,33.1,42.7,23.2,7.9,4,14.6,18,105.7
"6",6,"Philadelphia 76ers",74,241.7,39.5,86.7,0.455,11.3,32.8,0.343,28.2,53.9,0.524,16.4,21.3,0.771,10.3,34.3,44.6,23.2,6.4,4.6,13.1,19.4,106.6
"7",7,"New York Knicks",76,241.3,38.4,86.1,0.446,12.7,36.9,0.343,25.7,49.1,0.524,17.3,22.6,0.764,9.5,34.3,43.8,24,7,4.7,12.6,20.4,106.8
"8",8,"Phoenix Suns",75,240.7,39.3,88.6,0.443,11.6,34.3,0.338,27.7,54.3,0.51,16.7,22,0.759,10.6,33.6,44.1,22.6,7.5,3.9,14.6,19,106.9
"9",9,"Toronto Raptors",75,242.3,39,84.4,0.462,12.2,34.7,0.351,26.7,49.7,0.539,17,21.5,0.79,10.4,33.7,44.1,25.1,6.7,5.1,15.7,19.1,107.1
"10",10,"Utah Jazz",75,240.3,40.5,89.4,0.453,12.1,34.8,0.348,28.4,54.6,0.52,14.5,19.2,0.755,10,31.8,41.8,23.3,7.7,4.3,12,19.9,107.6
"11",11,"Los Angeles Clippers",75,241,40.6,90.4,0.45,11.8,34.1,0.346,28.8,56.2,0.513,15.2,19.4,0.785,11.9,35.4,47.3,24.1,7.7,4.2,13.6,18.5,108.3
"12",12,"Memphis Grizzlies",76,241,40,88.6,0.451,12,34.5,0.349,27.9,54.1,0.516,17.2,22.2,0.773,10.1,32.8,42.9,24.8,7.1,6.3,14.9,19.8,109.1
"13",13,"Denver Nuggets",76,241.3,40.8,87.1,0.468,11.8,34.3,0.343,29,52.8,0.55,16,21.2,0.753,9.6,32.8,42.5,25.1,7.9,4.8,12.9,19.8,109.4
"14",14,"New Orleans Pelicans",75,241,40,85.7,0.467,12.8,35.6,0.359,27.2,50.1,0.543,17,21.6,0.784,9.3,32.7,42,24.3,7.4,4.8,13.9,20.3,109.8
"15",15,"Chicago Bulls",75,240.3,41.1,87.6,0.469,11.5,31.7,0.362,29.6,55.8,0.531,17.4,22,0.793,9.5,34,43.5,24.6,7.1,4.9,13.1,17.9,111.1
"16",16,"Oklahoma City Thunder",75,241.7,41.2,90.7,0.455,13.7,38.8,0.352,27.6,51.9,0.532,15,19.6,0.767,11.2,37.4,48.7,26,8.4,5.9,13.4,18,111.2
