"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.6","53","14","49","18","7.66","-0.49","7.17","113.9","106.2","+7.7","99.6",".225",".355",".578",NA,".546","11.6","22.1",".179",NA,".505","13.0","77.3",".183",NA,"Phoenix Suns Arena","577,816","16,050"
"3","2","Utah Jazz","29.4","41","25","46","20","6.35","-0.49","5.86","116.3","109.8","+6.5","97.5",".265",".469",".591",NA,".557","12.9","24.8",".206",NA,".517","10.9","77.9",".160",NA,"Vivint Smart Home Arena","604,098","18,306"
"4","3","Golden State Warriors","27.7","45","22","47","20","6.36","-0.17","6.19","112.3","105.9","+6.4","98.7",".235",".460",".582",NA,".552","13.6","22.7",".178",NA,".508","13.5","78.6",".198",NA,"Chase Center","614,176","18,064"
"5","4","Boston Celtics","26.0","41","27","46","22","5.71","-0.59","5.11","112.3","106.4","+5.9","96.6",".241",".417",".567",NA,".529","12.5","24.2",".197",NA,".497","12.5","77.0",".184",NA,"TD Garden","651,304","18,609"
"6","5","Miami Heat","28.1","45","23","44","24","4.79","-0.21","4.59","113.1","108.1","+5.0","95.8",".247",".414",".578",NA,".541","13.4","24.4",".199",NA,".521","14.0","77.9",".205",NA,"FTX Arena","627,968","19,624"
"7","6","Memphis Grizzlies","23.9","46","22","44","24","4.91","-0.41","4.51","113.8","108.9","+4.9","99.9",".248",".345",".548",NA,".518","11.2","29.9",".181",NA,".523","13.3","77.7",".192",NA,"FedEx Forum","525,539","15,457"
"8","7","Milwaukee Bucks","28.4","42","25","42","25","4.10","-0.50","3.60","114.7","110.6","+4.1","99.6",".255",".437",".578",NA,".544","12.0","23.3",".198",NA,".529","11.8","78.3",".165",NA,"Fiserv Forum","625,609","17,378"
"9","8","Cleveland Cavaliers","24.8","38","28","40","26","3.18","-0.08","3.10","111.1","107.8","+3.3","96.3",".255",".390",".569",NA,".535","13.6","24.2",".195",NA,".513","12.6","76.3",".164",NA,"Rocket Mortgage Fieldhouse","564,598","18,213"
"10","9","Dallas Mavericks","26.7","41","26","40","27","3.06","-0.15","2.91","111.3","108.1","+3.2","95.5",".243",".433",".562",NA,".530","11.6","21.4",".185",NA,".520","12.6","78.2",".180",NA,"American Airlines Center","686,931","19,627"
"11","10","Minnesota Timberwolves","24.1","38","30","40","28","2.88","-0.31","2.57","113.3","110.4","+2.9","100.6",".246",".457",".567",NA,".533","12.5","24.8",".189",NA,".528","14.4","74.9",".231",NA,"Target Center","537,196","15,800"
"12","11","Denver Nuggets","27.7","40","27","39","28","2.82","-0.25","2.57","113.1","110.3","+2.8","97.7",".237",".422",".582",NA,".549","13.1","21.5",".187",NA,".533","12.1","78.6",".181",NA,"Ball Arena","526,183","16,443"
"13","12","Philadelphia 76ers","26.6","40","25","37","28","1.95","-0.09","1.87","112.1","110.1","+2.0","96.1",".274",".369",".571",NA,".527","11.6","19.8",".225",NA,".519","12.1","76.4",".189",NA,"Wells Fargo Center","675,823","20,479"
