"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","71","17065",".467","14.8",NA,".617",".248",".161",".114",".094",".383",NA,".528",".672",".426",".452",".414",".370",NA,".534",".728",NA,".061","351",NA,".235","808",NA,".218",".403",NA,"14","1"
"3","2","Boston Celtics","72","17480",".459","15.2",NA,".580",".216",".198",".085",".081",".420",NA,".539",".729",".442",".407",".409",".348",NA,".503",".816",NA,".056","315",NA,".274","981",NA,".230",".381",NA,"10","0"
"4","3","Brooklyn Nets","71","17090",".473","13.9",NA,".642",".250",".167",".130",".095",".358",NA,".537",".654",".438",".483",".479",".358",NA,".539",".767",NA,".050","277",NA,".259","878",NA,".228",".389",NA,"6","0"
"5","4","Chicago Bulls","70","16825",".481","13.9",NA,".665",".258",".148",".130",".129",".335",NA,".537",".677",".452",".448",".441",".372",NA,".479",".848",NA,".050","274",NA,".246","870",NA,".276",".432",NA,"14","1"
"6","5","Charlotte Hornets","71","17240",".462","14.0",NA,".582",".285",".177",".071",".048",".418",NA,".534",".680",".379",".403",".435",".363",NA,".543",".863",NA,".077","443",NA,".286","980",NA,".280",".371",NA,"15","0"
"7","6","Cleveland Cavaliers","71","17090",".467","13.7",NA,".614",".287",".180",".093",".055",".386",NA,".539",".695",".400",".416",".392",".351",NA,".562",".824",NA,".080","431",NA,".243","816",NA,".235",".338",NA,"8","1"
"8","7","Dallas Mavericks","71","17115",".456","15.3",NA,".567",".203",".177",".113",".074",".433",NA,".541",".724",".443",".453",".403",".345",NA,".499",".786",NA,".059","308",NA,".206","731",NA,".256",".392",NA,"12","0"
"9","8","Denver Nuggets","72","17380",".477","14.5",NA,".580",".232",".200",".075",".073",".420",NA,".568",".744",".468",".427",".421",".351",NA,".582",".853",NA,".058","317",NA,".265","980",NA,".260",".380",NA,"22","0"
"10","9","Detroit Pistons","71","17140",".428","14.0",NA,".613",".250",".206",".081",".075",".387",NA,".492",".640",".412",".344",".378",".327",NA,".489",".893",NA,".038","213",NA,".306","1028",NA,".263",".365",NA,"19","0"
