"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.6","53","14","49","18","7.66","-0.49","7.16","113.9","106.2","+7.7","99.6",".225",".355",".578",NA,".546","11.6","22.1",".179",NA,".505","13.0","77.3",".183",NA,"Phoenix Suns Arena","577,816","16,050"
"3","2","Utah Jazz","29.4","42","25","46","21","6.39","-0.56","5.83","116.6","110.0","+6.6","97.5",".266",".469",".592",NA,".558","12.9","24.9",".206",NA,".517","10.8","78.0",".161",NA,"Vivint Smart Home Arena","622,404","18,306"
"4","3","Golden State Warriors","27.7","46","22","47","21","6.46","-0.12","6.34","112.5","106.0","+6.5","98.7",".233",".461",".582",NA,".553","13.5","22.8",".178",NA,".508","13.4","78.7",".197",NA,"Chase Center","632,240","18,064"
"5","4","Boston Celtics","26.0","41","27","46","22","5.71","-0.61","5.10","112.3","106.4","+5.9","96.6",".241",".417",".567",NA,".529","12.5","24.2",".197",NA,".497","12.5","77.0",".184",NA,"TD Garden","651,304","18,609"
"6","5","Memphis Grizzlies","23.9","46","22","44","24","4.91","-0.41","4.50","113.8","108.9","+4.9","99.9",".248",".345",".548",NA,".518","11.2","29.9",".181",NA,".523","13.3","77.7",".192",NA,"FedEx Forum","525,539","15,457"
"7","6","Miami Heat","28.1","45","24","45","24","4.59","-0.18","4.42","112.9","108.1","+4.8","95.9",".247",".416",".577",NA,".540","13.4","24.3",".200",NA,".521","14.0","78.1",".207",NA,"FTX Arena","647,568","19,623"
"8","7","Milwaukee Bucks","28.4","42","26","42","26","3.85","-0.41","3.44","114.6","110.8","+3.8","99.6",".255",".438",".577",NA,".543","11.9","23.2",".197",NA,".530","11.8","78.2",".165",NA,"Fiserv Forum","625,609","17,378"
"9","8","Dallas Mavericks","26.7","41","26","40","27","3.06","-0.15","2.91","111.3","108.1","+3.2","95.5",".243",".433",".562",NA,".530","11.6","21.4",".185",NA,".520","12.6","78.2",".180",NA,"American Airlines Center","686,931","19,627"
"10","9","Cleveland Cavaliers","24.8","38","29","40","27","2.99","-0.06","2.92","110.8","107.7","+3.1","96.3",".254",".389",".567",NA,".534","13.6","24.0",".194",NA,".512","12.6","76.4",".164",NA,"Rocket Mortgage Fieldhouse","564,598","18,213"
"11","10","Minnesota Timberwolves","24.1","39","30","41","28","2.97","-0.24","2.73","113.2","110.3","+2.9","100.6",".247",".458",".567",NA,".533","12.5","24.6",".191",NA,".527","14.4","75.0",".231",NA,"Target Center","537,196","15,800"
"12","11","Denver Nuggets","27.7","40","28","40","28","2.60","-0.22","2.39","113.2","110.6","+2.6","97.7",".238",".421",".583",NA,".550","13.2","21.5",".188",NA,".533","12.0","78.2",".181",NA,"Ball Arena","544,842","16,510"
"13","12","Philadelphia 76ers","26.6","40","25","37","28","1.95","-0.10","1.86","112.1","110.1","+2.0","96.1",".274",".369",".571",NA,".527","11.6","19.8",".225",NA,".519","12.1","76.4",".189",NA,"Wells Fargo Center","675,823","20,479"
"14","13","Chicago Bulls","26.3","41","26","37","30","1.60","-0.49","1.10","113.7","112.1","+1.6","98.6",".242",".334",".583",NA,".546","11.9","20.4",".198",NA,".533","11.9","78.5",".193",NA,"United Center","727,799","20,794"
"15","14","Toronto Raptors","24.7","37","30","37","30","1.42","0.12","1.54","112.2","110.7","+1.5","96.3",".234",".373",".541",NA,".509","11.2","28.1",".176",NA,".536","14.6","75.3",".201",NA,"Scotiabank Arena","369,143","11,536"
"16","15","Atlanta Hawks","26.2","32","34","34","32","0.68","0.27","0.96","115.4","114.7","+0.7","97.3",".251",".383",".577",NA,".539","11.0","22.8",".202",NA,".542","11.3","77.6",".173",NA,"State Farm Arena","533,365","16,163"
"17","16","Charlotte Hornets","25.6","33","35","33","35","-0.34","0.10","-0.24","112.7","113.0","-0.3","100.5",".238",".418",".564",NA,".535","11.6","23.3",".175",NA,".541","13.2","75.0",".189",NA,"Spectrum Center","563,519","17,076"
"18","17","Brooklyn Nets","29.2","34","33","33","34","-0.43","0.12","-0.31","112.2","112.6","-0.4","99.0",".240",".361",".569",NA,".533","12.4","23.3",".192",NA,".521","11.7","75.5",".199",NA,"Barclays Center","532,336","17,172"
"19","18","San Antonio Spurs","24.7","26","42","33","35","-0.46","0.08","-0.37","111.6","112.0","-0.4","100.0",".209",".337",".553",NA,".526","11.1","23.8",".155",NA,".532","12.1","75.1",".173",NA,"AT&T Center","500,321","14,715"
"20","19","Los Angeles Clippers","27.6","35","34","33","36","-0.74","0.04","-0.70","108.4","109.1","-0.7","98.4",".219",".389",".558",NA,".526","12.9","20.4",".172",NA,".511","12.2","74.6",".165",NA,"Crypto.com Arena","565,115","16,621"
"21","20","New York Knicks","26.3","28","39","31","36","-1.06","0.24","-0.82","109.4","110.5","-1.1","96.2",".273",".422",".547",NA,".510","12.3","24.9",".204",NA,".519","11.5","78.6",".198",NA,"Madison Square Garden (IV)","586,775","18,337"
"22","21","Los Angeles Lakers","30.5","29","37","29","37","-2.08","-0.47","-2.55","109.2","111.2","-2.0","100.2",".250",".387",".563",NA,".534","13.0","21.1",".181",NA,".532","12.7","75.8",".189",NA,"Crypto.com Arena","670,415","18,623"
"23","22","New Orleans Pelicans","25.7","27","40","29","38","-2.07","0.39","-1.68","110.5","112.6","-2.1","97.2",".257",".373",".553",NA,".514","12.8","26.0",".202",NA,".540","12.6","78.0",".199",NA,"Smoothie King Center","528,856","15,555"
"24","23","Indiana Pacers","26.4","23","45","29","39","-2.31","0.18","-2.13","111.6","113.9","-2.3","97.8",".240",".394",".560",NA,".527","12.8","25.0",".183",NA,".537","11.6","76.8",".204",NA,"Gainbridge Fieldhouse","481,184","14,152"
"25","24","Washington Wizards","26.0","29","37","27","39","-2.88","0.02","-2.86","110.8","113.8","-3.0","96.8",".254",".359",".565",NA,".529","12.2","21.4",".199",NA,".522","10.7","76.2",".205",NA,"Capital One Arena","511,343","15,040"
"26","25","Sacramento Kings","25.7","24","45","24","45","-5.23","0.18","-5.06","109.9","115.1","-5.2","99.9",".257",".377",".558",NA,".523","12.5","22.1",".196",NA,".549","11.8","76.1",".178",NA,"Golden 1 Center","479,250","13,693"
"27","26","Portland Trail Blazers","26.2","26","40","21","45","-6.26","0.86","-5.40","108.9","115.2","-6.3","98.3",".256",".432",".554",NA,".518","12.6","22.4",".196",NA,".555","12.4","78.4",".209",NA,"Moda Center","599,368","17,125"
"28","27","Orlando Magic","23.4","18","50","19","49","-7.54","0.47","-7.08","104.4","112.0","-7.6","99.3",".228",".413",".538",NA,".502","13.2","19.8",".181",NA,".531","11.9","77.1",".193",NA,"Amway Center","460,781","14,864"
"29","28","Oklahoma City Thunder","22.6","20","46","17","49","-7.83","0.41","-7.42","103.2","111.1","-7.9","98.5",".218",".417",".522",NA,".489","12.3","21.5",".166",NA,".529","12.1","76.3",".164",NA,"Paycom Center","467,774","14,175"
"30","29","Houston Rockets","24.5","17","50","16","51","-9.13","0.47","-8.66","107.5","116.5","-9.0","100.8",".285",".450",".560",NA,".529","14.6","21.7",".203",NA,".556","12.4","74.9",".205",NA,"Toyota Center","494,312","15,447"
"31","30","Detroit Pistons","23.7","18","49","16","51","-8.93","0.58","-8.35","104.8","113.8","-9.0","98.3",".246",".387",".527",NA,".488","12.8","23.8",".192",NA,".544","13.3","75.5",".220",NA,"Little Caesars Arena","514,328","15,586"
"32","","League Average","26.4","","","34","34","0.00","0.00","0.00","111.1","111.1","","98.2",".245",".399",".562",NA,".528","12.4","23.2",".189",NA,".528","12.4","76.8",".189",NA,"","562,595","16,711"
