"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","78","18745",".469","14.9",NA,".611",".246",".162",".110",".093",".389",NA,".530",".667",".439",".450",".424",".373",NA,".531",".731",NA,".060","384",NA,".233","875",NA,".220",".417",NA,"14","1"
"3","2","Boston Celtics","78","18945",".462","15.1",NA,".579",".216",".204",".082",".077",".421",NA,".543",".737",".448",".405",".403",".351",NA,".508",".812",NA,".058","349",NA,".277","1085",NA,".232",".383",NA,"10","0"
"4","3","Brooklyn Nets","78","18795",".474","13.9",NA,".642",".247",".167",".134",".095",".358",NA,".536",".654",".446",".476",".474",".361",NA,".539",".763",NA,".051","313",NA,".253","941",NA,".231",".396",NA,"7","0"
"5","4","Chicago Bulls","78","18770",".480","13.9",NA,".666",".256",".151",".129",".130",".334",NA,".536",".679",".452",".451",".437",".368",NA,".479",".850",NA,".050","304",NA,".246","968",NA,".272",".420",NA,"18","1"
"6","5","Charlotte Hornets","78","18920",".464","14.0",NA,".582",".287",".177",".070",".048",".418",NA,".537",".684",".384",".399",".424",".362",NA,".556",".860",NA,".078","498",NA,".284","1072",NA,".286",".367",NA,"19","0"
"7","6","Cleveland Cavaliers","78","18770",".468","13.7",NA,".613",".287",".180",".091",".055",".387",NA,".542",".696",".397",".430",".395",".351",NA,".559",".818",NA,".079","474",NA,".243","897",NA,".234",".337",NA,"9","1"
"8","7","Dallas Mavericks","78","18795",".458","15.3",NA,".563",".205",".177",".110",".072",".437",NA,".546",".734",".446",".451",".402",".344",NA,".498",".782",NA,".059","338",NA,".207","825",NA,".261",".388",NA,"14","0"
"9","8","Denver Nuggets","78","18820",".481","14.4",NA,".583",".236",".203",".072",".072",".417",NA,".573",".742",".477",".433",".426",".354",NA,".585",".858",NA,".060","354",NA,".265","1063",NA,".266",".383",NA,"23","0"
"10","9","Detroit Pistons","78","18820",".431","14.0",NA,".612",".245",".211",".081",".074",".388",NA,".498",".645",".424",".358",".375",".325",NA,".491",".896",NA,".040","246",NA,".305","1131",NA,".269",".363",NA,"19","0"
"11","10","Golden State Warriors","78","18770",".467","15.6",NA,".541",".203",".200",".069",".069",".459",NA,".557",".712",".513",".405",".380",".360",NA,".594",".798",NA,".058","357",NA,".279","1123",NA,".216",".340",NA,"24","1"
"12","11","Houston Rockets","78","18795",".454","14.2",NA,".552",".300",".181",".037",".034",".448",NA,".540",".685",".384",".311",".343",".349",NA,".503",".788",NA,".088","512",NA,".300","1089",NA,".174",".350",NA,"17","0"
"13","12","Indiana Pacers","78","18920",".462","14.1",NA,".605",".265",".178",".094",".069",".395",NA,".540",".676",".454",".421",".403",".343",NA,".504",".859",NA,".043","270",NA,".304","1244",NA,".248",".376",NA,"24","0"
