"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","64","15385",".468","14.9",NA,".618",".246",".165",".111",".095",".382",NA,".526",".673",".424",".445",".414",".374",NA,".527",".728",NA,".060","315",NA,".236","729",NA,".216",".407",NA,"14","1"
"3","2","Boston Celtics","66","16040",".456","15.3",NA,".581",".214",".196",".088",".083",".419",NA,".535",".721",".443",".407",".410",".347",NA,".501",".820",NA,".054","279",NA,".273","898",NA,".227",".380",NA,"9","0"
"4","3","Brooklyn Nets","65","15650",".466","13.9",NA,".642",".248",".166",".131",".097",".358",NA,".530",".645",".429",".482",".472",".352",NA,".539",".758",NA,".048","240",NA,".259","793",NA,".230",".373",NA,"6","0"
"5","4","Chicago Bulls","65","15625",".484","13.9",NA,".663",".259",".144",".131",".128",".337",NA,".538",".679",".444",".454",".447",".376",NA,".478",".848",NA,".051","259",NA,".247","808",NA,".275",".443",NA,"11","1"
"6","5","Charlotte Hornets","65","15800",".458","14.0",NA,".583",".284",".177",".074",".048",".417",NA,".529",".678",".378",".390",".424",".359",NA,".541",".860",NA,".075","397",NA,".286","902",NA,".279",".369",NA,"14","0"
"7","6","Cleveland Cavaliers","64","15360",".467","13.9",NA,".608",".280",".178",".094",".055",".392",NA,".541",".694",".407",".420",".398",".352",NA,".561",".823",NA,".079","379",NA,".241","724",NA,".236",".338",NA,"8","1"
"8","7","Dallas Mavericks","65","15675",".458","15.3",NA,".568",".203",".173",".117",".075",".432",NA,".542",".728",".444",".449",".406",".347",NA,".503",".798",NA,".059","286",NA,".203","664",NA,".252",".401",NA,"11","0"
"9","8","Denver Nuggets","65","15675",".476","14.6",NA,".577",".231",".197",".076",".073",".423",NA,".566",".747",".459",".432",".421",".353",NA,".581",".852",NA,".057","282",NA,".266","889",NA,".255",".383",NA,"21","0"
"10","9","Detroit Pistons","65","15700",".424","14.0",NA,".614",".249",".207",".083",".076",".386",NA,".489",".633",".410",".344",".387",".322",NA,".488",".893",NA,".037","190",NA,".309","944",NA,".260",".355",NA,"18","0"
"11","10","Golden State Warriors","65","15650",".469","15.5",NA,".539",".211",".196",".068",".064",".461",NA,".559",".710",".511",".403",".374",".363",NA,".602",".797",NA,".061","312",NA,".284","949",NA,".220",".348",NA,"18","1"
"12","11","Houston Rockets","65","15650",".451","14.2",NA,".548",".303",".179",".035",".030",".452",NA,".539",".684",".381",".298",".306",".344",NA,".492",".790",NA,".084","408",NA,".303","922",NA,".180",".344",NA,"15","0"
"13","12","Indiana Pacers","66","16040",".459","14.1",NA,".605",".262",".180",".094",".069",".395",NA,".538",".681",".446",".415",".401",".337",NA,".499",".855",NA,".041","219",NA,".304","1053",NA,".251",".370",NA,"19","0"
"14","13","Los Angeles Clippers","66","15890",".455","14.8",NA,".612",".208",".184",".117",".102",".388",NA,".512",".684",".457",".431",".353",".366",NA,".493",".812",NA,".052","259",NA,".213","673",NA,".213",".405",NA,"14","0"
"15","14","Los Angeles Lakers","64","15585",".465","14.0",NA,".613",".283",".156",".086",".089",".387",NA,".540",".698",".415",".383",".406",".347",NA,".474",".839",NA,".063","315",NA,".310","1016",NA,".214",".382",NA,"5","0"
"16","15","Memphis Grizzlies","66","15915",".459","12.8",NA,".655",".274",".229",".107",".044",".345",NA,".522",".667",".416",".434",".380",".340",NA,".500",".846",NA,".054","299",NA,".280","958",NA,".233",".364",NA,"9","0"
"17","16","Miami Heat","66","16015",".464","14.7",NA,".585",".228",".180",".111",".065",".415",NA,".526",".696",".425",".424",".389",".377",NA,".541",".859",NA,".050","250",NA,".243","790",NA,".302",".424",NA,"19","0"
"18","17","Milwaukee Bucks","65","15650",".462","15.2",NA,".561",".229",".160",".104",".067",".439",NA,".540",".710",".417",".446",".396",".364",NA,".452",".795",NA,".046","234",NA,".247","830",NA,".243",".384",NA,"8","0"
"19","18","Minnesota Timberwolves","66","15940",".452","14.5",NA,".546",".264",".175",".060",".047",".454",NA,".536",".670",".421",".408",".380",".350",NA,".517",".800",NA,".064","334",NA,".278","915",NA,".223",".374",NA,"15","0"
