"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1","Var.33","Heaves","Heaves.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%",NA,"Att.","Md."
"2","1","Atlanta Hawks","46","11040",".463","14.4",NA,".617",".247",".168",".113",".089",".383",NA,".517",".658",".416",".430",".427",".375",NA,".523",".748",NA,".055","205",NA,".241","525",NA,".225",".380",NA,"10","1"
"3","2","Boston Celtics","48","11720",".447","14.9",NA,".588",".204",".208",".090",".085",".412",NA,".521",".714",".434",".374",".427",".340",NA,".479",".818",NA,".049","185",NA,".273","643",NA,".228",".378",NA,"9","0"
"4","3","Brooklyn Nets","46","11090",".474","13.8",NA,".641",".260",".157",".132",".092",".359",NA,".542",".644",".432",".506",".496",".352",NA,".566",".742",NA,".048","169",NA,".259","568",NA,".240",".349",NA,"2","0"
"5","4","Chicago Bulls","46","11040",".472","14.1",NA,".651",".249",".152",".129",".121",".349",NA,".521",".660",".412",".453",".445",".380",NA,".483",".843",NA,".048","170",NA,".249","548",NA,".269",".445",NA,"8","1"
"6","5","Charlotte Hornets","47","11380",".461","14.1",NA,".586",".273",".183",".076",".055",".414",NA,".527",".682",".375",".402",".430",".367",NA,".534",".848",NA,".071","274",NA,".279","632",NA,".263",".362",NA,"10","0"
"7","6","Cleveland Cavaliers","48","11520",".467","14.0",NA,".603",".272",".178",".098",".055",".397",NA,".544",".707",".403",".429",".407",".348",NA,".568",".816",NA,".081","294",NA,".236","535",NA,".234",".332",NA,"7","1"
"8","7","Dallas Mavericks","47","11330",".451","15.4",NA,".573",".204",".163",".121",".086",".427",NA,".541",".718",".449",".462",".408",".329",NA,".518",".818",NA,".063","221",NA,".191","448",NA,".235",".377",NA,"9","0"
"9","8","Denver Nuggets","45","10850",".469","14.6",NA,".581",".221",".204",".083",".074",".419",NA,".557",".755",".456",".409",".411",".346",NA,".577",".848",NA,".054","183",NA,".262","611",NA,".250",".374",NA,"12","0"
"10","9","Detroit Pistons","46","11090",".421","14.4",NA,".596",".232",".210",".081",".074",".404",NA,".491",".642",".425",".335",".375",".318",NA,".481",".876",NA,".037","134",NA,".299","639",NA,".246",".348",NA,"14","0"
"11","10","Golden State Warriors","47","11330",".463","15.5",NA,".538",".220",".195",".062",".060",".462",NA,".556",".699",".515",".375",".359",".354",NA,".626",".804",NA,".063","235",NA,".288","688",NA,".215",".342",NA,"12","1"
"12","11","Houston Rockets","47","11305",".452","14.1",NA,".552",".315",".171",".035",".031",".448",NA,".537",".682",".366",".310",".266",".347",NA,".485",".796",NA,".080","284",NA,".314","682",NA,".180",".348",NA,"13","0"
"13","12","Indiana Pacers","48","11645",".456","14.3",NA,".596",".255",".178",".094",".068",".404",NA,".542",".689",".441",".415",".429",".330",NA,".490",".858",NA,".036","138",NA,".298","756",NA,".245",".370",NA,"14","0"
"14","13","Los Angeles Clippers","48","11570",".448","15.0",NA,".601",".208",".174",".117",".102",".399",NA,".509",".669",".460",".425",".365",".357",NA,".491",".812",NA,".051","183",NA,".212","471",NA,".219",".400",NA,"9","0"
"15","14","Los Angeles Lakers","47","11480",".465","14.1",NA,".612",".283",".148",".082",".099",".388",NA,".537",".693",".401",".401",".410",".350",NA,".478",".837",NA,".064","233",NA,".304","728",NA,".213",".384",NA,"4","0"
"16","15","Memphis Grizzlies","49","11810",".453","13.1",NA,".646",".262",".233",".108",".043",".354",NA,".516",".664",".420",".435",".350",".338",NA,".500",".853",NA,".051","203",NA,".274","690",NA,".232",".380",NA,"5","0"
"17","16","Miami Heat","47","11330",".460","14.8",NA,".579",".222",".178",".112",".067",".421",NA,".522",".687",".418",".422",".416",".376",NA,".544",".860",NA,".047","169",NA,".239","549",NA,".303",".414",NA,"13","0"
"18","17","Milwaukee Bucks","49","11810",".454","15.3",NA,".557",".228",".158",".105",".066",".443",NA,".526",".703",".392",".438",".376",".362",NA,".438",".804",NA,".043","164",NA,".251","634",NA,".237",".384",NA,"6","0"
"19","18","Minnesota Timberwolves","46","11115",".441","14.7",NA,".545",".255",".180",".062",".048",".455",NA,".522",".657",".403",".403",".407",".343",NA,".503",".795",NA,".063","221",NA,".271","605",NA,".208",".342",NA,"13","0"
"20","19","New Orleans Pelicans","46","11090",".439","13.9",NA,".621",".268",".176",".093",".084",".379",NA,".502",".656",".391",".413",".340",".336",NA,".537",".883",NA,".053","187",NA,".299","638",NA,".229",".387",NA,"10","1"
"21","20","New York Knicks","48","11570",".436","14.7",NA,".574",".253",".155",".086",".080",".426",NA,".494",".645",".374",".385",".367",".357",NA,".449",".789",NA,".066","234",NA,".236","498",NA,".203",".377",NA,"6","0"
"22","21","Oklahoma City Thunder","47","11280",".416","14.3",NA,".579",".229",".227",".076",".047",".421",NA,".492",".625",".410",".406",".379",".311",NA,".446",".820",NA,".049","168",NA,".315","658",NA,".209",".360",NA,"1","0"
"23","22","Orlando Magic","48","11545",".428","14.4",NA,".587",".224",".226",".071",".066",".413",NA,".500",".650",".421",".443",".322",".326",NA,".483",".848",NA,".055","204",NA,".268","580",NA,".196",".362",NA,"9","0"
"24","23","Philadelphia 76ers","46","11115",".462","14.1",NA,".636",".224",".202",".129",".081",".364",NA,".523",".699",".423",".426",".443",".354",NA,".479",".828",NA,".046","165",NA,".243","540",NA,".238",".387",NA,"6","0"
"25","24","Phoenix Suns","46","11065",".476","14.2",NA,".645",".195",".218",".143",".089",".355",NA,".538",".693",".481",".470",".446",".363",NA,".535",".847",NA,".053","202",NA,".219","515",NA,".260",".386",NA,"8","0"
"26","25","Portland Trail Blazers","46","11065",".448","15.0",NA,".563",".248",".167",".069",".079",".437",NA,".517",".624",".446",".395",".440",".359",NA,".485",".770",NA,".042","148",NA,".267","567",NA,".205",".398",NA,"4","0"
"27","26","Sacramento Kings","48","11595",".457","13.9",NA,".622",".231",".218",".111",".061",".378",NA,".523",".699",".405",".423",".454",".348",NA,".477",".781",NA,".063","230",NA,".254","593",NA,".210",".372",NA,"9","1"
"28","27","San Antonio Spurs","47","11355",".460","13.1",NA,".667",".234",".234",".132",".067",".333",NA,".514",".654",".443",".456",".392",".352",NA,".551",".903",NA,".035","138",NA,".291","683",NA,".226",".384",NA,"3","0"
"29","28","Toronto Raptors","44","10585",".435","14.6",NA,".615",".215",".198",".105",".096",".385",NA,".494",".643",".416",".405",".419",".341",NA,".444",".791",NA,".057","194",NA,".240","491",NA,".218",".377",NA,"10","2"
"30","29","Utah Jazz","48","11520",".473","15.0",NA,".531",".204",".238",".063",".026",".469",NA,".570",".739",".483",".427",".383",".363",NA,".443",".719",NA,".070","259",NA,".254","607",NA,".238",".390",NA,"6","1"
"31","30","Washington Wizards","47","11380",".466","13.6",NA,".638",".229",".245",".103",".062",".362",NA,".548",".728",".456",".441",".416",".324",NA,".516",".836",NA,".066","237",NA,".296","693",NA,".259",".392",NA,"5","0"
"32","","League Average","47","11324",".454","14.4",NA,".598",".239",".192",".096",".072",".402",NA,".525",".678",".427",".425",".406",".348",NA,".505",".818",NA,".055","201",NA,".264","601",NA,".230",".376",NA,"8.2","0.3"
