"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Golden State Warriors",51,241,36.8,86.6,0.425,11.8,36.2,0.327,24.9,50.3,0.496,16.7,22.2,0.753,9.7,33,42.7,21.9,8.3,4.1,15.2,17.8,102.1
"2",2,"Cleveland Cavaliers",51,240,38.7,87.6,0.441,11.3,33.4,0.337,27.4,54.2,0.505,13.6,18.1,0.753,10.9,32.6,43.5,23,8.6,4.6,13.7,19,102.2
"3",3,"Dallas Mavericks",51,241,38.7,85.3,0.454,10.9,32.3,0.336,27.9,53,0.526,15.1,20,0.755,9.1,35.2,44.3,23.4,6.9,3.8,13.5,19.9,103.4
"4",4,"Boston Celtics",52,243.8,38.3,87.8,0.436,12.1,35.2,0.343,26.3,52.6,0.499,15.8,20.4,0.777,10.1,34.5,44.5,21.8,7.6,4.8,13.9,19.2,104.6
"5",5,"New York Knicks",51,241,37.8,85.7,0.441,13,37.5,0.347,24.8,48.2,0.514,16,20.8,0.768,9.5,34,43.5,24.2,7.3,4.7,13,19.4,104.6
"6",6,"Miami Heat",51,242.5,37.2,83.6,0.445,13.6,39.1,0.349,23.5,44.5,0.528,16.9,21.7,0.778,9.3,32.1,41.4,23.3,7.4,4.4,15.3,19.9,104.9
"7",7,"Phoenix Suns",49,240.5,39,88.9,0.439,11.3,34.2,0.332,27.7,54.7,0.506,15.6,20.9,0.747,10.9,34.1,45,22.3,7.6,4.1,15,19.2,105
"8",8,"Philadelphia 76ers",50,242,39.1,87,0.45,11.4,33.5,0.341,27.7,53.6,0.518,15.9,20.7,0.767,10.6,34.6,45.1,23.1,6.7,4.7,13.6,19,105.5
"9",9,"Toronto Raptors",48,242.1,38.6,84,0.459,12.5,34.7,0.359,26.1,49.3,0.53,16.9,21.3,0.795,10.5,33.9,44.4,24.4,6.8,5.1,16.2,18.9,106.5
"10",10,"Los Angeles Clippers",53,240.9,40.3,91.1,0.442,11.4,34.3,0.331,28.9,56.8,0.509,14.9,18.8,0.791,12.2,35.8,48,24,8,4.3,14.1,18.9,106.8
"11",11,"Denver Nuggets",49,241,40,86.1,0.465,11.6,34.1,0.34,28.4,51.9,0.547,15.3,20.3,0.75,9.5,33.5,43,24.3,7.5,4.8,13.5,19.3,106.9
"12",12,"Oklahoma City Thunder",49,240.5,39.9,89.5,0.445,13.4,38.6,0.346,26.5,50.9,0.521,14.4,19.3,0.745,11,37.8,48.9,25.1,7.9,6.3,13.4,17.6,107.4
"13",13,"Utah Jazz",51,240,41,90.5,0.453,11.8,34.3,0.343,29.2,56.2,0.52,14,18.7,0.752,10,32.1,42.2,23.2,7.5,4.2,12,20.3,107.8
"14",14,"Memphis Grizzlies",53,241.4,39.8,87.9,0.453,12.6,35.1,0.358,27.2,52.8,0.516,16.3,20.8,0.783,9.8,33.1,42.9,25.2,7.4,6.4,15.5,19,108.5
"15",15,"Milwaukee Bucks",52,241,39.9,90.3,0.443,14.1,41.4,0.342,25.8,48.9,0.528,14.8,19.7,0.753,10.5,34.7,45.1,24.9,7.5,4.5,13.6,19.2,108.8
"16",16,"Chicago Bulls",49,240,40.3,87,0.464,11.7,32.1,0.363,28.7,54.9,0.523,16.8,21.2,0.794,9.5,34.3,43.8,24.4,7.5,5.2,13.9,17.8,109.2
"17",17,"New Orleans Pelicans",50,241,40.1,85.7,0.468,12.9,35,0.367,27.2,50.7,0.537,16.6,21,0.789,9.1,33.8,42.9,24.3,7.6,5.1,13.4,20.1,109.6
"18",18,"Brooklyn Nets",49,241,40.2,91.4,0.44,12,36.5,0.328,28.3,54.9,0.515,17.6,22,0.799,11.3,33.2,44.5,23.2,7.8,5.2,12.9,19.4,110
"19",19,"Washington Wizards",49,242,40.6,89.2,0.455,10.9,31.1,0.35,29.7,58.1,0.511,18,22.4,0.803,10.6,34.4,44.9,23,7.6,4.3,11.9,20.4,110.1
"20",20,"Orlando Magic",51,240.5,40.2,87.7,0.459,12.8,35.2,0.364,27.4,52.5,0.522,17.2,22.2,0.773,10.4,35.8,46.2,24.4,7.9,5.5,13.6,18.5,110.4
"21",21,"Minnesota Timberwolves",50,241.5,39,86,0.453,13.2,37.8,0.349,25.8,48.3,0.535,19.4,25.1,0.773,11,35.1,46.1,25.5,7.6,5.1,16.9,20.6,110.6
"22",22,"Indiana Pacers",52,242.9,40.9,87.2,0.469,11.2,31.4,0.357,29.7,55.8,0.531,17.8,22.4,0.793,9.9,33.1,43,23,7.9,4.9,13.1,19.4,110.8
"23",23,"Atlanta Hawks",50,240,41.4,89.2,0.464,13.1,36.6,0.357,28.3,52.6,0.539,15.4,19.4,0.793,9.9,33.7,43.6,25.5,7.2,4.6,12.2,20.1,111.2
"24",24,"San Antonio Spurs",51,241.5,42.5,91.6,0.464,11.5,33,0.35,30.9,58.6,0.528,14.8,19.7,0.752,11.4,35.7,47.1,23.9,7.3,5.4,13.8,18.1,111.4
"25",25,"Detroit Pistons",49,241,40.6,85.9,0.473,12.2,33.1,0.368,28.4,52.8,0.539,18.2,23.6,0.772,10,36.6,46.7,25.3,7.6,5.2,15.3,20.3,111.6
"26",26,"Portland Trail Blazers",51,240.5,41.1,86.5,0.475,13.5,36.6,0.368,27.6,49.9,0.554,16.8,22,0.763,9.1,34.4,43.5,25.9,7.5,4.4,13.5,19.8,112.4
"27",27,"Los Angeles Lakers",51,243.9,41.2,90.4,0.456,12.6,36.7,0.344,28.6,53.6,0.533,17.5,23.3,0.753,11.1,36,47.1,25.8,8.2,4,14.9,19.7,112.6
"28",28,"Charlotte Hornets",51,242,41.7,90,0.464,14.1,39.5,0.357,27.6,50.5,0.547,17.1,22,0.775,10.9,36.6,47.5,25.8,7.4,4.8,15.3,19.5,114.6
"29",29,"Sacramento Kings",52,241.4,43.1,91.2,0.473,12.2,34.1,0.357,30.9,57.1,0.542,16.3,21.1,0.773,11.1,35.4,46.5,24.7,7.9,5.2,13.1,19.1,114.7
"30",30,"Houston Rockets",50,240.5,42.8,90.2,0.475,13.4,38.2,0.35,29.4,52,0.566,18,22.9,0.785,10.8,34.4,45.2,25.1,9.7,5.9,13.8,22.3,116.9
"31",NA,"League Average",51,241.3,40,88,0.455,12.3,35.4,0.349,27.7,52.7,0.526,16.3,21.1,0.772,10.3,34.4,44.8,24.1,7.7,4.8,14,19.4,108.7
