"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.5","63","17","58","22","7.70","-0.57","7.13","114.9","107.2","+7.7","99.8",".223",".354",".582",NA,".550","11.6","22.1",".178",NA,".509","13.0","77.1",".194",NA,"Phoenix Suns Arena","646,100","16,153"
"3","2","Boston Celtics","26.1","50","31","58","23","7.01","-0.33","6.68","114.1","106.9","+7.2","96.5",".241",".424",".577",NA,".541","12.4","23.9",".196",NA,".502","12.5","77.4",".184",NA,"TD Garden","727,928","17,754"
"4","3","Utah Jazz","29.3","48","32","54","26","5.88","-0.34","5.54","116.8","110.8","+6.0","97.1",".268",".469",".590",NA,".557","12.7","25.2",".206",NA,".522","10.9","78.2",".165",NA,"Vivint Smart Home Arena","732,240","18,306"
"5","4","Memphis Grizzlies","24.0","55","25","54","26","5.85","-0.40","5.45","114.5","108.7","+5.8","100.2",".245",".344",".552",NA,".521","11.2","29.9",".180",NA,".521","13.3","77.9",".195",NA,"FedEx Forum","612,137","15,696"
"6","5","Golden State Warriors","27.6","51","29","53","27","5.34","-0.02","5.32","112.3","106.9","+5.4","98.5",".234",".457",".581",NA,".551","13.5","22.8",".179",NA,".509","13.1","78.8",".202",NA,"Chase Center","740,624","18,064"
"7","6","Miami Heat","28.2","52","28","52","28","4.69","-0.16","4.53","113.6","108.8","+4.8","95.9",".252",".421",".583",NA,".546","13.4","23.6",".204",NA,".523","13.8","78.0",".210",NA,"FTX Arena","784,768","19,619"
"8","7","Milwaukee Bucks","28.5","50","30","48","32","3.29","-0.10","3.19","115.0","111.8","+3.2","99.8",".256",".432",".580",NA,".547","12.0","23.2",".198",NA,".536","11.6","78.6",".165",NA,"Fiserv Forum","715,581","17,453"
"9","8","Dallas Mavericks","26.7","50","30","47","33","2.64","-0.06","2.58","112.4","109.6","+2.8","95.3",".247",".437",".569",NA,".535","11.6","21.2",".191",NA,".522","12.2","77.8",".185",NA,"American Airlines Center","767,593","19,682"
"10","9","Minnesota Timberwolves","24.2","46","35","47","34","2.72","-0.10","2.62","114.3","111.6","+2.7","100.9",".254",".455",".573",NA,".538","12.4","24.4",".198",NA,".535","14.2","75.1",".226",NA,"Target Center","640,012","16,000"
