"","Rk","Team","G","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1",1,"Charlotte Hornets",65,243.1,42.2,92.2,0.458,13.8,38.4,0.359,28.5,53.8,0.529,16,21.8,0.733,11,34.2,45.2,27.3,8.7,4.9,13.3,20,114.3
"2",2,"Minnesota Timberwolves",65,241.5,41.4,91.4,0.453,14.6,41.5,0.351,26.8,49.9,0.537,17,22.2,0.766,11.6,32.8,44.4,25.5,8.8,5.8,14.5,21.8,114.3
"3",3,"Milwaukee Bucks",65,240.8,41.1,88.9,0.462,14.2,39,0.364,26.9,49.9,0.54,17.6,22.8,0.774,10.3,36.5,46.8,23.4,7.5,4.1,13.6,18.3,114
"4",4,"Phoenix Suns",64,240.4,43.1,89.3,0.483,11.5,31.6,0.365,31.6,57.8,0.547,16.1,20.3,0.794,9.7,35.6,45.3,27.2,8.6,4.3,12.9,19.3,113.9
"5",5,"Memphis Grizzlies",66,241.1,43,93.7,0.459,11,32.3,0.34,32,61.3,0.522,17,23.2,0.732,14,35.2,49.2,25.3,9.9,6.3,13.2,19.5,113.9
"6",6,"Utah Jazz",63,240.4,40.7,86.1,0.473,14.7,40.4,0.363,26,45.7,0.57,17.7,22.7,0.778,10.5,35.7,46.1,22.4,7.2,4.8,14.3,18.8,113.8
"7",7,"San Antonio Spurs",64,242,43.8,93.5,0.468,11.1,31.5,0.353,32.6,62,0.527,14.1,19,0.743,11.1,34.3,45.3,28.2,7.7,5,12.6,18.2,112.8
"8",8,"Chicago Bulls",64,240.4,42.2,87.2,0.484,11.1,29.5,0.376,31.1,57.7,0.539,17,20.9,0.813,8.6,34.4,43,24.3,7,4.4,13,18.8,112.5
"9",9,"Atlanta Hawks",63,240,41.1,87.8,0.468,12.6,33.5,0.375,28.5,54.3,0.525,17.8,22.1,0.805,9.9,34.1,44,24.1,6.9,4.4,12,18.4,112.5
"10",10,"Denver Nuggets",64,241.2,41.1,86.5,0.475,13,36.6,0.354,28.1,49.9,0.564,15.8,20,0.792,9,35.1,44.1,27.2,7.3,3.7,14.4,19.5,111
