"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","Var.8","Var.9","Var.10","Var.11","Var.12","Var.13","Var.14","Var.15","Var.16","Var.17","Var.18","Offense.Four.Factors","Offense.Four.Factors.1","Offense.Four.Factors.2","Offense.Four.Factors.3","Var.23","Defense.Four.Factors","Defense.Four.Factors.1","Defense.Four.Factors.2","Defense.Four.Factors.3","Var.28","Var.29","Var.30","Var.31"
"1","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",NA,"Arena","Attend.","Attend./G"
"2","1","Phoenix Suns","27.6","51","13","47","17","7.72","-0.42","7.30","114.3","106.6","+7.7","99.4",".227",".353",".580",NA,".547","11.6","22.3",".181",NA,".507","13.0","77.1",".183",NA,"Phoenix Suns Arena","560,745","16,021"
"3","2","Golden State Warriors","27.8","43","21","45","19","6.36","-0.21","6.15","112.1","105.7","+6.4","98.7",".236",".461",".581",NA,".551","13.7","22.8",".179",NA,".508","13.6","78.7",".194",NA,"Chase Center","596,112","18,064"
"4","3","Utah Jazz","29.5","40","23","43","20","6.21","-0.41","5.80","116.4","110.1","+6.3","97.6",".263",".470",".592",NA,".558","13.0","24.8",".205",NA,".520","11.0","77.9",".156",NA,"Vivint Smart Home Arena","585,792","18,306"
"5","4","Boston Celtics","26.0","39","27","44","22","5.50","-0.54","4.96","112.0","106.4","+5.6","96.6",".241",".419",".567",NA,".529","12.6","24.0",".197",NA,".498","12.5","77.2",".181",NA,"TD Garden","632,148","18,593"
"6","5","Miami Heat","28.1","43","22","43","22","4.89","-0.27","4.62","113.2","108.1","+5.1","95.7",".249",".416",".579",NA,".541","13.4","24.5",".201",NA,".521","14.1","77.9",".206",NA,"FTX Arena","569,168","19,626"
"7","6","Memphis Grizzlies","23.9","44","22","42","24","4.68","-0.31","4.38","113.6","108.9","+4.7","99.8",".248",".345",".548",NA,".518","11.3","29.9",".181",NA,".523","13.3","77.9",".190",NA,"FedEx Forum","491,918","15,372"
"8","7","Cleveland Cavaliers","24.8","37","27","39","25","3.42","-0.14","3.28","110.9","107.3","+3.6","96.2",".253",".392",".568",NA,".536","13.7","24.1",".191",NA,".510","12.6","76.3",".163",NA,"Rocket Mortgage Fieldhouse","564,598","18,213"
"9","8","Milwaukee Bucks","28.4","40","25","40","25","3.68","-0.48","3.20","114.1","110.5","+3.6","99.6",".256",".439",".576",NA,".542","12.1","23.1",".199",NA,".528","11.8","78.1",".164",NA,"Fiserv Forum","608,268","17,379"
"10","9","Dallas Mavericks","26.7","39","25","39","25","3.34","-0.03","3.32","111.5","108.1","+3.4","95.5",".241",".431",".565",NA,".533","11.7","21.3",".184",NA,".520","12.7","78.3",".177",NA,"American Airlines Center","646,672","19,596"
"11","10","Denver Nuggets","27.7","38","26","38","26","2.92","-0.31","2.61","113.1","110.1","+3.0","97.6",".231",".423",".582",NA,".550","13.1","21.4",".183",NA,".531","12.1","78.4",".181",NA,"Ball Arena","487,121","16,237"
"12","11","Philadelphia 76ers","26.6","39","24","36","27","2.24","-0.16","2.08","112.1","109.8","+2.3","96.0",".272",".369",".572",NA,".529","11.6","19.6",".222",NA,".517","12.2","76.5",".190",NA,"Wells Fargo Center","634,034","20,453"
"13","12","Minnesota Timberwolves","24.1","36","29","37","28","2.02","0.07","2.09","113.0","111.1","+1.9","100.4",".243",".454",".565",NA,".532","12.5","24.9",".186",NA,".531","14.5","74.6",".230",NA,"Target Center","504,970","15,780"
