"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","57","13680",".467","14.8",NA,".592",".256",".157",".098",".082",".408",NA,".539",".686",".421",".466",".391",".363",NA,".517",".845",NA,".060","267",NA,".250","721",NA,".241",".380"
"3","2","Boston Celtics","59","14360",".428","15.4",NA,".601",".188",".216",".101",".096",".399",NA,".490",".703",".395",".398",".381",".336",NA,".464",".799",NA,".046","222",NA,".258","685",NA,".213",".354"
"4","3","Brooklyn Nets","57","13730",".448","14.2",NA,".601",".264",".165",".094",".078",".399",NA,".526",".669",".403",".434",".411",".330",NA,".496",".785",NA,".052","233",NA,".274","788",NA,".244",".343"
"5","4","Chicago Bulls","58","13945",".466","13.4",NA,".634",".293",".172",".092",".077",".366",NA,".525",".668",".407",".403",".393",".363",NA,".521",".835",NA,".056","258",NA,".292","826",NA,".225",".416"
"6","5","Charlotte Hornets","59","14285",".464","14.6",NA,".566",".256",".172",".080",".058",".434",NA,".545",".684",".436",".407",".442",".358",NA,".521",".829",NA,".069","317",NA,".260","765",NA,".266",".376"
"7","6","Cleveland Cavaliers","58","13920",".442","13.8",NA,".617",".294",".160",".090",".073",".383",NA,".505",".605",".415",".417",".407",".340",NA,".510",".811",NA,".058","256",NA,".275","725",NA,".257",".357"
"8","7","Dallas Mavericks","58","13995",".454","13.9",NA,".628",".236",".204",".112",".075",".372",NA,".525",".690",".445",".435",".359",".334",NA,".517",".830",NA,".056","233",NA,".251","712",NA,".256",".374"
"9","8","Denver Nuggets","57","13730",".465","14.3",NA,".602",".226",".211",".097",".068",".398",NA,".548",".726",".466",".439",".362",".339",NA,".520",".823",NA,".059","262",NA,".262","761",NA,".241",".370"
"10","9","Detroit Pistons","57","13730",".475","13.8",NA,".616",".249",".214",".085",".068",".384",NA,".537",".668",".471",".413",".416",".374",NA,".538",".821",NA,".063","276",NA,".280","770",NA,".258",".418"
"11","10","Golden State Warriors","58","13970",".432","14.8",NA,".582",".176",".258",".085",".064",".418",NA,".503",".685",".446",".417",".345",".333",NA,".487",".833",NA,".047","217",NA,".274","738",NA,".242",".396"
"12","11","Houston Rockets","56","13465",".481","14.3",NA,".582",".276",".163",".080",".062",".418",NA,".573",".705",".455",".470",".431",".354",NA,".498",".801",NA,".071","316",NA,".262","765",NA,".242",".385"
"13","12","Indiana Pacers","59","14310",".474","13.6",NA,".641",".254",".204",".108",".076",".359",NA,".537",".678",".455",".439",".424",".360",NA,".489",".785",NA,".064","286",NA,".276","794",NA,".224",".380"
"14","13","Los Angeles Clippers","60","14450",".447","13.8",NA,".623",".252",".206",".105",".060",".377",NA,".513",".654",".427",".427",".371",".337",NA,".505",".797",NA,".053","257",NA,".276","799",NA,".223",".342"
"15","14","Los Angeles Lakers","57","13905",".456","14.1",NA,".596",".263",".186",".086",".061",".404",NA,".532",".703",".408",".389",".371",".344",NA,".532",".840",NA,".062","285",NA,".271","793",NA,".200",".364"
"16","15","Memphis Grizzlies","59","14235",".452","14.1",NA,".600",".270",".167",".099",".065",".400",NA,".518",".656",".387",".436",".408",".351",NA,".544",".828",NA,".063","285",NA,".265","738",NA,".173",".389"
