"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","0-3","3-10","10-16","16-3pt","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","48","11520",".464","14.8",NA,".589",".259",".156",".092",".082",".411",NA,".541",".683",".416",".468",".410",".352",NA,".518",".837",NA,".061","229",NA,".253","610",NA,".235",".353"
"3","2","Boston Celtics","50","12200",".437","15.6",NA,".601",".187",".211",".103",".099",".399",NA,".500",".718",".400",".402",".401",".344",NA,".465",".784",NA,".046","190",NA,".252","580",NA,".208",".362"
"4","3","Brooklyn Nets","48","11570",".441","14.1",NA,".602",".276",".153",".095",".077",".398",NA,".516",".662",".378",".411",".395",".329",NA,".485",".789",NA,".053","198",NA,".276","665",NA,".239",".343"
"5","4","Chicago Bulls","48","11520",".463","13.5",NA,".633",".289",".175",".091",".078",".367",NA,".522",".666",".410",".380",".407",".361",NA,".516",".832",NA,".055","209",NA,".291","670",NA,".217",".423"
"6","5","Charlotte Hornets","50","12100",".463","14.7",NA,".559",".251",".172",".080",".056",".441",NA,".546",".685",".437",".415",".448",".357",NA,".517",".822",NA,".068","267",NA,".256","636",NA,".257",".375"
"7","6","Cleveland Cavaliers","49","11760",".442","13.9",NA,".616",".286",".161",".094",".077",".384",NA,".506",".604",".427",".423",".410",".339",NA,".500",".812",NA,".057","210",NA,".267","599",NA,".239",".355"
"8","7","Dallas Mavericks","49","11810",".453","14.0",NA,".622",".237",".198",".111",".075",".378",NA,".523",".688",".432",".430",".384",".338",NA,".515",".833",NA,".056","196",NA,".251","595",NA,".255",".382"
"9","8","Denver Nuggets","48","11570",".465","14.3",NA,".603",".221",".216",".098",".069",".397",NA,".547",".734",".457",".448",".370",".340",NA,".524",".812",NA,".057","212",NA,".260","641",NA,".244",".370"
"10","9","Detroit Pistons","48","11570",".473","13.9",NA,".615",".248",".214",".085",".067",".385",NA,".539",".672",".470",".412",".432",".367",NA,".535",".823",NA,".062","227",NA,".283","658",NA,".252",".408"
"11","10","Golden State Warriors","49","11810",".425","14.9",NA,".580",".177",".253",".086",".065",".420",NA,".498",".684",".430",".409",".375",".325",NA,".484",".828",NA,".043","170",NA,".270","608",NA,".240",".384"
"12","11","Houston Rockets","49","11785",".473","14.4",NA,".578",".270",".165",".080",".063",".422",NA,".565",".697",".452",".466",".419",".349",NA,".494",".798",NA,".070","269",NA,".260","664",NA,".239",".387"
"13","12","Indiana Pacers","50","12150",".467","13.7",NA,".642",".243",".211",".110",".079",".358",NA,".530",".676",".446",".440",".427",".355",NA,".484",".772",NA,".060","227",NA,".277","662",NA,".209",".378"
"14","13","Los Angeles Clippers","51","12290",".443","13.8",NA,".621",".251",".205",".102",".063",".379",NA,".512",".653",".417",".432",".384",".331",NA,".508",".805",NA,".051","212",NA,".279","689",NA,".222",".329"
"15","14","Los Angeles Lakers","50","12200",".454","14.1",NA,".593",".262",".184",".087",".059",".407",NA,".529",".708",".393",".385",".372",".344",NA,".531",".841",NA,".061","247",NA,".270","692",NA,".201",".364"
"16","15","Memphis Grizzlies","51","12290",".453","14.2",NA,".598",".261",".171",".103",".063",".402",NA,".516",".654",".393",".440",".401",".359",NA,".545",".817",NA,".062","241",NA,".262","618",NA,".174",".399"
"17","16","Miami Heat","49","11810",".443","15.6",NA,".532",".211",".171",".093",".058",".468",NA,".527",".693",".437",".403",".380",".348",NA,".511",".842",NA,".043","154",NA,".234","549",NA,".273",".367"
"18","17","Milwaukee Bucks","51","12290",".440","15.7",NA,".542",".220",".167",".089",".067",".458",NA,".526",".682",".422",".412",".420",".338",NA,".509",".823",NA,".043","179",NA,".248","631",NA,".217",".352"
"19","18","Minnesota Timberwolves","49","11835",".453","14.6",NA,".562",".252",".165",".082",".063",".438",NA,".535",".689",".412",".392",".425",".348",NA,".560",".842",NA,".070","267",NA,".264","600",NA,".287",".385"
"20","19","New Orleans Pelicans","48","11570",".467","14.8",NA,".593",".225",".176",".108",".083",".407",NA,".534",".688",".458",".460",".378",".369",NA,".502",".810",NA,".044","162",NA,".251","594",NA,".222",".421"
"21","20","New York Knicks","50","12050",".441","14.8",NA,".562",".262",".137",".087",".075",".438",NA,".513",".647",".395",".453",".334",".348",NA,".533",".841",NA,".054","207",NA,".262","594",NA,".238",".363"
"22","21","Oklahoma City Thunder","48","11545",".446","15.0",NA,".569",".207",".205",".086",".071",".431",NA,".519",".680",".439",".438",".375",".349",NA,".519",".855",NA,".054","190",NA,".266","614",NA,".253",".406"
"23","22","Orlando Magic","50","12025",".458","14.7",NA,".600",".221",".190",".102",".086",".400",NA,".522",".647",".450",".454",".438",".363",NA,".504",".835",NA,".052","207",NA,".256","595",NA,".223",".384"
"24","23","Philadelphia 76ers","48","11595",".449","14.0",NA,".614",".252",".187",".107",".068",".386",NA,".516",".686",".394",".371",".451",".343",NA,".512",".795",NA,".065","240",NA,".264","595",NA,".206",".370"
"25","24","Phoenix Suns","48","11545",".438","14.5",NA,".615",".198",".233",".099",".086",".385",NA,".506",".671",".455",".402",".381",".331",NA,".485",".782",NA,".042","160",NA,".262","615",NA,".191",".335"
"26","25","Portland Trail Blazers","49","11785",".475","14.4",NA,".577",".268",".166",".083",".060",".423",NA,".552",".690",".457",".392",".425",".369",NA,".532",".825",NA,".056","212",NA,".255","646",NA,".277",".406"
"27","26","Sacramento Kings","50","12075",".472","13.7",NA,".628",".253",".209",".094",".072",".372",NA,".540",".703",".432",".425",".427",".356",NA,".479",".801",NA,".059","245",NA,".284","729",NA,".203",".379"
"28","27","San Antonio Spurs","50","12075",".463","13.5",NA,".639",".265",".209",".093",".072",".361",NA,".527",".653",".434",".436",".451",".350",NA,".465",".813",NA,".060","233",NA,".307","739",NA,".191",".400"
"29","28","Toronto Raptors","46","11065",".461","14.5",NA,".587",".230",".203",".097",".057",".413",NA,".532",".706",".407",".439",".432",".360",NA,".522",".863",NA,".058","193",NA,".262","555",NA,".303",".377"
"30","29","Utah Jazz","50","12000",".451","14.5",NA,".620",".195",".222",".122",".081",".380",NA,".518",".702",".439",".446",".401",".342",NA,".476",".779",NA,".045","177",NA,".249","641",NA,".199",".360"
"31","30","Washington Wizards","48","11620",".455","14.1",NA,".650",".195",".250",".117",".088",".350",NA,".512",".707",".438",".430",".398",".349",NA,".478",".808",NA,".057","204",NA,".264","626",NA,".191",".357"
"32","","League Average","49","11834",".454","14.4",NA,".598",".239",".191",".096",".072",".402",NA,".525",".679",".429",".425",".405",".348",NA,".506",".818",NA,".056","211",NA,".265","630",NA,".231",".376"
