"","Var.1","Var.2","Var.3","Var.4","Var.5","Var.6","Var.7","X..of.FGA.by.Distance","X..of.FGA.by.Distance.1","X..of.FGA.by.Distance.2","X..of.FGA.by.Distance.3","X..of.FGA.by.Distance.4","X..of.FGA.by.Distance.5","Var.14","FG..by.Distance","FG..by.Distance.1","FG..by.Distance.2","FG..by.Distance.3","FG..by.Distance.4","FG..by.Distance.5","Var.21","X..of.FG.Ast.d","X..of.FG.Ast.d.1","Var.24","Dunks","Dunks.1","Var.27","Layups","Layups.1","Var.30","Corner","Corner.1"
"1","Rk","Team","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","Md.",NA,"%FGA","Md.",NA,"%3PA","3P%"
"2","1","Atlanta Hawks","74","17785",".471","14.4",NA,".605",".264",".158",".102",".082",".395",NA,".541",".690",".420",".459",".398",".363",NA,".512",".842",NA,".061","351",NA,".258","975",NA,".234",".384"
"3","2","Boston Celtics","74","17960",".431","15.3",NA,".602",".185",".223",".100",".094",".398",NA,".493",".703",".404",".403",".389",".336",NA,".465",".788",NA,".047","279",NA,".257","855",NA,".215",".354"
"4","3","Brooklyn Nets","73","17570",".453","14.2",NA,".599",".258",".175",".093",".076",".401",NA,".525",".682",".397",".430",".410",".344",NA,".505",".788",NA,".057","328",NA,".271","967",NA,".240",".365"
"5","4","Chicago Bulls","73","17545",".471","13.3",NA,".638",".297",".173",".091",".077",".362",NA,".531",".671",".416",".410",".398",".364",NA,".512",".828",NA,".057","336",NA,".290","1034",NA,".232",".417"
"6","5","Charlotte Hornets","74","17960",".463","14.5",NA,".569",".262",".174",".075",".058",".431",NA,".543",".683",".428",".408",".429",".359",NA,".528",".829",NA,".068","390",NA,".266","975",NA,".274",".368"
"7","6","Cleveland Cavaliers","73","17570",".450","13.7",NA,".620",".297",".161",".091",".071",".380",NA,".512",".619",".413",".422",".403",".350",NA,".514",".822",NA,".061","339",NA,".270","914",NA,".268",".366"
"8","7","Dallas Mavericks","74","17835",".456","13.9",NA,".624",".241",".207",".108",".072",".376",NA,".528",".696",".448",".423",".349",".338",NA,".518",".828",NA,".059","322",NA,".259","932",NA,".252",".380"
"9","8","Denver Nuggets","74","17860",".468","14.3",NA,".607",".223",".216",".098",".071",".393",NA,".549",".727",".466",".459",".369",".343",NA,".526",".825",NA,".059","346",NA,".259","982",NA,".237",".369"
"10","9","Detroit Pistons","74","17860",".471","13.7",NA,".623",".257",".215",".079",".072",".377",NA,".536",".668",".466",".433",".386",".365",NA,".534",".822",NA,".063","353",NA,".283","1003",NA,".249",".417"
"11","10","Golden State Warriors","74","17810",".439","14.8",NA,".581",".178",".254",".087",".063",".419",NA,".510",".693",".452",".426",".343",".340",NA,".491",".847",NA,".046","274",NA,".270","936",NA,".244",".399"
"12","11","Houston Rockets","74","17835",".483","14.1",NA,".594",".274",".172",".086",".062",".406",NA,".573",".715",".461",".461",".409",".352",NA,".503",".803",NA,".074","443",NA,".267","1042",NA,".243",".373"
"13","12","Indiana Pacers","74","17960",".475","13.6",NA,".635",".260",".204",".101",".071",".365",NA,".540",".684",".450",".432",".420",".363",NA,".495",".799",NA,".065","370",NA,".279","1030",NA,".222",".391"
"14","13","Los Angeles Clippers","75","18075",".450","13.7",NA,".622",".251",".210",".102",".059",".378",NA,".513",".657",".422",".421",".378",".346",NA,".506",".804",NA,".058","343",NA,".273","976",NA,".221",".356"
"15","14","Los Angeles Lakers","73","17795",".466","14.0",NA,".604",".264",".190",".086",".064",".396",NA,".541",".707",".424",".400",".392",".351",NA,".519",".838",NA,".062","364",NA,".275","1037",NA,".203",".375"
"16","15","Memphis Grizzlies","74","17835",".452","14.0",NA,".610",".272",".172",".099",".067",".390",NA,".517",".649",".400",".431",".406",".351",NA,".536",".824",NA,".063","357",NA,".272","953",NA,".174",".392"
"17","16","Miami Heat","74","17935",".445","15.4",NA,".544",".218",".172",".095",".059",".456",NA,".533",".695",".437",".421",".391",".341",NA,".504",".833",NA,".045","252",NA,".238","848",NA,".266",".375"
"18","17","Milwaukee Bucks","73","17570",".452","15.6",NA,".551",".213",".166",".100",".072",".449",NA,".534",".699",".432",".435",".422",".351",NA,".510",".826",NA,".046","273",NA,".239","891",NA,".206",".362"
"19","18","Minnesota Timberwolves","75","18100",".453","14.5",NA,".567",".254",".168",".085",".060",".433",NA,".537",".699",".407",".389",".429",".344",NA,".560",".842",NA,".065","385",NA,".268","960",NA,".287",".369"
"20","19","New Orleans Pelicans","73","17595",".467","14.8",NA,".583",".230",".172",".101",".080",".417",NA,".543",".702",".456",".445",".398",".359",NA,".512",".810",NA,".048","276",NA,".248","905",NA,".225",".404"
"21","20","New York Knicks","74","17860",".447","14.7",NA,".568",".262",".146",".089",".072",".432",NA,".524",".661",".416",".442",".343",".345",NA,".524",".838",NA,".054","309",NA,".263","923",NA,".235",".351"
"22","21","Oklahoma City Thunder","73","17620",".454","14.9",NA,".571",".197",".226",".081",".067",".429",NA,".531",".676",".480",".457",".367",".352",NA,".519",".855",NA,".056","306",NA,".273","997",NA,".262",".404"
"23","22","Orlando Magic","74","17835",".458","14.7",NA,".595",".211",".202",".100",".082",".405",NA,".521",".651",".463",".443",".421",".365",NA,".506",".818",NA,".053","320",NA,".255","891",NA,".221",".392"
"24","23","Philadelphia 76ers","73","17645",".455","14.0",NA,".621",".253",".185",".109",".073",".379",NA,".524",".697",".392",".403",".435",".342",NA,".509",".789",NA,".062","351",NA,".258","905",NA,".207",".374"
"25","24","Phoenix Suns","74","17810",".443","14.6",NA,".613",".197",".230",".099",".087",".387",NA,".510",".674",".453",".436",".369",".339",NA,".488",".787",NA,".044","257",NA,".263","950",NA,".195",".362"
"26","25","Portland Trail Blazers","73","17545",".476","14.5",NA,".569",".271",".163",".078",".058",".431",NA,".556",".685",".456",".407",".432",".370",NA,".551",".848",NA,".060","338",NA,".259","954",NA,".288",".405"
"27","26","Sacramento Kings","74","17860",".481","13.9",NA,".618",".247",".208",".092",".072",".382",NA,".550",".713",".446",".429",".444",".368",NA,".484",".809",NA,".058","349",NA,".282","1083",NA,".223",".399"
"28","27","San Antonio Spurs","73","17645",".469","13.4",NA,".640",".267",".208",".095",".070",".360",NA,".531",".655",".436",".449",".451",".358",NA,".466",".799",NA,".058","335",NA,".308","1091",NA,".199",".409"
"29","28","Toronto Raptors","73","17670",".463","14.3",NA,".589",".244",".195",".090",".060",".411",NA,".539",".700",".418",".440",".431",".353",NA,".541",".871",NA,".061","332",NA,".266","915",NA,".311",".375"
"30","29","Utah Jazz","74","17785",".453","14.6",NA,".612",".195",".218",".117",".081",".388",NA,".520",".702",".438",".438",".424",".346",NA,".490",".778",NA,".048","284",NA,".245","911",NA,".209",".365"
